Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre01.g006150	Translation elongation factor related to peptide-chain release factor RF3, prokaryotic type; probably organelle-targeted; binds GTP; similarity to EfTu elongation factor.  Previously annotated as PRFC1	
Cre01.g006800	Phosphatidylinositol N-acetylglucosaminyltransferase (PIG-A) and glycosyl transferase.  Previously annotated as GTR18	
Cre01.g006950	Fructose-1,6-bisphosphate Aldolase; Aldehyde-lyase (EC 4.1.2.13); may be plastidic based on N-terminal extension, but greater sequence similarity to cytosolic forms; glycolytic enzyme that catalyses the reversible aldol cleavage or condensation of fructos	
Cre01.g006950	Fructose-1,6-bisphosphate Aldolase; Aldehyde-lyase (EC 4.1.2.13); may be plastidic based on N-terminal extension, but greater sequence similarity to cytosolic forms; glycolytic enzyme that catalyses the reversible aldol cleavage or condensation of fructos	
Cre01.g007050	Conserved expressed protein similar to hypothetical protein from cyanobacteria and plants	
Cre01.g007350	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	
Cre01.g007850	Protein with unknown function, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre01.g007950	Cytochrome P450, CYP55 superfamily, CYP55A family.  Similar to fungal protein, shares one intron boundary with CYP55A6.  CYP55A1 (P450nor) in Fusarium oxysporum is inducible by nitrate or nitrite and acts as a nitric oxide reductase. The CYP55 family memb	
Cre01.g009250	DNA topoisomerase II. Similar to DNA topoisomerase II in Arabidopsis, TOP2 or AT3G23890.	
Cre01.g009350	Converts agmatin to N-carbamoyl-putrescine; involved in agmatine pathway of polyamine (putrescine) biosynthesis; found in soluble mitochondrial proteome	
Cre01.g009450	DnaJ-like protein; contains N-terminal J-domain (pfam00226)	
Cre01.g009650	Basal body protein and putative AP2 domain transcription factor, found in basal body proteome [PMID: 15964273]. Transcript upregulated during flagellar regeneration.	
Cre01.g009800	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre01.g009900	DnaJ-like protein, targeted to the chloroplast; contains N-terminal J-domain (pfam00226) and Ferredoxin domain (COG1141); described in Henselmann and Schroda, Diploma thesis, University of Freiburg. Characterized by Dorn et al. 2010 [PMID: 20113313]	
Cre01.g009950	Involved in 40S ribosomal subunit biogenesis; seems to play a role in a methylation reaction in pre-rRNA processing (By similarity) [PMID: 11935223]	
Cre01.g010000	Mitogen-Activated Protein Kinase Homolog 8 (gI 11275338); Downstream kinase in the canonical MAP kinase pathway	
Cre01.g010350	Lipoate protein ligase, lipoate biosynthesis protein.  Previously annotated as LIPB	
Cre01.g010700	Endosomal Qa-SNARE protein, Syntaxin7/Syx7/Pep12/Syp2-family (Qa.III.b).  Conserved Protein.  Class Qa.III.b SNARE, involved in Golgi/endosomal trafficking (PMID: 17596510).  Previously annotated as SYP2	
Cre01.g010900	Glyceraldehyde 3-phosphate dehydrogenase A, chloroplast precursor (NADP-dependent glyceraldehyde phosphate dehydrogenase subunit A); corresponds to G3PA_CHLRE; found in the flagellar proteome [PMID: 15998802].  This enzyme is bispecific for NADP and NAD,	
Cre01.g011000	Cytosolic 80S ribosomal protein L6; Cytosolic 60S large ribosomal subunit protein L6	
Cre01.g011100	Terpenoid cylase, probably a squalene cyclase.  Similar to cycloartenol synthase; (S)-2,3-epoxysqualene mutase from Arabidopsis thaliana - possibly involved in sterol/ergosterol biosynthesis.  Previously annotated as CAS1 but this conflicts with Calcium S	
Cre01.g011100	Terpenoid cylase, probably a squalene cyclase.  Similar to cycloartenol synthase; (S)-2,3-epoxysqualene mutase from Arabidopsis thaliana - possibly involved in sterol/ergosterol biosynthesis.  Previously annotated as CAS1 but this conflicts with Calcium S	
Cre01.g011500	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit RPN11 (26S PROTEASOME-ASSOCIATED PAD1 HOMOLOG)	
Cre01.g012050	Formate/nitrite transporter, bacterial type (nirC); additional N-terminal sequence may target it to an organelle. AY612642 NCBI accession number NAR1.6 mRNA, complete cds	
Cre01.g012100	Protein similar to periplasmic arylsulfatase	
Cre01.g012150	Peptide methionine sulfoxide reductase.  Peptidylprolyl isomerase, FKBP-type domain	
Cre01.g012500	Expressed Protein. Similar to Prenylated Rab Acceptor Protein	
Cre01.g012600	Phosphoglucomutase; differs from the GPMs found in plants and other algae	
Cre01.g012800	Flagellar Associated Protein, basal body protein of unknown function; found in the flagellar proteome [PMID: 15998802]; found in basal body proteome as BUG19 [PMID: 15964273]	
Cre01.g012800	Flagellar Associated Protein, basal body protein of unknown function; found in the flagellar proteome [PMID: 15998802]; found in basal body proteome as BUG19 [PMID: 15964273]	
Cre01.g013100	Similar to pathogenesis-related protein 1, extracellular	
Cre01.g013300	Serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to plant-type DegPs (2,3,4,9,10,11,12,13) [PMID: 11299370, PMID: 12185496]; one PDZ domain, probably involved in substrate recognition and protease activation [PMID: 15137941]; p	
Cre01.g014150	Putative MATE efflux family protein.  Previously annotated as MFT5	
Cre01.g014350	Peroxiredoxin Type II, thioredoxin dependent peroxidase, N-terminal sequence predicted as a mitochondrial targeting signal BUT the protein is more closely related to chloroplastic type II PRX from Arabidopsis (AtPRXIIE).	
Cre01.g015000	Second step of ornithine biosynthesis pathway; negatively regulated by Arg, and probably activated by the PII homolog GLB1, Acetylglutamate kinase-like protein, chloroplast precursor.  This gene is the candidate locus for the ARG1 genetic marker	
Cre01.g015200	Metal-dependent phosphohydrolase; may be involved in cAMP signal transduction	
Cre01.g015250	Homologous to eukaryotic DNA polymerase delta, catalytic subunit.  Involved in DNA replication; a class B polymerase.  See Burgers et al. (2001) (PMID: 11579108).  Previously annotated as POLD1	
Cre01.g015350	Light-dependent protochlorophyllide reductase, chloroplast precursor; Converts protochlorophyllide to chlorophyllide using NADPH and light as the reductant; Chlamydomonas mutant known as pc-1 has a two-nucleotide deletion within the fourth and fifth codon	
Cre01.g015850	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG17 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre01.g015950	Translation factor.  Conserved expressed organellar protein involved in translation; putative translation factor (SUA5); found in plants and cyanobacteria	
Cre01.g016050	Central component of the spliceosome, which may play a role in aligning the pre-mRNA 5' and 3' exons for ligation. Interacts with U5 snRNA, and with pre-mRNA 5' splice sites in B spliceosomes and 3' splice sites in C spliceosomes. Part of the U5 snRNP com	
Cre01.g016500	Putative dihydrolipoamide dehydrogenase (EC 1.8.1.4), E3 component of pyruvate dehydrogenase complex, plastid precursor.	
Cre01.g016600	PSBS1, which corresponds to the gene mentioned in PMID: 16143839; no EST support.  Two former gene models PSBS1 and PSBS2 have been combined here	
Cre01.g017200	Peptidyl-prolyl cis-trans isomerase, FKBP-type.  Contains 2 (or 3?) N-terminal domains similar to FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); C-terminal TPR repeats; calmodulin-binding domain, nuclear localization signa	
Cre01.g017300	Chloroplast ribosomal protein S21, imported to chloroplast; Chloroplast small ribosomal subunit protein S21	
Cre01.g017450	Homologous to eukaryotic DNA polymerase alpha, subunit B.  Involved in DNA replication; a class B polymerase.  See Burgers et al. (2001) (PMID: 11579108).  Previously annotated as POLA2	
Cre01.g017600	Presents motifs found on quinoproteins whose redox cofactor is a pyrrolo-quinoline quinone (PQQ); closely related to linked PPQ1 gene; most similar to bacterial quinoproteins; no orthologue found in Volvox	
Cre01.g017600	Presents motifs found on quinoproteins whose redox cofactor is a pyrrolo-quinoline quinone (PQQ); closely related to linked PPQ1 gene; most similar to bacterial quinoproteins; no orthologue found in Volvox	
Cre01.g018000	Putative DNA-directed RNA polymerase I subunit A12.2, also called Rpa12p in yeast	
Cre01.g018800	Subunit 6 of the mitochondrial F1F0-ATP synthase; [= yeast and bovine ATPA subunit]; part of the F0 sector	
Cre01.g018950	Transfers the aminobutyl moiety of spermidine to a specific lysine residue of eIF5A, forming deoxyhypusine (PMID: 17476569); deoxypusine will then be hydroxylated to generate the unusual aminoacid hypusine; an important mechanism controlling cell prolifer	
Cre01.g019150	Putative gamma-tubulin ring complex protein 4	
Cre01.g019250	Putative dTDP-glucose 4-6-dehydratase, an NAD dependent epimerase/dehydratase may be a GDP-mannose 3,5-epimerase.  Homolog to Arabidopsis GDP-mannose-3',5'-epimerase (GME) (AT5G28840; PMID: 16366586).  Previously annotated as SNE1	
Cre01.g019700	Putative non-canonical poly(A) polymerase (PAP)	
Cre01.g019850	FtsH-like ATPase/metalloprotease.  FtsH-like protein, probably mitochondrial (by homology to AtFtsH3 and AtFtsH10); metallopeptidase with AAA domain, probably membrane bound.  Previously annotated as FTSH3	
Cre01.g019950	DnaJ-like protein; probably cytosolic, as judged from absence of N-terminal extension and from homology with cytosolic PSI1 from S. pombe; annotation for PSI1: required for nuclear migration during mitosis and for the normal initiation of translation; Als	
Cre01.g020350	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial precursor (SDHC); PMID: 15710684	
Cre01.g020850	Protein with domain similar to guanylate cyclase [Aedes aegypti]	
Cre01.g021050	Mitochondrial import inner membrane translocase subunit of 22 kDa, belongs to TIM17/TIM22/TIM23 family. Four TIM22-related proteins are present in Arabidopsis, three in Chlamydomonas	
Cre01.g021150	tRNA methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to position 5 of the uridine residue at position 54 of tRNAs.  Previously annotated as TRM2C	
Cre01.g021150	tRNA methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to position 5 of the uridine residue at position 54 of tRNAs.  Previously annotated as TRM2C	
Cre01.g021200	Putative sulfur metabolite repression control protein with F-box domain	
Cre01.g021700	Large protein with C-terminal domain similar to guanylate cyclase [Aedes aegypti]	
Cre01.g022150	Voltage-dependent 1-domain potassium channel (Shaker-like), alpha subunit; P-loop contains conserved motif for K+ selectivity	
Cre01.g022250	Putative mitochondrial ribosomal protein L3, imported to mitochondria	
Cre01.g022500	Malic Enzyme, NADP-dependent; malate dehydrogenase, decarboxylating (EC 1.1.1.40); based on similarity to mouse NADP malic enzyme (GenBank AAH80660); likely mitochondrial targeting, based on Target-P prediction and homology	
Cre01.g022600	Conserved expressed protein	
Cre01.g022600	Conserved expressed protein	
Cre01.g022750	Flagellar Associated Protein with leucine-rich repeats, found in the flagellar proteome [PMID: 15998802]	
Cre01.g022800	Similar to Flagellar Associated Protein FAP159 with leucine-rich repeats that is found in the flagellar proteome [PMID: 15998802]; overlaps FAP159 gene model from v3	
Cre01.g023000	Na+-dependent inorganic phosphate cotransporter.  Previously annotated as MFT12.	
Cre01.g023150	Homology to MCM5 DNA replication protein	
Cre01.g023350	Belongs to M3 family of metalloproteases, like thimet oligopeptidase, oligopeptidase F; most similar to eubacterial homologues.  Previously annotated as THO2 but this conflicts with series for Tho complex subunits	
Cre01.g023500	Similar to conserved uncharacterized Flagellar Associated Protein FAP234 that is found in the flagellar proteome [PMID: 15998802].  Overlaps with FAP234 gene model from v3	
Cre01.g023550	Putative outer arm dynein light chain.  Conserved uncharacterized Flagellar Associated Protein with leucine-rich repeat; found in the flagellar proteome [PMID: 15998802]	
Cre01.g024400	Expressed Protein. Similar to TRS85, a component of the TRAPP complex, involved in ER to Golgi vesicle transport.	
Cre01.g024650	C-type lectin, contains C-type lectin domain responsible for carbohydrate binding activity (PMID: 16336259)	
Cre01.g024850	Putative rhodanese domain phosphatase similar to CDC25; M-phase inducer phosphatase.  Putative function in G2/M	
Cre01.g025000	Expressed protein of unknown function, conserved only in ciliated organisms; identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA)	
Cre01.g025150	Conserved organelle protein with lipase active site	
Cre01.g025200	Belongs to the large VMP-family of metalloproteinases (identified in Volvox); the binding site of the catalytic metal ion in VMPs is QExxHxxGxxH not HExxHxxGxxH, therefore VMPs prefer copper for activity rather than zinc; extracellular matrix glycoprotein	
Cre01.g025250	Biosynthesis of FMN from riboflavin and ATP	
Cre01.g025350	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre01.g025450	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Phosphorylation characterized by Boesger et al. (2009) [PMID: 19429781]	
Cre01.g025950	Pentatrichopeptide repeat protein	
Cre01.g026100	Essential for tRNA processing generating 5'-termini of mature tRNA molecules; homologous to human RPP14 subunit (PubMed: 10024167)	
Cre01.g026100	Essential for tRNA processing generating 5'-termini of mature tRNA molecules; homologous to human RPP14 subunit (PubMed: 10024167)	
Cre01.g026200	Pentatrichopeptide repeat protein	
Cre01.g026250	Alpha-galactosidase (melibiase); belongs to the family 27 of O-glycosyl hydrolases of clan GH-D	
Cre01.g026450	Serine/arginine rich (SR) protein involved in mRNA splicing; pre-mRNA splicing factor ASF/SF2; contains two RNA recognition motifs (RRM) Alternative splicing factor ASF/SF2 (RRM superfamily).  Previously annotated as SRP35 but this conflicts with signal r	
Cre01.g026500	Aspartic protease, pepsin (A1) family; directed to secretory pathway	
Cre01.g026550	T-complex protein 1, eta subunit (TCP-1-eta) (CCT-eta) (TCPH); subunit of cytosolic chaperonin complex	
Cre01.g026900	Kynurenine 3-monooxygenase.  Identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA).  Previously annotated as SSA14.  Catalyzes the formatio	
Cre01.g026900	Kynurenine 3-monooxygenase.  Identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA).  Previously annotated as SSA14.  Catalyzes the formatio	
Cre01.g027000	Cytosolic 80S ribosomal protein L11; Cytosolic 60S large ribosomal subunit protein L11	
Cre01.g027100	Serine protease (S26A family); type I signal peptidase; processes a subset of mitochondrion-imported proteins as they are translocated through the inner membrane into the intermembrane space	
Cre01.g027150	DEAD/DEAH-box helicase, possibly plastid targeted.  Plant-lineage-and-diatoms conserved protein.  Previously annotated as CPLD46	
Cre01.g027450	Unusual thioredoxin containing an unusual active site WCTKC (classically thioredoxins contain a WCGPC or WCPPC active site).	
Cre01.g027550	Cytochrome P450, CYP97 superfamily, CYP97B family.  CYP97A3 of Arabidopsis is a carotenoid beta-ring hydroxylase [PMID: 16492736]. CYP97C1 of Arabidopsis (LUT1) is a carotenoid epsilon-ring hydroxylase [PMID: 14709673].  Previously annotated as CYP97B6	
Cre01.g027750	Putative MATE efflux family protein, related to Arabidopsis putative integral membrane protein.  Previously annotated as MFT7	
Cre01.g027800	Vacuolar ATP synthase subunit H, V-ATPase H subunit, Vacuolar proton pump H subunit	
Cre01.g027950	Intraflagellar transport particle protein 74/72.  Also known as IFT72	
Cre01.g028200	Homology to Saccharomyces cerevisiae Dbp2p: essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing.  Previously annotated as DBP2 after the yeast protein, but there is no DBP1 in t	
Cre01.g028200	Homology to Saccharomyces cerevisiae Dbp2p: essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing.  Previously annotated as DBP2 after the yeast protein, but there is no DBP1 in t	
Cre01.g028250	Putative lysophospholipase, glycerol-ester acylhydrolase (acylglycerol lipase) with alpha/beta hydrolase fold.  Previously annotated as DBP2	
Cre01.g028350	(HtrA) similar to DegP protease; serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to At5g39830 (DegP8) [PMID: 11299370, PMID: 12185496]; one PDZ domain, probably involved in substrate recognition and protease activation [PMID:	
Cre01.g028400	Could be involved in the formation of tryptamine by decarboxylation of tryptophan; tryptamine is a substrate of strictosidine synthase, a key enzyme in monoterpene indole alkaloid biosynthesis; a strictosidine synthase homologue is found in Chlamydomonas	
Cre01.g029000	UbiE/COQ5 methyltransferase family; possibly functioning in chloroplast.  Previously annotated as COQ5D	
Cre01.g029150	Outer row dynein assembly protein, ODA7 [PMID: 17194703], predominantly cytoplasmic.  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Ortholog of human LRRC50,  mutations in which can result in primary cil	
Cre01.g029200	Separase homolog; Protease that cleaves cohesin proteins to initiate anaphase	
Cre01.g029250	Related to phenylalanine hydroxylase and tryptophan monooxygenase, not usually found in angiosperms	
Cre01.g029300	Triose phosphate isomerase (TIM), chloroplast precursor; Genbank entry AY742323.  Previously annotated as TPIC1	
Cre01.g029650	Expressed Protein. Similar to VPS35, a component of the Retromer Coat complex involved in endosomal to Golgi trafficking; may still need editing at 3' end due to sequence gap.	
Cre01.g029750	3 nearly identical repeats of an adenylate kinase domain; corresponds approximately to GI:46518741; reduced in the flagellum of the outer dynein arm oda5 mutant [PMID: 15064350].  Previously annotated as two distinct FAKs, but no current evidence for this	
Cre01.g029850	Serine/Threonine protein kinase.  Previously annotated as STPK19	
Cre01.g030050	Chloroplast ribosomal protein L34, imported to chloroplast	
Cre01.g030100	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre01.g030100	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre01.g030200	Conserved expressed protein in flagellar proteome [PMID: 15998802], related to protein phosphatase 2C; chloroplast targeted prediction in Arabidopsis.  Previously annotaed as PP2C4	
Cre01.g030350	Conserved expressed protein of unknown function	
Cre01.g030600	MAPKKK4; MAP (Mitogen-Activated) Kinase Kinase Kinase Homolog 4; MEK Kinase 4; MAP3K4	
Cre01.g030700	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre01.g030800	Similar to COP9 signalosome, subunit CSN2	
Cre01.g030850	20S proteasome alpha subunit D (type 7)	
Cre01.g031100	Contains a PDZ domain; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]; similar to Glycine max. SHOOT1 protein (AAK37555); conserved in Viridiplantae	
Cre01.g031200	Expressed Protein. Similar to the SRP14 subunit of the Signal Recognition Particle. Involved in ER protein translocation.	
Cre01.g031650	Def transferase/ transferase, transferring glycosyl groups - pfam05637, Glyco_transf_34, galactosyl transferase GMA12/MNN10 family. This family contains a number of glycosyltransferase enzymes that contain a DXD motif. This family includes a number of C.	
Cre01.g032150	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]	
Cre01.g032200	Similart to conserved uncharacterized Flagellar Associated Protein FAP187 that is found in the flagellar proteome [PMID: 15998802].  This gene model overlaps FAP187 from v3	
Cre01.g032300	[PMID: 8062839]	
Cre01.g032350	Induced by p53 in etoposide-treated mammalian cells, also known as Ei24 etoposide-induced protein 2.4 (PMID: 8649819); candidate tumor suppressor gene coding for an apoptosis factor that is an ER-localized Bcl-2 binding protein (PMID: 15781622); in C. rei	
Cre01.g032500	DnaJ-like protein; might be targeted to ER, as judged from homology with tomato Q7XYV1, Arabidopsis Q9LYW9, and rice Q6H7Q3, which by TargetP are all predicted to secretory pathway; contains C-terminal J-domain (pfam00226) and N-terminal TPR domain (cd001	
Cre01.g032600	Conserved hypothetical protein	
Cre01.g032650	Putative Transaldolase (EC 2.2.1.2); possible cytosolic isoform, although weak predicted organelle targeting by Target-P; catalyzes the reversible transfer of a three-carbon ketol unit from sedoheptulose 7-phosphate to glyceraldehyde 3-phosphate to form e	
Cre01.g032650	Putative Transaldolase (EC 2.2.1.2); possible cytosolic isoform, although weak predicted organelle targeting by Target-P; catalyzes the reversible transfer of a three-carbon ketol unit from sedoheptulose 7-phosphate to glyceraldehyde 3-phosphate to form e	
Cre01.g032700	Glucokinase; EC:2.7.1.2; Glucose Kinase; similar to Nostoc glucokinase (GenBank BAB74672); Target-P weakly predicts an organelle target sequence	
Cre01.g032850	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre01.g033400	Mitochondrial import inner membrane translocase subunit Tim9. Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane.	
Cre01.g033550	Protein Disulfide Isomerase 2 (CrPDI2), PDI-D subfamily, PMID: 16143836, circadian expressed, possible targeting to the ER.	
Cre01.g034000	Importin beta-1 homolog	
Cre01.g034550	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre01.g035300	Highly similar to plant N-carbamoylputrescine amidase (amidohydrolase), last step in the agmatinase pathway of polyamine (putrescine) biosynthesis	
Cre01.g035500	Phosphatidylinositol-3-kinase, probably vacuolar.  Expressed Protein. Similar to VPS34, a phosphatidylinositol-3-kinase, involved in vacuolar transport and lipid metabolism; identical to partial cDNA sequence gi|2109288|gb|U97662.1|CRU97662.  Previously a	
Cre01.g035600	Sequence similarity with bacterial (E. coli) mechanosensitive ion channel MscS	
Cre01.g035750	Sequence similarity with bacterial (E. coli) mechanosensitive ion channel MscS	
Cre01.g035800	Putative inward rectifier K+ channel	
Cre01.g035850	Conserved Protein.  SEC24 component of COP-II vesicle coat complex involved in ER-to-Golgi transport. Part of Sec23/24 sub-complex.	
Cre01.g036050	MutL homolog; involved in DNA mismatch repair, together with MSH proteins [PMID: 17992532].  Forms a complex with MutS (see MSH genes)	
Cre01.g036550	Expressed Protein. Similar to Erv14p/cornichon, an ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation	
Cre01.g037350	Conserved protein, related to thioesterase family.  Previously annotated as CGLD2	
Cre01.g037400	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905] similar to At2g16600 (AtCYP19-1) and other cytosolic cyclophilins.  Previously annotated as CYN19-1.  Has homology to mRNA splicing factor SYF2	
Cre01.g037700	Partial sequence of a fatty acid desaturase/linoleate desaturase; enzymes of this family catalyze the insertion of a double bond at the delta position of fatty acids; Vol 2 Chapter 2, table 1 Riekhof	
Cre01.g037850	Biotin-containing subunit of the chloroplastic acetyl-coenzyme A carboxylase	
Cre01.g038250	Serine decarboxylase involved in ethanolamine production for PtdEtn biosynthesis	
Cre01.g038400	Calreticulin 2. Calreticulin (CRT) is a high-capacity calcium-binding protein mainly localized to the endoplasmic reticulum in eukaryotic cells. Higher plants contain two distinct groups of CRTs: a CRT1/CRT2 group and a CRT3 group. Similar to Arabidopsis	
Cre01.g038500	Cytochrome P450, CYP97 superfamily, CYP197B family. CYP746B1 is found in moss Physcomitrella patens.  Previously annotated as CYP746A1	
Cre01.g038550	Sulfolipid synthase, adds sulfoquinovose to diacylglycerol to produce the plant sulfolipid sulfoquinovosyldiacylglycerol	
Cre01.g038600	Chloroplast glycerolipid omega-3-fatty acid desaturase	
Cre01.g038750	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	
Cre01.g039150	Tic20-like chloroplast import component protein; plays a role in chloroplast protein import (PMID: 16092526), Conserved expressed protein, probably chloroplast targeted; present in thylakoid-enriched fraction based on mass spectrometric peptide identifica	
Cre01.g039200	Intraflagellar transport (IFT)-particle proteinm, complex B.  Flagellar Associated Protein, found in the Chlamydomonas flagellar proteome [PMID: 15998802]. Orthologs in most flagellated eukaryotes (RABL5 in human), a member of the Ras superfamily of GTPas	
Cre01.g039250	Cytosolic 80S ribosomal protein S2; Cytosolic 40S small ribosomal subunit protein S2	
Cre01.g039250	Cytosolic 80S ribosomal protein S2; Cytosolic 40S small ribosomal subunit protein S2	
Cre01.g039300	Almost identical to T07933, polyadenylate-binding protein RB47 precursor, chloroplast-targeted [PMID: 9482869]; regulates translation of psbA; possibly controlled by RB60, a protein disulfide isomerase whose Volvox homolog is controlled by regA (regulator	
Cre01.g039350	Cytochrome P450 reductase, possibly CYP505B family.  In the cytochrome P450 CYP102 family.  Previously annotated as NCR2 for NADPH-cytochrome P450 reductase (NADPH-ferrihemoprotein reductase).  This is probably alternatively spliced	
Cre01.g039500	Conserved uncharacterized Flagellar Associated Protein, similar to Notchless; found in the flagellar proteome [PMID: 15998802].  Possible histone acetyltransferase or myosin-heavy-chain kinase	
Cre01.g039550	Conserved expressed protein; Arabidopsis homologue is in plastoglobuli (PMID: 16461379).  Previously annotated as PLAP1	
Cre01.g039750	Peptide deformylase (PDF) (Polypeptide deformylase); [EC:3.5.1.88] (DEFM); Arabidopsis ortholgue is directed to both chloroplast and mitochondria (PMID: 11060042); removes formyl-group from initiator fMet of organelle-encoded proteins	
Cre01.g039850	Carbohydrate/purine kinase, possible lysine decarboxylase.  Conserved in Green lineage.  Previously annotated as CGL48	
Cre01.g039900	Similarity to RNase Z, beta-lactamase family protein	
Cre01.g040000	Cytosolic 80S ribosomal protein L26; Cytosolic 60S large ribosomal subunit protein L26	
