Gene ID	Contig	Strand	Start	End	GeneType	description	GO-labels	protein domains	KOGid
BathyCg00085	bathy_Chloroplast	+	25394	25639	mRNA	photosystem I subunit VII	GO:0009055;GO:0009773;GO:0051539;GO:0042651;GO:0015979;GO:0009522	PTHR24960: FAMILY NOT NAMED; G3DSA:3.30.70.20: no description; IPR017896: 4Fe-4S ferredoxin, iron-sulpur binding domain; IPR017900: 4Fe-4S ferredoxin, iron-sulphur binding, conserved site; IPR017491: Photosystem I PsaC; PF12838: Fer4_7; SSF54862: 4Fe-4S ferredoxins	NA
BathyCg00110	bathy_Chloroplast	+	25873	31059	mRNA	ATPase beta subunit	NA	NA	NA
BathyCg00120	bathy_Chloroplast	+	31115	31543	mRNA	ATP synthase CF1 epsilon subunit	GO:0015986;GO:0045261;GO:0046961;GO:0046933	NA	NA
BathyCg00290	bathy_Chloroplast	+	31714	31851	mRNA	Photosystem II reaction center protein K	GO:0009539;GO:0009523;GO:0015979	NA	NA
BathyCg00125	bathy_Chloroplast	+	31869	31985	mRNA	Photosystem II reaction center protein I	GO:0016020;GO:0009539;GO:0009523;GO:0015979	NA	NA
BathyCg00286	bathy_Chloroplast	+	32088	32216	mRNA	Photosystem I reaction center subunit IX	GO:0015979;GO:0009522	NA	NA
BathyCg00130	bathy_Chloroplast	-	41821	42228	mRNA	DNA-directed RNA polymerase subunit alpha	GO:0003899;GO:0003677;GO:0006351	NA	NA
BathyCg00291	bathy_Chloroplast	-	42272	42664	mRNA	30S ribosomal protein S11	NA	NA	NA
BathyCg00292	bathy_Chloroplast	-	42712	42903	mRNA	Translation initiation factor IF-1, chloroplastic	GO:0006413;GO:0003743;GO:0003723	NA	NA
BathyCg00293	bathy_Chloroplast	-	43049	43165	mRNA	predicte protein	NA	NA	NA
BathyCg00140	bathy_Chloroplast	-	43377	44087	mRNA	ATP synthase subunit a, chloroplastic	GO:0015986;GO:0045263;GO:0015078	NA	NA
BathyCg00150	bathy_Chloroplast	-	44734	45117	mRNA	30S ribosomal protein S9	NA	NA	NA
BathyCg00301	bathy_Chloroplast	-	45197	46294	mRNA	DNA-directed RNA polymerase subunit alpha	GO:0003899;GO:0003677;GO:0006351	NA	NA
BathyCg00294	bathy_Chloroplast	-	46338	46730	mRNA	30S ribosomal protein S11, chloroplastic	NA	NA	NA
BathyCg00295	bathy_Chloroplast	-	46778	47032	mRNA	Translation initiation factor IF-1, chloroplastic	NA	NA	NA
BathyCg00303	bathy_Chloroplast	-	47146	47514	mRNA	30S ribosomal protein S8, chloroplastic	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyCg00296	bathy_Chloroplast	-	47536	48090	mRNA	50S ribosomal protein L5, chloroplastic	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyCg00297	bathy_Chloroplast	-	48108	48464	mRNA	50S ribosomal protein L14, chloroplastic	NA	NA	NA
BathyCg00304	bathy_Chloroplast	-	48546	48971	mRNA	large subunit ribosomal protein 16	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR000114: Ribosomal protein L16; IPR016180: Ribosomal protein L10e/L16; G3DSA:3.90.1170.10: no description; IPR020798: Ribosomal protein L16, conserved site	NA
BathyCg00298	bathy_Chloroplast	-	48965	49600	mRNA	30S ribosomal protein S3, chloroplastic	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyCg00190	bathy_Chloroplast	-	49726	50004	mRNA	ribosomal protein S19	GO:0006412;GO:0003735;GO:0015935	IPR023575: Ribosomal protein S19, superfamily; IPR002222: Ribosomal protein S19/S15; IPR020934: Ribosomal protein S19 conserved site; IPR005732: Ribosomal protein S19, bacterial-type	NA
BathyCg00200	bathy_Chloroplast	-	50020	50853	mRNA	50S ribosomal protein L2	NA	IPR012340: Nucleic acid-binding, OB-fold; IPR005880: Ribosomal protein L2, bacterial-type; IPR002171: Ribosomal protein L2; IPR014722: Translation protein SH3-like, subgroup; IPR008991: Translation protein SH3-like; IPR016027: Nucleic acid-binding, OB-fold-like; IPR022669: Ribosomal protein L2, C-terminal; IPR014726: Ribosomal protein L2, domain 3; IPR022666: Ribosomal Proteins L2, RNA binding domain; IPR022671: Ribosomal protein L2, conserved site	NA
BathyCg00299	bathy_Chloroplast	-	50855	51136	mRNA	50S ribosomal protein L23, chloroplastic	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyCg00305	bathy_Chloroplast	+	51741	51929	mRNA	Photosystem II reaction center protein Z	GO:0009539;GO:0042549;GO:0009523;GO:0015979	NA	NA
BathyCg00315	bathy_Chloroplast	-	52413	52646	mRNA	n/a	NA	NA	NA
BathyCg00306	bathy_Chloroplast	-	53053	54114	mRNA	predicted protein	GO:0009772;GO:0019684;GO:0045156	NA	NA
BathyCg00307	bathy_Chloroplast	-	60097	61518	mRNA	photosystem II CP43 protein	GO:0009772;GO:0016020;GO:0009521;GO:0009523;GO:0045156;GO:0019684;GO:0030076;GO:0016168;GO:0015979	NA	NA
BathyCg00308	bathy_Chloroplast	-	61466	62524	mRNA	Photosystem II D2 protein	GO:0016020;GO:0019684;GO:0009523;GO:0030076;GO:0045156;GO:0015979	NA	NA
BathyCg00240	bathy_Chloroplast	-	62889	64418	mRNA	photosystem II CP47 protein	GO:0009523;GO:0016168;GO:0015979	NA	NA
BathyCg00250	bathy_Chloroplast	-	64637	65284	mRNA	Cytochrome b6	GO:0009055;GO:0016020;GO:0016491	NA	NA
BathyCg00309	bathy_Chloroplast	-	65513	65638	mRNA	Photosystem II reaction center protein J	GO:0016020;GO:0009539;GO:0009523;GO:0015979	NA	NA
BathyCg00310	bathy_Chloroplast	-	65663	65779	mRNA	Photosystem II reaction center protein L	GO:0016020;GO:0009539;GO:0009523;GO:0015979	NA	NA
BathyCg00311	bathy_Chloroplast	-	65794	65910	mRNA	Cytochrome b559 subunit beta	GO:0009539;GO:0020037;GO:0019684;GO:0009523;GO:0009767;GO:0016021;GO:0015979	NA	NA
BathyCg00260	bathy_Chloroplast	-	66045	66293	mRNA	Cytochrome b559 subunit alpha	GO:0046872;GO:0009523;GO:0016021;GO:0015979	NA	NA
BathyCg00270	bathy_Chloroplast	-	66681	71918	mRNA	Uncharacterized protein	GO:0005524	NA	NA
BathyCg00312	bathy_Chloroplast	-	72013	72696	mRNA	Ribosomal protein S2	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyMg00251	bathy_Mitochondrion	+	17	394	mRNA	ribosomal protein S12	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyMg00252	bathy_Mitochondrion	+	399	941	mRNA	ribosomal protein S7	NA	NA	NA
BathyMg00020	bathy_Mitochondrion	-	987	1970	mRNA	NADH dehydrogenase subunit 1	GO:0016020;GO:0055114	NA	NA
BathyMg00030	bathy_Mitochondrion	-	2383	3162	mRNA	ATP synthase F0 subunit 6	GO:0015986;GO:0045263;GO:0015078	NA	NA
BathyMg00253	bathy_Mitochondrion	+	3226	4026	mRNA	NADH dehydrogenase subunit 6	GO:0055114;GO:0008137	NA	NA
BathyMg00040	bathy_Mitochondrion	+	4178	4957	mRNA	cytochrome c oxidase subunit 2	GO:0005507	NA	NA
BathyMg00050	bathy_Mitochondrion	+	5027	5827	mRNA	cytochrome c oxidase subunit 3	GO:0016020;GO:0004129	NA	NA
BathyMg00060	bathy_Mitochondrion	-	5891	7370	mRNA	NADH dehydrogenase subunit 2	GO:0042773;GO:0055114;GO:0008137	NA	NA
BathyMg00070	bathy_Mitochondrion	-	7445	8914	mRNA	NADH dehydrogenase subunit 4	GO:0042773;GO:0055114;GO:0008137	NA	NA
BathyMg00080	bathy_Mitochondrion	-	8969	10972	mRNA	NADH dehydrogenase subunit 5	GO:0042773;GO:0055114;GO:0008137	NA	NA
BathyMg00090	bathy_Mitochondrion	+	11100	11753	mRNA	30S ribosomal protein S2	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyMg00100	bathy_Mitochondrion	-	11883	13043	mRNA	apocytochrome b	GO:0009055;GO:0016020;GO:0016491	NA	NA
BathyMg00110	bathy_Mitochondrion	-	17575	19164	mRNA	cytochrome c oxidase subunit 1	GO:0009055;GO:0020037;GO:0005506;GO:0016021;GO:0009060	NA	NA
BathyMg00263	bathy_Mitochondrion	-	19740	19967	mRNA	hypothetical protein	NA	NA	NA
BathyMg00120	bathy_Mitochondrion	-	20056	20622	mRNA	ATPase subunit 4	GO:0015986;GO:0000276;GO:0015078	IPR008688: ATPase, F0 complex, subunit B, mitochondrial	NA
BathyMg00130	bathy_Mitochondrion	-	20805	21347	mRNA	ATP synthase F0 subunit 8	GO:0015986;GO:0000276;GO:0015078	NA	NA
BathyMg00127	bathy_Mitochondrion	-	21616	22164	mRNA	n/a	NA	NA	NA
BathyMg00140	bathy_Mitochondrion	+	22218	22694	mRNA	NADH dehydrogenase subunit 10	GO:0051539;GO:0048038;GO:0055114;GO:0008137	NA	NA
BathyMg00150	bathy_Mitochondrion	+	22749	23315	mRNA	NADH dehydrogenase subunit 9	GO:0016651;GO:0055114	NA	NA
BathyMg00155	bathy_Mitochondrion	-	23418	23795	mRNA	NADH dehydrogenase subunit 3	GO:0055114;GO:0008137	NA	NA
BathyMg00160	bathy_Mitochondrion	-	23965	25161	mRNA	NADH dehydrogenase subunit 7	NA	NA	NA
BathyMg00170	bathy_Mitochondrion	+	25423	25785	mRNA	ribosomal protein S10	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00180	bathy_Mitochondrion	+	25911	26174	mRNA	ribosomal protein S19	GO:0006412;GO:0003735;GO:0015935	NA	NA
BathyMg00254	bathy_Mitochondrion	+	26176	27090	mRNA	ribosomal protein S3	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00185	bathy_Mitochondrion	+	27106	27567	mRNA	50S ribosomal protein L16	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR000114: Ribosomal protein L16; IPR016180: Ribosomal protein L10e/L16; G3DSA:3.90.1170.10: no description; IPR020798: Ribosomal protein L16, conserved site	NA
BathyMg00255	bathy_Mitochondrion	+	27564	27941	mRNA	Ribosomal protein L14	GO:0015934;GO:0006412;GO:0003735	IPR023571: Ribosomal protein L14 domain; IPR005745: Ribosomal protein L14, bacterial-type; IPR000218: Ribosomal protein L14b/L23e	NA
BathyMg00260	bathy_Mitochondrion	+	27972	28517	mRNA	ribosomal protein L5	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR022803: Ribosomal protein L5 domain; IPR002132: Ribosomal protein L5	NA
BathyMg00256	bathy_Mitochondrion	+	28533	28832	mRNA	ribosomal protein S14	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00257	bathy_Mitochondrion	+	28877	29251	mRNA	Ribosomal protein S8	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00261	bathy_Mitochondrion	+	29296	29865	mRNA	Ribosomal protein L6	GO:0005840;GO:0006412;GO:0003735;GO:0019843	NA	NA
BathyMg00258	bathy_Mitochondrion	+	29871	30221	mRNA	ribosomal protein S13	GO:0005840;GO:0003723;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00200	bathy_Mitochondrion	+	30326	30607	mRNA	Ribosomal protein S11	GO:0005840;GO:0006412;GO:0005622;GO:0003735	NA	NA
BathyMg00259	bathy_Mitochondrion	+	30726	30950	mRNA	ATP synthase F0 subunit 9	GO:0015986;GO:0045263;GO:0015078	NA	NA
BathyMg00265	bathy_Mitochondrion	+	31413	32189	mRNA	hypothetical protein	NA	IPR002033: Sec-independent periplasmic protein translocase	NA
BathyMg00210	bathy_Mitochondrion	-	32220	32804	mRNA	Ribosomal protein S4	GO:0003723	IPR001912: Ribosomal protein S4/S9, N-terminal; SSF55174: Alpha-L RNA-binding motif; IPR018079: Ribosomal protein S4, conserved site; IPR022801: Ribosomal protein S4/S9; IPR002942: RNA-binding S4	NA
BathyMg00220	bathy_Mitochondrion	+	33576	33878	mRNA	NADH dehydrogenase subunit 4L	GO:0016651;GO:0042773;GO:0055114	NA	NA
BathyMg00262	bathy_Mitochondrion	+	34095	34637	mRNA	ATP synthase F0 subunit 8	GO:0015986;GO:0000276;GO:0015078	NA	NA
BathyMg00230	bathy_Mitochondrion	+	34820	35386	mRNA	ATPase subunit 4	GO:0015986;GO:0000276;GO:0015078	IPR008688: ATPase, F0 complex, subunit B, mitochondrial	NA
BathyMg00264	bathy_Mitochondrion	+	35475	35702	mRNA	hypothetical protein	NA	NA	NA
BathyMg00240	bathy_Mitochondrion	+	36278	37867	mRNA	cytochrome c oxidase subunit 1	GO:0009055;GO:0020037;GO:0005506;GO:0016021;GO:0009060	NA	NA
BathyMg00250	bathy_Mitochondrion	+	42399	43559	mRNA	apocytochrome b	GO:0016020;GO:0009055;GO:0016491	IPR005798: Cytochrome b/b6, C-terminal; IPR016175: Cytochrome b/b6; IPR016174: Di-haem cytochrome, transmembrane; IPR005797: Cytochrome b/b6, N-terminal	NA
Bathy01g00010	bathy_chrom_01	+	944	1510	mRNA	predicted protein	GO:0016787	PTHR12629: FAMILY NOT NAMED; IPR015797: NUDIX hydrolase domain-like; IPR020084: NUDIX hydrolase, conserved site; IPR000086: NUDIX hydrolase domain	NA
Bathy01g00020	bathy_chrom_01	-	1567	2967	mRNA	predicted protein	NA	NA	NA
Bathy01g00030	bathy_chrom_01	+	3323	4720	mRNA	glutathione S-transferase	GO:0005515	IPR012335: Thioredoxin fold; IPR010987: Glutathione S-transferase, C-terminal-like; IPR004046: Glutathione S-transferase, C-terminal; IPR017933: Glutathione S-transferase/chloride channel, C-terminal; IPR004045: Glutathione S-transferase, N-terminal; PTHR11260: FAMILY NOT NAMED	NA
Bathy01g00040	bathy_chrom_01	-	4879	6012	mRNA	predicted protein	GO:0006486;GO:0030173;GO:0008373	PTHR13713: FAMILY NOT NAMED; IPR012163: Sialyltransferase; IPR001675: Glycosyl transferase, family 29	NA
Bathy01g00050	bathy_chrom_01	+	6267	10415	mRNA	PAB-dependent poly(A)-specific ribonuclease subunit 2	NA	PTHR15728: FAMILY NOT NAMED; IPR006055: Exonuclease; SSF54001: Cysteine proteinases; G3DSA:3.30.420.10: no description; IPR001394: Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2; IPR012337: Ribonuclease H-like; IPR015943: WD40/YVTN repeat-like-containing domain; IPR013520: Exonuclease, RNase T/DNA polymerase III	NA
Bathy01g00060	bathy_chrom_01	+	10642	11703	mRNA	predicted protein	NA	NA	NA
Bathy01g00070	bathy_chrom_01	-	11810	12916	mRNA	predicted protein	NA	IPR005834: Haloacid dehalogenase-like hydrolase; PTHR18901: FAMILY NOT NAMED; IPR023214: HAD-like domain; IPR006402: HAD-superfamily hydrolase, subfamily IA, variant 3	NA
Bathy01g00080	bathy_chrom_01	+	13185	15374	mRNA	unnamed protein product	NA	PTHR12895: FAMILY NOT NAMED; IPR019142: Dymeclin	NA
Bathy01g00090	bathy_chrom_01	-	15470	16171	mRNA	predicted protein	NA	NA	NA
Bathy01g00100	bathy_chrom_01	+	16258	18285	mRNA	Cns1p	GO:0005515	SSF48452: TPR-like; IPR001440: Tetratricopeptide TPR-1; IPR011990: Tetratricopeptide-like helical; IPR001623: Heat shock protein DnaJ, N-terminal; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat; PTHR22904: FAMILY NOT NAMED	NA
Bathy01g00110	bathy_chrom_01	-	18384	19496	mRNA	predicted protein	GO:0008440	IPR005522: Inositol polyphosphate kinase; SSF56104: SAICAR synthase-like	NA
Bathy01g00120	bathy_chrom_01	+	19745	21430	mRNA	predicted protein	GO:0050660;GO:0016491	IPR016168: FAD-linked oxidase, FAD-binding, subdomain 2; IPR016166: FAD-binding, type 2; IPR004113: FAD-linked oxidase, C-terminal; IPR016171: Vanillyl-alcohol oxidase, C-terminal subdomain 2; PTHR11748: FAMILY NOT NAMED; IPR006094: FAD linked oxidase, N-terminal; IPR016167: FAD-binding, type 2, subdomain 1	NA
Bathy01g00130	bathy_chrom_01	-	21984	23498	mRNA	unnamed protein product	GO:0006813;GO:0005249;GO:0008076	SSF81324: Voltage-gated potassium channels; IPR005821: Ion transport; IPR003091: Voltage-dependent potassium channel; G3DSA:1.20.120.350: no description	NA
Bathy01g00140	bathy_chrom_01	-	24365	26987	mRNA	Ribonucleoside-diphosphate reductase subunit	GO:0004748;GO:0006260;GO:0005971	IPR000788: Ribonucleotide reductase large subunit, C-terminal; IPR005144: ATP-cone; IPR013509: Ribonucleotide reductase large subunit, N-terminal; IPR013346: Ribonucleoside-diphosphate reductase, alpha subunit; SSF51998: PFL-like glycyl radical enzymes; PTHR11573: FAMILY NOT NAMED; G3DSA:3.20.70.20: no description	NA
Bathy01g00150	bathy_chrom_01	-	27278	27478	mRNA	predicted protein	NA	IPR005144: ATP-cone; PTHR11573: FAMILY NOT NAMED	NA
Bathy01g00160	bathy_chrom_01	+	27753	28025	mRNA	unknown protein	NA	NA	NA
Bathy01g00170	bathy_chrom_01	-	28099	30507	mRNA	predicted protein	GO:0005524	IPR001404: Heat shock protein Hsp90; IPR019805: Heat shock protein Hsp90, conserved site; IPR020575: Heat shock protein Hsp90, N-terminal; IPR020568: Ribosomal protein S5 domain 2-type fold; IPR003594: ATPase-like, ATP-binding domain; SSF110942: HSP90 C-terminal domain	NA
Bathy01g00180	bathy_chrom_01	+	30976	31803	mRNA	unknown protein	NA	IPR015940: Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote; IPR000449: Ubiquitin-associated/translation elongation factor EF1B, N-terminal; G3DSA:1.10.8.10: no description	NA
Bathy01g00190	bathy_chrom_01	-	31896	32276	mRNA	50S ribosomal protein L36	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR000473: Ribosomal protein L36; PD002101: Q8W464_ARATH_Q8W464;	NA
Bathy01g00200	bathy_chrom_01	+	32474	33220	mRNA	predicted protein	GO:0006457	SSF54534: FKBP-like; G3DSA:3.10.50.40: no description; IPR023566: Peptidyl-prolyl cis-trans isomerase, FKBP-type; IPR001179: Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	NA
Bathy01g00210	bathy_chrom_01	-	33320	34540	mRNA	predicted protein	GO:0016787	IPR004843: Metallo-dependent phosphatase; PTHR10161: TARTRATE-RESISTANT ACID PHOSPHATASE TYPE 5; G3DSA:3.60.21.10: no description	NA
Bathy01g00220	bathy_chrom_01	-	34701	36453	mRNA	predicted protein	GO:0006508;GO:0004177;GO:0008235	IPR011991: Winged helix-turn-helix transcription repressor DNA-binding; IPR000994: Peptidase M24, structural domain; IPR002468: Peptidase M24A, methionine aminopeptidase, subfamily 2; PTHR10804: PROTEASE FAMILY M24 (METHIONYL AMINOPEPTIDASE, AMINOPEPTIDASE P); IPR001714: Peptidase M24, methionine aminopeptidase	NA
Bathy01g00230	bathy_chrom_01	-	37256	38617	mRNA	conserved hypothetical protein	NA	PTHR12049: FAMILY NOT NAMED; IPR003788: Protein of unknown function DUF185	NA
Bathy01g00240	bathy_chrom_01	-	38861	41344	mRNA	acyl-CoA dehydrogenase domain-containing protein	NA	IPR006090: Acyl-CoA oxidase/dehydrogenase, type 1; IPR013786: Acyl-CoA dehydrogenase/oxidase, N-terminal; IPR006091: Acyl-CoA oxidase/dehydrogenase, central domain; G3DSA:3.90.1200.10: no description; IPR009075: Acyl-CoA dehydrogenase/oxidase C-terminal; IPR011009: Protein kinase-like domain; IPR006092: Acyl-CoA dehydrogenase, N-terminal; IPR002575: Aminoglycoside phosphotransferase; PTHR10909: FAMILY NOT NAMED	NA
Bathy01g00250	bathy_chrom_01	-	41579	43096	mRNA	unknown protein	NA	NA	NA
Bathy01g00260	bathy_chrom_01	+	43984	44769	mRNA	predicted protein	NA	NA	NA
Bathy01g00270	bathy_chrom_01	-	44878	46389	mRNA	methionine aminopeptidase 1	GO:0006508;GO:0004177;GO:0008235	IPR000994: Peptidase M24, structural domain; IPR002467: Peptidase M24A, methionine aminopeptidase, subfamily 1; PTHR10804: PROTEASE FAMILY M24 (METHIONYL AMINOPEPTIDASE, AMINOPEPTIDASE P); IPR001714: Peptidase M24, methionine aminopeptidase	NA
Bathy01g00280	bathy_chrom_01	-	46554	47089	mRNA	predicted protein	NA	PTHR14154: FAMILY NOT NAMED; IPR005336: Uncharacterised protein family UPF0041	NA
Bathy01g00290	bathy_chrom_01	+	47736	50726	mRNA	unknown protein	NA	PTHR15496: FAMILY NOT NAMED	NA
Bathy01g00300	bathy_chrom_01	+	50812	51930	mRNA	predicted protein	NA	PTHR12290: FAMILY NOT NAMED; IPR007085: DNA/pantothenate metabolism flavoprotein, C-terminal	NA
Bathy01g00310	bathy_chrom_01	+	52073	53761	mRNA	unnamed protein product	GO:0000502;GO:0042176;GO:0030234	IPR000717: Proteasome component (PCI) domain; IPR011991: Winged helix-turn-helix transcription repressor DNA-binding; IPR011990: Tetratricopeptide-like helical; PTHR10758: 26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 3/COP9 SIGNALOSOME COMPLEX SUBUNIT 3; IPR013143: PCI/PINT associated module; IPR013586: 26S proteasome regulatory subunit, C-terminal	NA
Bathy01g00320	bathy_chrom_01	-	53868	54548	mRNA	Signal recognition particle 19 kDa protein	GO:0006614;GO:0048500;GO:0008312	IPR002778: Signal recognition particle, SRP19 subunit	NA
Bathy01g00330	bathy_chrom_01	-	55452	56462	mRNA	predicted protein	NA	NA	NA
Bathy01g00340	bathy_chrom_01	+	56614	57897	mRNA	Protein of unknown function DUF2196	NA	IPR000504: RNA recognition motif domain; IPR012677: Nucleotide-binding, alpha-beta plait; IPR019240: Protein of unknown function DUF2196	NA
Bathy01g00350	bathy_chrom_01	+	58340	58792	mRNA	predicted protein	NA	NA	NA
Bathy01g00360	bathy_chrom_01	-	59044	60678	mRNA	60S ribosomal protein L3	NA	IPR000597: Ribosomal protein L3; G3DSA:4.10.960.10: no description; PTHR11363: FAMILY NOT NAMED; IPR019926: Ribosomal protein L3, conserved site; G3DSA:2.40.30.10: no description; IPR009000: Translation elongation/initiation factor/Ribosomal, beta-barrel; G3DSA:3.30.1430.10: no description	NA
Bathy01g00370	bathy_chrom_01	+	60839	63193	mRNA	unknown protein	NA	NA	NA
Bathy01g00380	bathy_chrom_01	+	63752	66712	mRNA	unknown protein	NA	NA	NA
Bathy01g00390	bathy_chrom_01	-	66929	68995	mRNA	ABC transporter related	GO:0005524;GO:0016887	G3DSA:3.40.50.300: no description; IPR003593: ATPase, AAA+ type, core; PTHR24221: FAMILY NOT NAMED; IPR003439: ABC transporter-like; IPR011527: ABC transporter, transmembrane domain, type 1; IPR017940: ABC transporter, integral membrane type 1; G3DSA:1.20.1560.10: no description; IPR001140: ABC transporter, transmembrane domain; IPR017871: ABC transporter, conserved site	NA
Bathy01g00400	bathy_chrom_01	+	69295	69771	mRNA	predicted protein	NA	IPR013885: Protein of unknown function DUF1764, eukaryotic	NA
Bathy01g00410	bathy_chrom_01	-	69889	71091	mRNA	S-adenosylmethionine transporter	GO:0016020	PTHR22911: FAMILY NOT NAMED; SSF103481: Multidrug resistance efflux transporter EmrE; IPR000620: Drug/metabolite transporter	NA
Bathy01g00420	bathy_chrom_01	-	71319	72344	mRNA	predicted protein	GO:0016491	IPR006620: Prolyl 4-hydroxylase, alpha subunit; IPR005123: Oxoglutarate/iron-dependent oxygenase; PTHR10869: PROLYL 4-HYDROXYLASE ALPHA SUBUNIT	NA
Bathy01g00430	bathy_chrom_01	+	72585	73352	mRNA	predicted protein	NA	PTHR13253: FAMILY NOT NAMED; IPR001763: Rhodanese-like	NA
Bathy01g00440	bathy_chrom_01	+	73670	74338	mRNA	Dynein light chain 1, cytoplasmic	GO:0005875;GO:0007017	IPR019763: Dynein light chain, type 1/2, conserved site; IPR001372: Dynein light chain, type 1/2	NA
Bathy01g00450	bathy_chrom_01	-	74485	76140	mRNA	predicted protein	NA	IPR007109: Brix domain; G3DSA:3.40.50.10480: no description; PTHR22734: FAMILY NOT NAMED	NA
Bathy01g00460	bathy_chrom_01	+	76447	77547	mRNA	YtbE (Aldo/keto reductase YtbE)	NA	IPR001395: Aldo/keto reductase; IPR020471: Aldo/keto reductase subgroup; IPR018170: Aldo/keto reductase, conserved site; IPR023210: NADP-dependent oxidoreductase domain	NA
Bathy01g00470	bathy_chrom_01	-	77601	78371	mRNA	unknown protein	NA	NA	NA
