Vocar.0001s0003.1	5-formyltetrahydrofolate cycloligase.
Vocar.0001s0280.1	ribosomal protein S3A; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0001s0304.1	plastid / chloroplast ribosomal protein L27; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L27.
Vocar.0001s0313.1	Peptide methionine-S-sulfoxide reductase. Selenocysteine containing protein. (The Chlamydomonas ortholog is called: MSRA1).
Vocar.0001s0320.1	NADH:ubiquinone oxidoreductase (complex I) 10 kDa subunit, mitochondrial.
Vocar.0001s0333.1	CTR-type copper ion transporter; transmembrane copper transporter.
Vocar.0001s0397.1	mitochondrial ribosomal protein L20; imported to mitochondria.
Vocar.0001s0412.1	plastid / chloroplast ribosomal protein L18; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L18.
Vocar.0001s0439.1	acetyl-CoA synthetase (EC 6.2.1.1); acetate-CoA ligase.
Vocar.0001s0453.1	Contains IPR006214 which includes a subset of Bax inhibitor-1 proteins (IPR006213).
Vocar.0001s0460.1	histone H2B (histone H2B-12); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0001s0480.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0001s0493.1	acetyl-CoA synthetase (EC 6.2.1.1); acetate-CoA ligase.
Vocar.0001s0497.1	Acetate Kinase; Acetokinase.
Vocar.0001s0498.1	Putative phosphate acetyltransferase (EC 2.3.1.8); phosphotransacetylase; similarity to prokaryotic phosphate acetyltransferase (e.g., Desulfovibrio GenBank AAS97500).
Vocar.0001s0500.1	Iron hydrogenase assembly protein, contains domains homologous to prokaryotic HydE and HydF; radical SAM domain present in N-terminal region. [PMID: 15082711].
Vocar.0001s0501.1	Related to Thiazole biosynthesis protein thiH/O. Pfam motif found in thiamin and biotin biosynthesis genes. Radical SAM protein required for the assembly of an active [Fe]-hydrogenase [PMID: 15082711].
Vocar.0001s0542.1	Similar to the RabH/Rab6/Ypt6/Rhy1 (At/Hs/Sc/Sp) type Rab GTPase, involved in vesicle trafficking (retrograde, Golgi to ER). Rab-related GTPase (Rab6) belongs to Rab6 family of small GTPases; GTP-binding protein; probably orthologous to C. reinhardtii RAB
Vocar.0001s0546.1	ribosomal protein L18A, component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0546.2	ribosomal protein L18A, component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0547.1	glutaredoxin 6, CGFS type.
Vocar.0001s0561.1	Closely related to C. reinhardtii FAP156. Rab-related small GTPase; (not found in land plants); GTP-binding protein.
Vocar.0001s0585.1	Cytochrome c oxidase subunit II (cox2b), C-terminal part.
Vocar.0001s0603.1	diaminopimelate (DAP) decarboxylase (EC:4.1.1.20); lysine synthesis enzyme.
Vocar.0001s0611.1	Subtilisin-like serine protease; hatching protease; involved in the liberation of juveniles from parental spheroids; posttranslationally regulated protease; reference: Fukada, K., Inoue, T. and Shiraishi, H. (2006) Plant Cell 18: 2554-2566 [PMID: 17028206
Vocar.0001s0673.1	aconitate hydratase (EC 4.2.1.3), mitochondrial; citrate hydro-lyase; aconitase.
Vocar.0001s0705.1	Chlorophyll a oxygenase; chlorophyll b synthase [GI:61742125; PMID: 15849308].
Vocar.0001s0708.1	Kif6 type kinesin-like protein; contains Kif9 domain.
Vocar.0001s0708.2	Kif6 type kinesin-like protein; contains Kif9 domain.
Vocar.0001s0710.1	partial putative Kif6 type kinesin-like protein; contains Kif9-like domain.
Vocar.0001s0739.1	serine decarboxylase involved in ethanolamine production for phosphatidylethanolamine biosynthesis.
Vocar.0001s0760.1	Potential mitochondrial precursor. Contains a proline dehydrogenase domain (IPR002872) and a potential EF-hand. An EF-hand is also present in a Caenorhabditis elegans proline oxidase. In human, a proline oxidase gene is induced by p53 (PIG6) and mediates
Vocar.0001s0763.1	Transmembrane protein; contains IPR006214 - a family of proteins of unknown function that include a subset of Bax inhibitor-1 proteins (also found in N-methyl-D-aspartate receptor glutamate-binding subunit, Fas apoptotic inhibitory molecule 2, lifeguard p
Vocar.0001s0799.1	ribosomal protein L26; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0799.2	ribosomal protein L26; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0799.3	ribosomal protein L26; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0807.1	ribosomal protein S2; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0001s0843.1	NADH:ubiquinone oxidoreductase (complex I) 17.8 kDa subunit.
Vocar.0001s0845.1	NADH:ubiquinone oxidoreductase (complex I) B14 subunit.
Vocar.0001s0845.2	NADH:ubiquinone oxidoreductase (complex I) B14 subunit.
Vocar.0001s0879.1	histone H4 (histone H4-14); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0001s0880.1	histone H2A (histone H2A-2); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0001s0881.1	histone H2B (histone H2B-2); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0001s0892.1	vacuolar ATP synthase subunit H, V-ATPase H subunit, vacuolar proton pump H subunit.
Vocar.0001s0895.1	very similar to C. reinhardtii protein annotated as IFT-71 (Genbank AAS48648) or IFT-74 (JGI website).
Vocar.0001s0899.1	essential ATP-dependent RNA helicase of the DEAD-box protein family; involved in nonsense-mediated mRNA decay and rRNA processing; homology to Saccharomyces cerevisiae Dbp2p.
Vocar.0001s0903.1	protein conserved only in organisms with motile cilia (Mot60); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0001s0912.1	plastid / chloroplast ribosomal protein L34; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L34.
Vocar.0001s0941.1	nucleotide cyclase (Cyc6); member of the large guanylyl- and adenylyl cyclase family (E.C.4.6.1.1 / E.C.4.6.1.2); cyclic nucleotide synthesis; carries a conserved class III cyclase domain.
Vocar.0001s0942.1	ribosomal protein L11; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s0951.1	20S proteasome alpha subunit D (type 7).
Vocar.0001s0982.1	DnaJ-like heat shock protein 8; member of the DnaJ superfamily; molecular chaperone.
Vocar.0001s0982.2	DnaJ-like heat shock protein 8; member of the DnaJ superfamily; molecular chaperone.
Vocar.0001s1011.1	Similar to actin-binding protein gelsolin.
Vocar.0001s1013.1	T-complex protein 1, eta subunit (CCT7); TCP-1 eta subunit; subunit of cytosolic chaperonin complex.
Vocar.0001s1026.1	ankyrin-repeat protein (Ank5); belongs to the large family of ankyrins, which contain a unique protein-protein interaction motif; ankyrin repeats are tandemly repeated modules of about 33 amino acids; ankyrin repeats fold into a helix-loop-helix structure
Vocar.0001s1045.1	small G-protein (yptV1); small G protein superfamily; GTP-binding protein; membrane associated protein; ras-like protein; reference: Fabry, S., Nass, N., Huber, H., Palme, K., Jaenicke, L. and Schmitt, R. (1992) Gene 118: 153-162 [PMID: 1511889]; Genbank
Vocar.0001s1051.1	NimA-related protein kinase homolog 2 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0001s1051.2	NimA-related protein kinase homolog 2 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0001s1061.1	Dynein heavy chain 11 (Putative flagellar inner arm dynein heavy chain). (The Chlamydomonas ortholog is called: DHC11).
Vocar.0001s1061.2	Dynein heavy chain 11 (Putative flagellar inner arm dynein heavy chain). (The Chlamydomonas ortholog is called: DHC11).
Vocar.0001s1082.1	adenylate kinase (Adk4); adenylate kinases are phosphotransferases that catalyse the reversible reaction AMP + MgATP = ADP + MgADP.
Vocar.0001s1094.1	COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ).
Vocar.0001s1094.2	COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ).
Vocar.0001s1095.1	very similar to C. reinhardtii IFT20, intraflagellar transport protein.
Vocar.0001s1112.1	plastid / chloroplast ribosomal protein L9; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L9.
Vocar.0001s1131.1	acetylglucosaminyltransferase (Elg15); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0001s1137.1	eukaryotic translation initiation factor 2B delta.
Vocar.0001s1147.1	DnaJ-like heat shock protein 27; member of the DnaJ superfamily; molecular chaperone.
Vocar.0001s1178.1	protein of unknown function, contains the armadillo (Arm) repeat; the armadillo repeat is an approximately 40 amino acid long tandemly repeated sequence motif first identified in the Drosophila melanogaster segment polarity gene armadillo involved in sign
Vocar.0001s1180.1	Contains a DNA-binding TFAR19-related protein domain (IPR002836).
Vocar.0001s1181.1	Similar to plant phagocytosis and cell motility proteins. Contains the Engulfment and cell motility, ELM, domain (IPR006816). This domain is a conserved region found in a number of eukaryotic proteins involved in the cytoskeletal rearrangements required f
Vocar.0001s1187.1	Cytochrome P450 like protein similar to CYP51A (ABC59074), possible sterol 14-demethylase involved in sterol/ergosterol biosynthesis. CYP51G1 is the P450 nomenclature for sterol 14 alpha demethylases of green plants. ERG11 is a name from the fungal ergost
Vocar.0001s1207.1	ribosomal protein L15; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s1229.1	contains the FAT (IPR003151), PI3Kc (IPR000403) and FATC (IPRIPR003152) domains.
Vocar.0001s1229.2	contains the FAT (IPR003151), PI3Kc (IPR000403) and FATC (IPRIPR003152) domains.
Vocar.0001s1232.1	plastid / chloroplast ribosomal protein L1; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L1.
Vocar.0001s1278.1	structural maintenance of chromosomes (SMC) protein 5 homolog; subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation.
Vocar.0001s1288.1	chloroplast ribosome-associated protein (rap41); nuclear gene for chloroplast product; chloroplast stem-loop-binding protein; 41 kDa protein; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC
Vocar.0001s1291.1	Encodes Hsp70-like protein that is similar to Hsp110 family members; orthologous to C. reinhardtii HSP70G.
Vocar.0001s1295.1	component of oligomeric golgi complex 8 (Cog8); involved in vesicle tethering and other Golgi functions.
Vocar.0001s1299.1	T-complex protein 1, alpha subunit (CCT1); TCP-1 alpha subunit; subunit of cytosolic chaperonin complex.
Vocar.0001s1300.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt5 (subunit 6A).
Vocar.0001s1350.1	mitochondrial ribosomal protein S14; imported to mitochondria.
Vocar.0001s1366.1	choline / ethanolamine kinase.
Vocar.0001s1377.1	mitochondrial ribosomal protein L7/L12; imported to mitochondria.
Vocar.0001s1378.1	serine hydroxymethyltransferase.
Vocar.0001s1380.1	NADH:ubiquinone oxidoreductase (Complex I) subunit related to gamma carbonic anhydrase.
Vocar.0001s1421.1	ribosomal protein S5; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0001s1481.1	superoxide dismutase [Mn], manganese superoxide dismutase.
Vocar.0001s1481.2	superoxide dismutase [Mn], manganese superoxide dismutase.
Vocar.0001s1497.1	ribosomal protein L32; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s1502.1	Qc-SNARE, Tlg1/Syntaxin 6-family; involved in Golgi/endosomal trafficking.
Vocar.0001s1523.1	histone H1 (histone H1-1); reference: Lindauer, A., M ller, K. and Schmitt, R. (1993) Gene 129: 59-68 [PMID: 8335260]; Genbank entry L07946.
Vocar.0001s1529.1	Contains the BRCA_2 domain (IPR015525 - Breast cancer type 2 susceptibility protein) but only five or six BRCA2_repeat domains (IPR002093); BRCA2 is a breast tumor suppressor with a potential function in the cellular response to DNA damage. BRCA2, and rel
Vocar.0001s1542.1	NimA-related protein kinase homolog 1 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0001s1598.1	putative chloroplast elongation factor G.
Vocar.0001s1599.1	uroporphyrinogen decarboxylase, chloroplast precursor.
Vocar.0001s1603.1	serine/threonine protein kinase 9.
Vocar.0001s1640.1	partial putative CENPE type kinesin-like protein.
Vocar.0001s1640.2	partial putative CENPE type kinesin-like protein.
Vocar.0001s1683.1	ribosomal protein L19; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0001s1685.1	GON167 protein; mainly expressed in reproductive cells; reference: Tam, L.W. and Kirk, D.L. (1991) Dev. Biol. 145: 51-66 [PMID: 1708346]; Genbank entry U31955.
Vocar.0001s1730.1	cysteine protease, chitin-binding protein; localized in deep zone of extracellular matrix; reference: Amon, P., Haas, E. and Sumper, M. (1998) Plant Cell 10: 781-789 [PMID: 9596636]; Genbank entry AF058717.
Vocar.0001s1779.1	Arf-related GTPase (Arf7) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0002s0002.1	elongation factor-like protein; similar to yeast Hbs1p, which plays a role in nonsense-mediated decay.
Vocar.0002s0012.1	ferredoxin (FER1); mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123074.
Vocar.0002s0021.1	ribosomal protein L23A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0002s0071.1	This is a homologue of Chlamydomonas LHCA1. In Volvox lhcA has been used for a LHCA4 homologue and thus a little confusing.
Vocar.0002s0080.1	protein conserved only in organisms with motile cilia (Mot14); identified by comparative genomics as being present only in organisms having motile cilia. This is the ortholog of the Chlamydomonas VFL3 gene, involved in basal body assembly. See: AAQ95705,
Vocar.0002s0094.1	Serine/threonine protein kinase; Protein contains a kinase domain with similarity to Chlamydomonas MUT9 (AAL60199).
Vocar.0002s0096.1	pyruvate kinase; EC 2.7.1.40; catalyses the final step in glycolysis, which is the conversion of phosphoenolpyruvate to pyruvate with concomitant phosphorylation of ADP to ATP; probably cytosolic.
Vocar.0002s0097.1	Expressed Protein. Similar to GOS1/GS28, Qb-SNAREs involved in intra-Golgi trafficking.
Vocar.0002s0097.2	Expressed Protein. Similar to GOS1/GS28, Qb-SNAREs involved in intra-Golgi trafficking.
Vocar.0002s0108.1	DnaJ-like heat shock protein 44; DnaJ superfamily; molecular chaperone.
Vocar.0002s0116.1	uncoupling protein; probably mitochondrial.
Vocar.0002s0142.1	NimA-related protein kinase homolog 3 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0002s0155.1	nucleic acid binding protein (NAB1); mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123075.
Vocar.0002s0155.2	nucleic acid binding protein (NAB1); mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123075.
Vocar.0002s0163.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc8).
Vocar.0002s0163.2	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc8).
Vocar.0002s0172.1	Putative Idaten transposition protein. Similar to CACTA, En/Spm transposase.
Vocar.0002s0173.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0002s0180.1	similar to C. reinhardti BBS5, Bardet-Biedl syndrome 5 flagellar/cilia protein.
Vocar.0002s0209.1	arogenate/prephenate dehydrogenase; based on similarity to arogenate dehydrogenase from rice.
Vocar.0002s0209.2	arogenate/prephenate dehydrogenase; based on similarity to arogenate dehydrogenase from rice.
Vocar.0002s0209.3	arogenate/prephenate dehydrogenase; based on similarity to arogenate dehydrogenase from rice.
Vocar.0002s0214.1	plastid / chloroplast ribosomal protein L28; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L28.
Vocar.0002s0214.2	plastid / chloroplast ribosomal protein L28; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L28.
Vocar.0002s0228.1	NADH:ubiquinone oxidoreductase (complex I) 13 kDa subunit, mitochondrial.
Vocar.0002s0242.1	NADH:ubiquinone oxidoreductase (complex I) B18 subunit, 10 kDa subunit, mitochondrial.
Vocar.0002s0279.1	acetylglucosaminyltransferase (Elg14); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0002s0283.1	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.
Vocar.0002s0316.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc13).
Vocar.0002s0333.1	gonidia-specific cDNA G18, AF110786; PMID:10654090. One of a number of light harvesting complex a protein genes, called LHCA genes in Chlamydomonas. (The closest match in Chlamydomonas also shows synteny and is called: LHCA8).
Vocar.0002s0334.1	ribosomal protein S8; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0002s0335.1	plastid / chloroplast ribosomal protein L10; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L10.
Vocar.0002s0337.1	ribosomal protein S18; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0002s0346.1	ribosomal protein S27A, component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0002s0358.1	26S proteasome regulatory complex, base subcomplex, non-ATPase regulatory subunit Rpn3 (subunit 3; Psd3; PSMD3).
Vocar.0002s0359.1	histone H2B (histone H2B-12); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0002s0360.1	histone H4 (histone H4-12); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0002s0365.1	histone H4 (histone H4-11); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0002s0371.1	histone H1 (histone H1-2); reference: Lindauer, A., M ller, K. and Schmitt, R. (1993) Gene 129: 59-68 [PMID: 8335260]; Genbank entry L07947.
Vocar.0002s0389.1	histone H2B (histone H2B-12); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0002s0391.1	histone H2A (histone H2A-7); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0002s0392.1	histone H2B (histone H2B-7); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0002s0394.1	Cyclin dependent kinase; Volvocales specific subfamily; SDSTIRE motif.
Vocar.0002s0418.1	phosphoglycerate mutase; phosphoglycerate/bisphosphoglycerate mutase family protein.
Vocar.0002s0418.2	phosphoglycerate mutase; phosphoglycerate/bisphosphoglycerate mutase family protein.
Vocar.0002s0447.1	DnaJ-like heat shock protein 6; member of the DnaJ superfamily; molecular chaperone.
Vocar.0002s0449.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc18).
Vocar.0002s0455.1	mitochondrial ribosomal protein L29; imported to mitochondria.
Vocar.0002s0456.1	ATP synthase, subunit gamma, chloroplast precursor.
Vocar.0002s0457.1	encodes actin-related protein complex member ArpC4.
Vocar.0002s0480.1	aldose-1-epimerase (EC 5.1.3.3) (aldose mutarotase), possible chloroplast localization.
Vocar.0002s0496.1	phosphofructokinase (phosphofructo-1-kinase); phosphofructokinase family protein; pyrophosphate-dependent enzyme; catalyses the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate; key regulatory step in the glycolytic pathway.
Vocar.0002s0497.1	Rab-related GTPase. Appears to be orthologous to the Chlamydomonas RAB23 gene. This is a better model than another one (PID: 55713). Rab23 is not found in Arabidopsis, Populus and Ostreococcus but Physcomitrella has it.
Vocar.0002s0499.1	haloperoxidase-like protein.
Vocar.0002s0505.1	putative mitochondrial elongation factor P (EF-P).
Vocar.0002s0515.1	Chlamydomonas ortholog [187146] identified in the flagellar and basal body proteome [PMID: 15137946] and upregulated by deflagellation; putative R53.5-related protein. Low-CO2 and high-light inducible gene LCI7 revealed by cDNA array.
Vocar.0002s0517.1	eukaryotic translation initiation factor 1 alpha 1 (Eif1A1).
Vocar.0002s0517.2	eukaryotic translation initiation factor 1 alpha 1 (Eif1A1).
Vocar.0002s0517.3	eukaryotic translation initiation factor 1 alpha 1 (Eif1A1).
Vocar.0002s0518.1	Ortholog of Chlamydomonas predicted protein 187150.
Vocar.0002s0520.1	Conserved protein similar to Pex11, involved in peroxisomal protein import and biogenesis. Chlamydomonas ortholog PEX11 [167266].
Vocar.0002s0532.1	unknown protein. Possible ortholog of Chlamydomonas model 182317.
Vocar.0002s0533.1	unknown protein. Possible ortholog of Chlamydomonas model 187137.
Vocar.0002s0543.1	Belongs to AAAP family of amino acid/auxin permeases; most similar to animal and fungal relatives, in particular to neutral amino acid transporter system N2; identified as MOT57 by comparative genomics as being present only in organisms having motile ci
Vocar.0002s0544.1	unknown protein. Has a Chlamydomonas ortholog, best represented by version 2 model track C_200108.
Vocar.0002s0545.1	Chloroplast ribosomal protein L13, imported to chloroplast; Chloroplast large ribosomal subunit protein L13.
Vocar.0002s0546.1	Chloroplast ribosomal protein S15, imported to chloroplast; Chloroplast small ribosomal subunit S15.
Vocar.0002s0549.1	iron-sulfur subunit of mitochondrial succinate dehydrogenase [ubiquinone] (complex II), precursor of iron-sulfur protein, (iron-sulfur subunit of complex II).
Vocar.0002s0558.1	Uses NADPH and non-covalently-bound FAD to catalyse the oxygenation of nucleophilic nitrogen, sulphur, phosphorous and selenium atoms; important for xenobiotic detoxification; more closely related to fungal and protist than to plant homologues. (The Chlam
Vocar.0002s0563.1	acetylornithine aminotransferase. Identification of Chlamydomonas ARG9 locus as acetylornithine aminotransferase: Loppes, R. and Heindricks, R. (1986) Arch. Microbiol. 143:348-352. (The Chlamydomonas ortholog is called: ARG9).
Vocar.0002s0569.1	contains CONSTANS-type zinc finger. (The Chlamydomonas ortholog is called: CGLD18).
Vocar.0002s0582.1	putative RIO kinase; has a Chlamydomonas ortholog but it is missing from v3.
Vocar.0002s0583.1	50S ribosomal protein L22, chloroplast. Mutations in this gene in Chlamydomonas result in erythromycin resistance (ery2), see Genbank Q84U21; PMID: 12930744.
Vocar.0002s0587.1	Appears to be orthologous with the Chlamydomonas RABC2. Similar to the RabC/Rab18 type GTPase. There are three RabC/Rab18 related genes (rabC1-C3) in Volvox genome. Rab-related GTPase belongs to RabC/Rab18 family of small GTPases (not found in land plants
Vocar.0002s0588.1	putative protein kinase. Chlamydomonas ortholog: model 192992.
Vocar.0002s0589.1	Expressed Protein of unknown function. Contains BPI/LBP/CETP N-terminal domain. Chlamydomonas ortholog: model 196056.
Vocar.0002s0591.1	Hypothetical Conserved Protein. Similar to VPS39 homologues, components of VPS-C complex. (The Chlamydomonas ortholog is called: VPS39).
Vocar.0002s0591.2	Hypothetical Conserved Protein. Similar to VPS39 homologues, components of VPS-C complex. (The Chlamydomonas ortholog is called: VPS39).
Vocar.0002s0592.1	kinesin-like protein; appears to be member of Kar3 subfamily of kinesins; similar to Arabidopsis kinesin-like calmodulin-binding protein KCBP.
Vocar.0002s0595.1	histone H3 (histone H3-9); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0002s0597.1	histone H4 (histone H4-9); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0002s0598.1	histone H3 (histone H3-8); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0002s0600.1	ribosomal protein L21; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0002s0600.2	ribosomal protein L21; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0002s0601.1	Contains IPR013632 (Rad51, C-terminal). This domain is found at the C terminus of the DNA repair and recombination protein Rad51. It is critical for DNA binding.
Vocar.0002s0608.1	NAD-dependent epimerase/dehydratase; belongs to a family of proteins which utilise NAD as a cofactor and use nucleotide-sugar substrates for a variety of chemical reactions.
Vocar.0002s0609.1	histone H2A (histone H2A-6); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0002s0611.1	unknown protein. Chlamydomonas has a possible ortholog, but no model is present at its location.
Vocar.0002s0612.1	unknown protein. Chlamydomonas ortholog: model 120503.
Vocar.0002s0614.1	unknown protein. Chlamydomonas ortholog: model 151357.
Vocar.0002s0614.2	unknown protein. Chlamydomonas ortholog: model 151357.
