locusName	arabi-defline
e_gw1.1.720.1	Aconitase/3-isopropylmalate dehydratase protein
gw1.5.79.1	heavy metal atpase 2
e_gw1.1.195.1	Methylenetetrahydrofolate reductase family protein
e_gw1.1.707.1	fatty acid desaturase A
e_gw1.1.736.1	Glycosyl hydrolase superfamily protein
e_gw1.1.594.1	Arabidopsis Inositol phosphorylceramide synthase 2
e_gw1.1.10.1	oxoprolinase 1
e_gw1.1.312.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.1.488.1	thylakoid ATP/ADP carrier
e_gw1.1.59.1	topoisomerase 3alpha
e_gw1.1.431.1	LIM domain-containing protein
e_gw1.1.613.1	PAS domain-containing protein tyrosine kinase family protein
e_gw1.1.496.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.1.409.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.1.605.1	Dihydrodipicolinate reductase, bacterial/plant
e_gw1.1.179.1	ATP-dependent RNA helicase, mitochondrial (SUV3)
e_gw1.1.72.1	polymerase gamma 1
e_gw1.1.754.1	nuclear factor Y, subunit B3
e_gw1.1.484.1	manganese tracking factor for mitochondrial SOD2
e_gw1.1.115.1	general control non-repressible 5
e_gw1.1.439.1	
e_gw1.1.525.1	ataurora3
e_gw1.1.534.1	ubiquitin family protein
e_gw1.1.173.1	peroxisomal ABC transporter 1
e_gw1.1.673.1	non-intrinsic ABC protein 14
e_gw1.1.20.1	protein arginine methyltransferase 7
e_gw1.1.219.1	vacuolar protein sorting 45
e_gw1.1.279.1	nucleotide transporter 1
e_gw1.1.286.1	purple acid phosphatase 22
e_gw1.1.753.1	glutathione peroxidase 7
e_gw1.1.790.1	Cytidine/deoxycytidylate deaminase family protein
e_gw1.1.644.1	Protein of unknown function (DUF167)
e_gw1.1.614.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.1.642.1	manganese superoxide dismutase 1
e_gw1.1.190.1	cytidine/deoxycytidylate deaminase family protein
e_gw1.1.769.1	endoribonuclease L-PSP family protein
e_gw1.1.480.1	Aldolase superfamily protein
e_gw1.1.689.1	Ankyrin repeat family protein
e_gw1.1.747.1	Plastid-lipid associated protein PAP / fibrillin family protein
e_gw1.1.546.1	
e_gw1.1.764.1	Protein of unknown function (DUF3531)
e_gw1.2.752.1	ARM repeat superfamily protein
e_gw1.2.366.1	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
e_gw1.2.290.1	Phosphoinositide phosphatase family protein
e_gw1.2.764.1	RAD3-like DNA-binding helicase protein
e_gw1.2.501.1	
e_gw1.2.215.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.2.571.1	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
e_gw1.2.440.1	cell division control 2
e_gw1.2.797.1	MAP kinase 4
e_gw1.2.720.1	thioredoxin M-type 4
e_gw1.2.359.1	biotin F
e_gw1.2.433.1	deoxyhypusine synthase
e_gw1.2.116.1	topoisomerase 6 subunit  B
e_gw1.2.656.1	nudix hydrolase homolog 3
e_gw1.2.283.1	
gw1.2.101.1	Protein kinase superfamily protein
e_gw1.2.553.1	RNase L inhibitor protein-related
e_gw1.2.135.1	lysyl-tRNA synthetase 1
e_gw1.2.138.1	Lycopene beta/epsilon cyclase protein
e_gw1.2.379.1	Serine carboxypeptidase S28 family protein
gw1.4.105.1	Protein kinase family protein with ARM repeat domain
e_gw1.2.93.1	DNA-directed DNA polymerases
e_gw1.2.321.1	methionine gamma-lyase
e_gw1.2.437.1	electron transfer flavoprotein alpha
e_gw1.2.799.1	homoserine kinase
e_gw1.2.603.1	regulatory particle non-ATPase 10
e_gw1.2.289.1	histidinol dehydrogenase
e_gw1.2.57.1	minichromosome maintenance (MCM2/3/5) family protein
e_gw1.2.383.1	actin related protein 2
e_gw1.2.490.1	N-acetyl-l-glutamate kinase
e_gw1.2.49.1	heat shock protein 101
e_gw1.2.231.1	protein arginine methyltransferase 3
e_gw1.2.482.1	PTEN 3
e_gw1.2.88.1	RAD3-like DNA-binding helicase protein
e_gw1.2.491.1	DNAJ heat shock family protein
e_gw1.2.386.1	UDP-Glycosyltransferase superfamily protein
e_gw1.2.160.1	LMBR1-like membrane protein
e_gw1.2.153.1	tRNA synthetase class II (D, K and N) family protein
e_gw1.2.90.1	ATP binding;ATP-dependent helicases;DNA helicases
e_gw1.2.695.1	RNA-binding (RRM/RBD/RNP motifs) family protein
e_gw1.2.408.1	tryptophan biosynthesis 1
e_gw1.2.213.1	3-ketoacyl-CoA synthase 2
e_gw1.2.455.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.2.729.1	Nucleic acid-binding, OB-fold-like protein
e_gw1.2.527.1	Protein kinase superfamily protein
e_gw1.2.471.1	UDP-galactose transporter 3
e_gw1.2.626.1	Fumarylacetoacetate (FAA) hydrolase family
e_gw1.2.636.1	chloroplast heat shock protein 70-2
e_gw1.2.225.1	Major facilitator superfamily protein
e_gw1.2.169.1	DEAD-box protein abstrakt, putative
e_gw1.2.766.1	Long-chain fatty alcohol dehydrogenase family protein
e_gw1.2.387.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.2.532.1	RNA-binding (RRM/RBD/RNP motifs) family protein
e_gw1.2.531.1	Protein kinase family protein with ARM repeat domain
e_gw1.2.22.1	Preprotein translocase SecA family protein
e_gw1.2.580.1	phosphoribosylanthranilate isomerase 1
e_gw1.2.769.1	FTSH protease 10
e_gw1.2.31.1	Calcineurin-like metallo-phosphoesterase superfamily protein
gw1.18.27.1	Long-chain fatty alcohol dehydrogenase family protein
e_gw1.2.280.1	Major facilitator superfamily protein
e_gw1.2.728.1	co-factor for nitrate, reductase and xanthine dehydrogenase 7
e_gw1.2.667.1	Duplicated homeodomain-like superfamily protein
e_gw1.2.248.1	NAD(P)H dehydrogenase C1
e_gw1.2.124.1	Endomembrane protein 70 protein family
e_gw1.2.564.1	pyrophosphorylase 6
e_gw1.2.463.1	zinc finger (CCCH-type/C3HC4-type RING finger) family protein
e_gw1.2.378.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.2.427.1	mitogen-activated protein kinase kinase kinase 7
e_gw1.2.2.1	
e_gw1.2.613.1	
e_gw1.2.222.1	glutamate tRNA synthetase
e_gw1.2.325.1	serine acetyltransferase 2;1
e_gw1.2.801.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.2.390.1	Uroporphyrinogen decarboxylase
e_gw1.2.737.1	ribosomal protein S19
e_gw1.2.65.1	binding
e_gw1.2.660.1	
e_gw1.2.276.1	FUMARASE 2
e_gw1.2.210.1	3-ketoacyl-CoA synthase 6
e_gw1.2.584.1	PsbP-like protein 1
e_gw1.2.629.1	FMN-linked oxidoreductases superfamily protein
e_gw1.2.310.1	cyclin-dependent kinase E;1
e_gw1.2.416.1	Protein of unknown function (DUF803)
e_gw1.2.643.1	AMMECR1 family
e_gw1.2.451.1	translocase of the outer mitochondrial membrane 40
e_gw1.2.214.1	WD-40 repeat family protein / notchless protein, putative
e_gw1.2.436.1	fatty acid desaturase family protein
e_gw1.2.275.1	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)
e_gw1.2.20.1	Met-10+ like family protein / kelch repeat-containing protein
e_gw1.2.493.1	arogenate dehydratase 1
e_gw1.2.341.1	histone acetyltransferase of the MYST family 1
e_gw1.3.650.1	arginine/serine-rich splicing factor 35
gw1.1.125.1	Translation initiation factor 2, small GTP-binding protein
e_gw1.3.477.1	homologue of bacterial MinE 1
e_gw1.3.159.1	aldehyde dehydrogenase 22A1
e_gw1.3.444.1	tRNA/rRNA methyltransferase (SpoU) family protein
e_gw1.3.204.1	Na+/H+ antiporter 6
e_gw1.3.516.1	
e_gw1.3.402.1	phragmoplast orienting kinesin 2
e_gw1.3.667.1	pseudouridine synthase and archaeosine transglycosylase (PUA) domain-containing protein
e_gw1.3.416.1	zinc finger (C3HC4-type RING finger) family protein
e_gw1.3.87.1	Galactose oxidase/kelch repeat superfamily protein
e_gw1.3.38.1	Phosphoinositide phosphatase family protein
e_gw1.3.482.1	Inosine triphosphate pyrophosphatase family protein
e_gw1.3.480.1	rotamase cyclophilin 2
e_gw1.3.359.1	Calcineurin-like metallo-phosphoesterase superfamily protein
e_gw1.3.115.1	cytochrome P450, family 97, subfamily B, polypeptide 3
e_gw1.3.369.1	NIMA-related serine/threonine kinase 1
e_gw1.3.421.1	Pseudouridine synthase family protein
e_gw1.3.273.1	DNA mismatch repair protein, putative
e_gw1.3.414.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.3.468.1	SMAD/FHA domain-containing protein
e_gw1.3.524.1	proton gradient regulation 5
e_gw1.3.8.1	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)
e_gw1.3.167.1	RECQ helicase L2
e_gw1.3.555.1	
e_gw1.3.23.1	chloride channel D
e_gw1.3.1.1	ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding
e_gw1.3.81.1	transducin family protein / WD-40 repeat family protein
e_gw1.3.376.1	geranylgeranyl pyrophosphate synthase 1
e_gw1.3.449.1	embryo defective 1745
e_gw1.3.36.1	exostosin family protein
e_gw1.3.453.1	
e_gw1.3.241.1	Protein kinase superfamily protein
e_gw1.3.13.1	Homeotic gene regulator
e_gw1.3.338.1	ribonucleotide reductase 2A
e_gw1.3.56.1	
e_gw1.3.680.1	reduced lateral root formation
e_gw1.3.260.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.3.647.1	Phospholipid/glycerol acyltransferase family protein
e_gw1.3.278.1	cation exchanger 6
e_gw1.3.215.1	cryptochrome 3
e_gw1.3.629.1	63 kDa inner membrane family protein
e_gw1.3.429.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.3.171.1	O-acetyltransferase family protein
e_gw1.3.530.1	myb domain protein 109
e_gw1.3.640.1	EAP30/Vps36 family protein
e_gw1.3.550.1	Small nuclear ribonucleoprotein family protein
e_gw1.3.272.1	Cobalamin biosynthesis CobW-like protein
e_gw1.3.391.1	autophagy 3 (APG3)
e_gw1.3.114.1	AMP-dependent synthetase and ligase family protein
e_gw1.3.360.1	RAB geranylgeranyl transferase beta subunit 2
e_gw1.3.176.1	Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial
e_gw1.3.79.1	ARM repeat superfamily protein
e_gw1.3.627.1	homolog of bacterial PANC
e_gw1.3.616.1	translation elongation factor Ts (EF-Ts), putative
e_gw1.3.439.1	
e_gw1.3.474.1	photosystem II subunit Q-2
e_gw1.3.459.1	guanylate kinase
e_gw1.3.357.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.3.98.1	Sugar isomerase (SIS) family protein
e_gw1.3.21.1	homologue of trithorax
e_gw1.3.200.1	tubby like protein 10
e_gw1.3.582.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.3.511.1	CBF1-interacting co-repressor CIR, N-terminal;Pre-mRNA splicing factor
e_gw1.3.436.1	MAK16 protein-related
e_gw1.3.387.1	histone deacetylase 2
e_gw1.3.60.1	VPS35 homolog B
e_gw1.3.249.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.3.297.1	pyrimidin 4
e_gw1.3.76.1	RNA helicase family protein
e_gw1.3.106.1	Major facilitator superfamily protein
e_gw1.3.645.1	arginine-rich cyclin 1
e_gw1.4.318.1	Nucleoside transporter family protein
e_gw1.4.193.1	SU(VAR)3-9 homolog 4
e_gw1.4.830.1	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain
e_gw1.4.321.1	DNA/RNA polymerases superfamily protein
e_gw1.4.425.1	phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)
e_gw1.4.423.1	cyclophilin 59
e_gw1.4.620.1	
e_gw1.4.482.1	sterile alpha motif (SAM) domain-containing protein
e_gw1.4.557.1	DNAJ heat shock N-terminal domain-containing protein
e_gw1.4.290.1	UDP-Glycosyltransferase superfamily protein
e_gw1.4.704.1	Got1/Sft2-like vescicle transport protein family
e_gw1.4.192.1	bidirectional amino acid transporter 1
e_gw1.4.575.1	Ribose 5-phosphate isomerase, type A protein
e_gw1.4.453.1	mRNAadenosine methylase
e_gw1.4.696.1	pseudouridine synthase family protein
e_gw1.4.664.1	Leucine-rich repeat (LRR) family protein
e_gw1.4.433.1	actin-related protein 7
e_gw1.4.840.1	Ribosomal L28 family
e_gw1.4.467.1	
e_gw1.4.304.1	with no lysine (K) kinase 1
e_gw1.4.444.1	casein kinase II, alpha chain 2
e_gw1.4.141.1	toprim domain-containing protein
e_gw1.4.466.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.4.221.1	
e_gw1.4.489.1	protein containing PDZ domain, a K-box domain, and a TPR region
e_gw1.4.127.1	exostosin family protein
e_gw1.4.398.1	Protein kinase superfamily protein
e_gw1.4.537.1	NAD-dependent glycerol-3-phosphate dehydrogenase family protein
e_gw1.4.705.1	manganese superoxide dismutase 1
gw1.20.39.1	ABC-2 type transporter family protein
e_gw1.4.647.1	gamma carbonic anhydrase 1
e_gw1.4.782.1	SufE/NifU family protein
e_gw1.4.838.1	Ribosomal protein L27 family protein
e_gw1.4.49.1	Insulinase (Peptidase family M16) protein
gw1.4.121.1	glucose-inhibited division family A protein
e_gw1.4.200.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.4.478.1	RNA methyltransferase family protein
gw1.19.51.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.4.753.1	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
e_gw1.4.238.1	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
e_gw1.4.17.1	bidirectional amino acid transporter 1
e_gw1.4.242.1	Protein kinase superfamily protein
e_gw1.4.842.1	
e_gw1.4.567.1	casein kinase I-like 12
e_gw1.4.432.1	Glycosyl hydrolase superfamily protein
e_gw1.4.792.1	mitochondrial ribosomal protein L11
e_gw1.4.585.1	RNA binding;GTP binding
e_gw1.4.143.1	phosphate transporter 2;1
e_gw1.4.497.1	
e_gw1.4.731.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.4.602.1	cytochrome c biogenesis protein family
e_gw1.4.725.1	C-8,7 sterol isomerase
e_gw1.4.743.1	adenylate cyclases
e_gw1.4.253.1	Major facilitator superfamily protein
e_gw1.4.750.1	Uncharacterized protein family (UPF0016)
e_gw1.4.214.1	DegP protease 9
e_gw1.4.79.1	AAA-type ATPase family protein
e_gw1.4.144.1	Protein kinase family protein
e_gw1.4.483.1	nudix hydrolase homolog 20
e_gw1.4.204.1	gamma-glutamyl transpeptidase 1
e_gw1.4.797.1	Integrase-type DNA-binding superfamily protein
e_gw1.4.458.1	serine acetyltransferase 1;1
e_gw1.4.180.1	bidirectional amino acid transporter 1
e_gw1.4.122.1	phosphate transporter 2;1
e_gw1.4.155.1	Zinc finger (C3HC4-type RING finger) family protein
e_gw1.4.24.1	DEAD/DEAH box helicase, putative
e_gw1.4.406.1	Protein of unknown function (DUF300)
e_gw1.4.94.1	general control non-repressible 4
e_gw1.4.184.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.4.89.1	translocon at the outer envelope membrane of chloroplasts 75-III
e_gw1.4.499.1	cytochrome B5 isoform D
e_gw1.4.744.1	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
e_gw1.4.457.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.4.252.1	pumilio 24
e_gw1.4.454.1	kinesin 2
e_gw1.4.599.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.4.665.1	RHOMBOID-like protein 13
e_gw1.4.468.1	
e_gw1.4.291.1	Leucine-rich repeat receptor-like protein kinase family protein
e_gw1.4.91.1	Prolyl oligopeptidase family protein
e_gw1.4.18.1	phosphate deficiency response 2
gw1.14.46.1	poly(A) polymerase 1
e_gw1.4.363.1	mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase
e_gw1.4.50.1	Transducin family protein / WD-40 repeat family protein
e_gw1.4.715.1	alpha/beta-Hydrolases superfamily protein
e_gw1.4.777.1	Putative thiol-disulphide oxidoreductase DCC
e_gw1.4.62.1	Putative glycosyl hydrolase of unknown function (DUF1680)
e_gw1.4.255.1	GTP1/OBG family protein
e_gw1.4.176.1	bidirectional amino acid transporter 1
e_gw1.4.553.1	SET domain group 37
e_gw1.4.232.1	NADPH-dependent thioredoxin reductase C
e_gw1.4.182.1	bidirectional amino acid transporter 1
e_gw1.4.485.1	myo-inositol monophosphatase like 1
e_gw1.4.492.1	
e_gw1.4.779.1	HSP20-like chaperones superfamily protein
e_gw1.4.377.1	Protein of unknown function, DUF647
e_gw1.4.349.1	sirtuin 1
e_gw1.5.154.1	Calcium-binding EF-hand family protein
e_gw1.5.524.1	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
e_gw1.5.476.1	rubredoxin family protein
e_gw1.5.178.1	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family
e_gw1.5.519.1	Plastid-lipid associated protein PAP / fibrillin family protein
e_gw1.5.285.1	
e_gw1.5.143.1	gamma-tubulin  complex protein 2
e_gw1.5.466.1	U2 small nuclear ribonucleoprotein B
e_gw1.5.440.1	Glutathione S-transferase family protein
e_gw1.5.416.1	
e_gw1.5.53.1	RAD3-like DNA-binding helicase protein
e_gw1.5.597.1	NAD(P)-linked oxidoreductase superfamily protein
e_gw1.5.18.1	transcription regulatory protein SNF2, putative
gw1.21.40.1	DEA(D/H)-box RNA helicase family protein
e_gw1.5.320.1	Ribosomal RNA processing Brix domain protein
e_gw1.5.209.1	phosphoglycerate/bisphosphoglycerate mutase family protein
e_gw1.5.367.1	Low  PSII Accumulation 3
e_gw1.5.322.1	mitogen-activated protein kinase 3
e_gw1.5.360.1	Protein kinase superfamily protein
e_gw1.5.455.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
e_gw1.5.370.1	FORMS APLOID AND BINUCLEATE CELLS 1C
e_gw1.5.350.1	CCAAT-binding factor
e_gw1.5.254.1	
e_gw1.5.60.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.5.463.1	Thioredoxin superfamily protein
e_gw1.5.375.1	FMN binding
e_gw1.5.624.1	homolog of anti-oxidant 1
e_gw1.5.471.1	NAD(P)-binding Rossmann-fold superfamily protein
e_gw1.5.117.1	glycosyl hydrolase 9C3
e_gw1.5.46.1	nucleic acid binding;ATP-dependent helicases;ATP binding;helicases;ATP-dependent helicases
e_gw1.5.531.1	D-Tyr-tRNA(Tyr) deacylase family protein
e_gw1.5.159.1	carboxypeptidase D, putative
e_gw1.5.16.1	Ribosomal protein S5/Elongation factor G/III/V family protein
e_gw1.5.290.1	zinc transporter of Arabidopsis thaliana
e_gw1.5.35.1	vacuolar protein sorting 41
e_gw1.5.153.1	STT7 homolog STN7
e_gw1.5.355.1	magnesium (Mg) transporter 10
e_gw1.5.206.1	Pseudouridine synthase family protein
e_gw1.5.246.1	general transcription factor II H2
e_gw1.5.368.1	IND1(iron-sulfur protein required for NADH dehydrogenase)-like
e_gw1.5.558.1	31-kDa RNA binding protein
e_gw1.5.568.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.5.396.1	farnesylated protein-converting enzyme 2
e_gw1.5.274.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.5.184.1	HD domain-containing metal-dependent phosphohydrolase family protein
e_gw1.5.41.1	Peptidase M1 family protein
e_gw1.5.277.1	S-adenosylmethionine carrier 1
e_gw1.5.486.1	nudix hydrolase homolog 8
e_gw1.5.321.1	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)
e_gw1.5.604.1	DERLIN-1
e_gw1.5.212.1	CBL-interacting protein kinase 23
e_gw1.5.495.1	Protein-tyrosine phosphatase-like, PTPLA
e_gw1.5.342.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
e_gw1.5.311.1	
gw1.3.80.1	high chlorophyll fluorescent 107
e_gw1.5.426.1	ubiquitin-conjugating enzyme 32
e_gw1.5.103.1	AZA-guanine resistant1
e_gw1.5.532.1	RNA-binding (RRM/RBD/RNP motifs) family protein
e_gw1.5.525.1	Rubredoxin-like superfamily protein
e_gw1.5.181.1	Dihydropterin pyrophosphokinase / Dihydropteroate synthase
e_gw1.5.379.1	Photosystem II reaction center PsbP family protein
e_gw1.5.146.1	starch synthase 2
e_gw1.5.611.1	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
e_gw1.5.602.1	sphingoid base hydroxylase 1
e_gw1.5.480.1	coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein
e_gw1.5.259.1	reticulata-related 1
e_gw1.5.386.1	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
e_gw1.5.49.1	
e_gw1.5.236.1	
e_gw1.5.100.1	CBS domain-containing protein with a domain of unknown function (DUF21)
e_gw1.5.601.1	delta(3,5),delta(2,4)-dienoyl-CoA isomerase 1
e_gw1.6.126.1	Glutamyl-tRNA reductase family protein
e_gw1.6.246.1	histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific)
e_gw1.6.122.1	beta glucosidase 42
e_gw1.6.329.1	non-intrinsic ABC protein 3
e_gw1.6.123.1	ADP glucose pyrophosphorylase  1
e_gw1.6.130.1	beta glucosidase 41
gw1.3.82.1	
e_gw1.6.97.1	dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative
e_gw1.6.60.1	
e_gw1.6.364.1	Protein of unknown function (DUF59)
e_gw1.6.500.1	3\'-5\'-exoribonuclease family protein
e_gw1.6.394.1	U-box domain-containing protein kinase family protein
e_gw1.6.491.1	pfkB-like carbohydrate kinase family protein
e_gw1.6.300.1	NAD(P)-linked oxidoreductase superfamily protein
e_gw1.6.286.1	beta glucosidase 40
e_gw1.6.238.1	Protein of unknown function (DUF1350)
e_gw1.6.288.1	proteasome alpha subunit A1
e_gw1.6.178.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.6.401.1	ARM repeat superfamily protein
e_gw1.6.3.1	
e_gw1.6.187.1	Ca2+-activated RelA/spot homolog
e_gw1.6.228.1	glyoxylate reductase 2
gw1.26.15.1	
e_gw1.6.151.1	RING domain ligase1
e_gw1.6.241.1	Transducin/WD40 repeat-like superfamily protein
e_gw1.6.231.1	ubiquitin fusion degradation 1
e_gw1.6.303.1	transferases;folic acid binding
e_gw1.6.501.1	Phosphoglycerate mutase family protein
e_gw1.6.477.1	malate dehydrogenase
e_gw1.6.469.1	prephenate dehydrogenase family protein
e_gw1.6.167.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
e_gw1.6.386.1	homolog of yeast ergosterol28
e_gw1.6.65.1	RING/U-box superfamily protein
e_gw1.6.216.1	
e_gw1.6.373.1	Got1/Sft2-like vescicle transport protein family
e_gw1.6.291.1	Tetratricopeptide repeat (TPR)-like superfamily protein
e_gw1.6.250.1	Mitochondrial substrate carrier family protein
e_gw1.6.518.1	NAD(P)-binding Rossmann-fold superfamily protein
