Gene ID	description
BathyMg00127	n/a
BathyMg00140	NADH dehydrogenase subunit 10
BathyMg00150	NADH dehydrogenase subunit 9
BathyMg00155	NADH dehydrogenase subunit 3
BathyMg00160	NADH dehydrogenase subunit 7
BathyMg00170	ribosomal protein S10
BathyMg00180	ribosomal protein S19
BathyMg00254	ribosomal protein S3
BathyMg00185	50S ribosomal protein L16
BathyMg00255	Ribosomal protein L14
BathyMg00260	ribosomal protein L5
BathyMg00256	ribosomal protein S14
BathyMg00257	Ribosomal protein S8
BathyMg00261	Ribosomal protein L6
BathyMg00258	ribosomal protein S13
BathyMg00200	Ribosomal protein S11
BathyMg00259	ATP synthase F0 subunit 9
BathyMg00265	hypothetical protein
BathyMg00210	Ribosomal protein S4
BathyMg00220	NADH dehydrogenase subunit 4L
BathyMg00262	ATP synthase F0 subunit 8
BathyMg00230	ATPase subunit 4
BathyMg00264	hypothetical protein
BathyMg00240	cytochrome c oxidase subunit 1
BathyMg00250	apocytochrome b
Bathy01g00010	predicted protein
Bathy01g00020	predicted protein
Bathy01g00030	glutathione S-transferase
Bathy01g00040	predicted protein
Bathy01g00050	PAB-dependent poly(A)-specific ribonuclease subunit 2
Bathy01g00060	predicted protein
Bathy01g00070	predicted protein
Bathy01g00080	unnamed protein product
Bathy01g00090	predicted protein
Bathy01g00100	Cns1p
Bathy01g00110	predicted protein
Bathy01g00120	predicted protein
Bathy01g00130	unnamed protein product
Bathy01g00140	Ribonucleoside-diphosphate reductase subunit
Bathy01g00150	predicted protein
Bathy01g00160	unknown protein
Bathy01g00170	predicted protein
Bathy01g00180	unknown protein
Bathy01g00190	50S ribosomal protein L36
Bathy01g00200	predicted protein
Bathy01g00210	predicted protein
Bathy01g00220	predicted protein
Bathy01g00230	conserved hypothetical protein
Bathy01g00240	acyl-CoA dehydrogenase domain-containing protein
Bathy01g00250	unknown protein
Bathy01g00260	predicted protein
Bathy01g00270	methionine aminopeptidase 1
Bathy01g00280	predicted protein
Bathy01g00290	unknown protein
Bathy01g00300	predicted protein
Bathy01g00310	unnamed protein product
Bathy01g00320	Signal recognition particle 19 kDa protein
Bathy01g00330	predicted protein
Bathy01g00340	Protein of unknown function DUF2196
Bathy01g00350	predicted protein
Bathy01g00360	60S ribosomal protein L3
Bathy01g00370	unknown protein
Bathy01g00380	unknown protein
Bathy01g00390	ABC transporter related
Bathy01g00400	predicted protein
Bathy01g00410	S-adenosylmethionine transporter
Bathy01g00420	predicted protein
Bathy01g00430	predicted protein
Bathy01g00440	Dynein light chain 1, cytoplasmic
Bathy01g00450	predicted protein
Bathy01g00460	YtbE (Aldo/keto reductase YtbE)
Bathy01g00470	unknown protein
Bathy01g00480	predicted protein
Bathy01g00490	predicted protein
Bathy01g00500	polyphosphate kinase
Bathy01g00510	unknown protein
Bathy01g00520	predicted protein
Bathy01g00530	unknown protein
Bathy01g00540	AAA family ATPase, CDC48 subfamily
Bathy01g00550	unknown protein
Bathy01g00560	predicted protein
Bathy01g00570	isopropylmalate isomerase large subunit
Bathy01g00580	Protein farnesyltransferase, alpha subunit/protein geranylgeranyltransferase type I, alpha subunit (ISS)
Bathy01g00590	predicted protein
Bathy01g00600	ATP-dependent chaperone ClpB
Bathy01g00610	unknown protein
Bathy01g00620	predicted protein
Bathy01g00630	zinc/iron permease
Bathy01g00640	predicted protein
Bathy01g00650	predicted protein
Bathy01g00660	predicted protein
Bathy01g00670	carboxyl-terminal protease
Bathy01g00680	predicted protein
Bathy01g00690	sialyltransferase
Bathy01g00700	predicted protein
Bathy01g00710	predicted protein
Bathy01g00720	DNA mismatch repair protein msh-2
Bathy01g00730	predicted protein
Bathy01g00740	predicted protein
Bathy01g00750	short chain dehydrogenase
Bathy01g00760	signal recognition particle protein
Bathy01g00770	predicted protein
Bathy01g00780	F0F1 ATP synthase subunit B'
Bathy01g00790	predicted protein
Bathy01g00800	methionyl-tRNA synthetase
Bathy01g00810	predicted protein
Bathy01g00820	unnamed protein product
Bathy01g00830	predicted protein
Bathy01g00840	predicted protein
Bathy01g00850	predicted protein
Bathy01g00860	predicted protein
Bathy01g00870	unnamed protein product
Bathy01g00880	vacuolar proton-inorganic pyrophosphatase
Bathy01g00890	unknown protein
Bathy01g00900	V-type H(+)-translocating pyrophosphatase
Bathy01g00910	predicted protein
Bathy01g00920	predicted protein
Bathy01g00930	phosphoglucomutase/phosphomannomutase family protein
Bathy01g00940	predicted protein
Bathy01g00950	predicted protein
Bathy01g00960	predicted protein
Bathy01g00970	unknown protein
Bathy01g00980	predicted protein
Bathy01g00990	predicted protein
Bathy01g01000	predicted protein
Bathy01g01010	predicted protein
Bathy01g01020	predicted protein
Bathy01g01030	unknown protein
Bathy01g01040	Actin-related protein 2/3 complex subunit 4
Bathy01g01050	unknown protein
Bathy01g01060	coproporphyrinogen III oxidase
Bathy01g01070	unknown protein
Bathy01g01080	Transcription initiation factor TFIID subunit 10
Bathy01g01090	predicted protein
Bathy01g01100	prolyl oligopeptidase
Bathy01g01110	predicted protein
Bathy01g01120	unknown protein
Bathy01g01130	unknown protein
Bathy01g01140	unknown protein
Bathy01g01150	predicted protein
Bathy01g01160	DNA repair protein Rad50
Bathy01g01170	unknown protein
Bathy01g01180	predicted protein
Bathy01g01190	predicted protein
Bathy01g01200	predicted protein
Bathy01g01210	unknown protein
Bathy01g01220	predicted protein
Bathy01g01230	unknown protein
Bathy01g01240	VIC family transporter: calcium ion channel
Bathy01g01250	myosin heavy chain
Bathy01g01260	Protein phosphatase 1, regulatory subunit, and related proteins (ISS)
Bathy01g01270	zinc transporter 9
Bathy01g01280	unknown protein
Bathy01g01290	unknown protein
Bathy01g01300	predicted protein
Bathy01g01310	ribosomal RNA large subunit methyltransferase N
Bathy01g01320	predicted protein
Bathy01g01330	predicted protein
Bathy01g01340	ornithine carbamoyltransferase
Bathy01g01350	unknown protein
Bathy01g01360	predicted protein
Bathy01g01370	glyceraldehyde-3-phosphate dehydrogenase
Bathy01g01380	predicted protein
Bathy01g01390	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy01g01400	predicted protein
Bathy01g01410	UDP-glucose:glycoprotein glucosyltransferase
Bathy01g01420	PREDICTED: hypothetical protein
Bathy01g01430	phosphomannomutase
Bathy01g01440	enolase
Bathy01g01450	unknown protein
Bathy01g01460	enolase (ISS)
Bathy01g01470	unknown protein
Bathy01g01480	predicted protein
Bathy01g01490	glutaminyl-tRNA synthetase
Bathy01g01500	aspartate kinase
Bathy01g01510	unknown protein
Bathy01g01520	unnamed protein product
Bathy01g01530	unknown protein
Bathy01g01540	small nuclear ribonucleoprotein LSM2
Bathy01g01550	predicted protein
Bathy01g01560	predicted protein
Bathy01g01570	putative nucleic acid binding protein (ISS)
Bathy01g01580	FAD dependent oxidoreductase
Bathy01g01590	RNA polymerase II second largest subunit
Bathy01g01600	predicted protein
Bathy01g01610	predicted protein
Bathy01g01620	arginine N-methyltransferase 2
Bathy01g01630	unknown protein
Bathy01g01640	predicted protein
Bathy01g01650	UNCoordinated family member (unc-43)
Bathy01g01660	predicted protein
Bathy01g01670	twin arginine translocase protein A
Bathy01g01680	predicted protein
Bathy01g01690	predicted protein
Bathy01g01700	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
Bathy01g01710	predicted protein
Bathy01g01720	predicted protein
Bathy01g01730	tocopherol cyclase
Bathy01g01740	23S rRNA (uracil-5-)-methyltransferase RumA
Bathy01g01750	carotene biosynthesis-related protein
Bathy01g01760	unknown protein
Bathy01g01770	predicted protein
Bathy01g01780	predicted protein
Bathy01g01790	unknown protein
Bathy01g01800	predicted protein
Bathy01g01810	unknown protein
Bathy01g01820	COG0438: Glycosyltransferase (ISS)
Bathy01g01830	unnamed protein product
Bathy01g01840	unknown protein
Bathy01g01850	unnamed protein product
Bathy01g01860	unknown protein
Bathy01g01870	pre-mRNA-splicing factor cwc2
Bathy01g01880	centrosome protein SAS6
Bathy01g01890	unknown protein
Bathy01g01900	ATP phosphoribosyltransferase
Bathy01g01910	ankyrin repeat protein
Bathy01g01920	predicted protein
Bathy01g01930	predicted protein
Bathy01g01940	major facilitator transporter
Bathy01g01950	predicted protein
Bathy01g01960	hypoxia-responsive family protein
Bathy01g01970	hypothetical protein BuboB_26000
Bathy01g01980	predicted protein
Bathy01g01990	unknown protein
Bathy01g02000	predicted protein
Bathy01g02010	predicted protein
Bathy01g02020	unknown protein
Bathy01g02030	predicted protein
Bathy01g02040	HNH endonuclease
Bathy01g02050	ThiJ/PfpI domain-containing protein
Bathy01g02060	predicted protein
Bathy01g02070	predicted protein
Bathy01g02080	predicted protein
Bathy01g02090	hypothetical protein
Bathy01g02100	unknown protein
Bathy01g02110	ATP-dependent Clp protease proteolytic subunit
Bathy01g02120	serine/threonine protein kinase
Bathy01g02130	unknown protein
Bathy01g02140	predicted protein
Bathy01g02150	3-ketoacyl-(acyl-carrier-protein) reductase
Bathy01g02160	unknown protein
Bathy01g02170	predicted protein
Bathy01g02180	predicted protein
Bathy01g02190	unknown protein
Bathy01g02200	predicted protein
Bathy01g02210	predicted protein
Bathy01g02220	unnamed protein product
Bathy01g02230	unknown protein
Bathy01g02240	unknown protein
Bathy01g02250	unknown protein
Bathy01g02260	predicted protein
Bathy01g02270	predicted protein
Bathy01g02280	unnamed protein product
Bathy01g02290	predicted protein
Bathy01g02300	unnamed protein product
Bathy01g02310	predicted protein
Bathy01g02320	putative manganese-dependent inorganic pyrophosphatase
Bathy01g02330	predicted protein
Bathy01g02340	Transcription elongation factor 1 homolog
Bathy01g02350	delta-aminolevulinic acid dehydratase
Bathy01g02360	40S ribosomal protein S15a
Bathy01g02370	predicted protein
Bathy01g02380	predicted protein
Bathy01g02390	3'5'-cyclic nucleotide phosphodiesterase family protein
Bathy01g02400	predicted protein
Bathy01g02410	DNA repair protein RecN
Bathy01g02420	trehalose-6-phosphate synthase
Bathy01g02430	predicted protein
Bathy01g02440	predicted protein
Bathy01g02450	predicted protein
Bathy01g02460	aspartate-semialdehyde dehydrogenase
Bathy01g02470	coatomer subunit beta'
Bathy01g02480	predicted protein
Bathy01g02490	predicted protein
Bathy01g02500	predicted protein
Bathy01g02510	predicted protein
Bathy01g02520	coiled-coil domain-containing protein 22
Bathy01g02530	unknown protein
Bathy01g02540	predicted protein
Bathy01g02550	unnamed protein product
Bathy01g02560	unknown
Bathy01g02570	unknown protein
Bathy01g02580	predicted protein
Bathy01g02590	predicted protein
Bathy01g02600	DNA replication licensing factor MCM6
Bathy01g02610	predicted protein
Bathy01g02620	predicted protein
Bathy01g02630	unknown protein
Bathy01g02640	unknown protein
Bathy01g02650	predicted protein
Bathy01g02660	predicted protein
Bathy01g02670	predicted protein
Bathy01g02680	predicted protein
Bathy01g02690	hypothetical protein
Bathy01g02700	PREDICTED: protein FAM136A-like
Bathy01g02710	unknown protein
Bathy01g02720	predicted protein
Bathy01g02730	Drug/Metabolite transporter superfamily
Bathy01g02740	unnamed protein product
Bathy01g02750	predicted protein
Bathy01g02760	predicted protein
Bathy01g02770	predicted protein
Bathy01g02780	unknown protein
Bathy01g02790	glutamine synthetase catalytic region
Bathy01g02800	mitochondrial nuclease
Bathy01g02810	Proteasome subunit alpha type-7
Bathy01g02820	2-alkenal reductase
Bathy01g02830	unknown protein
Bathy01g02840	unknown protein
Bathy01g02850	predicted protein
Bathy01g02860	unnamed protein product
Bathy01g02870	conserved hypothetical protein
Bathy01g02880	unnamed protein product
Bathy01g02890	26S protease regulatory subunit 7
Bathy01g02900	prasinophyte specific chlorophyll a/b-binding protein, chloroplast precursor
Bathy01g02910	Beta-1,3-N-acetylglucosaminyltransferase
Bathy01g02920	U1 small nuclear ribonucleoprotein C
Bathy01g02930	predicted protein
Bathy01g02940	predicted protein
Bathy01g02950	unknown protein
Bathy01g02960	conserved hypothetical protein
Bathy01g02970	predicted protein
Bathy01g02980	predicted protein
Bathy01g02990	unknown protein
Bathy01g03000	predicted protein
Bathy01g03010	unknown protein
Bathy01g03020	predicted protein
Bathy01g03030	GRX5
Bathy01g03040	predicted protein
Bathy01g03050	predicted protein
Bathy01g03060	predicted protein
Bathy01g03070	predicted protein
Bathy01g03080	unnamed protein product
Bathy01g03090	predicted protein
Bathy01g03100	predicted protein
Bathy01g03110	zinc finger protein (LSD1)
Bathy01g03120	unknown protein
Bathy01g03130	exonuclease
Bathy01g03140	predicted protein
Bathy01g03150	predicted protein
Bathy01g03160	predicted protein
Bathy01g03170	unknown protein
Bathy01g03180	unknown protein
Bathy01g03190	predicted protein
Bathy01g03200	unknown protein
Bathy01g03210	unknown protein
Bathy01g03220	hypothetical protein
Bathy01g03230	P-type calcium transporting ATPase
Bathy01g03240	predicted protein
Bathy01g03250	predicted protein
Bathy01g03260	unknown
Bathy01g03270	predicted protein
Bathy01g03280	pirin domain-containing protein
Bathy01g03290	lipoate-protein ligase B
Bathy01g03300	predicted protein
Bathy01g03310	unknown protein
Bathy01g03320	unknown protein
Bathy01g03330	predicted protein
Bathy01g03340	unnamed protein product
Bathy01g03350	predicted protein
Bathy01g03360	predicted protein
Bathy01g03370	predicted protein
Bathy01g03380	conserved hypothetical protein
Bathy01g03390	unknown protein
Bathy01g03400	predicted protein
Bathy01g03410	predicted protein
Bathy01g03420	predicted protein
Bathy01g03430	thymidine kinase
Bathy01g03440	predicted protein
Bathy01g03450	unknown protein
Bathy01g03460	predicted protein
Bathy01g03470	tyrosine aminotransferase
Bathy01g03480	predicted protein
Bathy01g03490	GTP-binding protein 1
Bathy01g03500	unnamed protein product
Bathy01g03510	unknown protein
Bathy01g03520	Mitochondrial FAD carrier protein (ISS)
Bathy01g03530	predicted protein
Bathy01g03540	50S ribosomal protein L21
Bathy01g03550	unknown protein
Bathy01g03560	predicted protein
Bathy01g03570	unknown protein
Bathy01g03580	unknown protein
Bathy01g03590	glutamyl-tRNA synthetase
Bathy01g03600	glutaredoxin-like protein
Bathy01g03610	predicted protein
Bathy01g03620	predicted protein
Bathy01g03630	predicted protein
Bathy01g03640	predicted protein
Bathy01g03650	sulfate transporter
Bathy01g03660	PREDICTED: similar to Stretchin-Mlck CG18255-PA, isoform A
Bathy01g03670	ubiquinone/menaquinone biosynthesis methyltransferase
Bathy01g03680	predicted protein
Bathy01g03690	aldehyde dehydrogenase
Bathy01g03700	predicted protein
Bathy01g03710	hypothetical protein
Bathy01g03720	pyrimidine 5'-nucleotidase
Bathy01g03730	unnamed protein product
Bathy01g03740	conserved hypothetical protein
Bathy01g03750	predicted protein
Bathy01g03760	predicted protein
Bathy01g03770	unknown protein
Bathy01g03780	predicted protein
Bathy01g03790	predicted protein
Bathy01g03800	unnamed protein product
Bathy01g03810	predicted protein
Bathy01g03820	lumenal PsbP-like protein
Bathy01g03830	unknown protein
Bathy01g03840	predicted protein
Bathy01g03850	unknown protein
Bathy01g03860	50S ribosomal protein L2
Bathy01g03870	MOP(MATE) family transporter: multidrug efflux
Bathy01g03880	unknown protein
Bathy01g03890	predicted protein
Bathy01g03900	predicted protein
Bathy01g03910	rhomboid family protein
Bathy01g03920	predicted protein
Bathy01g03930	Growth-arrest-specific protein 8
Bathy01g03940	YciI-like protein
Bathy01g03950	predicted protein
Bathy01g03960	predicted protein
Bathy01g03970	predicted protein
Bathy01g03980	prefoldin subunit 6
Bathy01g03990	predicted protein
Bathy01g04000	calmodulin
Bathy01g04010	Pre-mRNA-splicing factor 38A
Bathy01g04020	histone H3
Bathy01g04030	tolA protein
Bathy01g04040	predicted protein
Bathy01g04050	predicted protein
Bathy01g04060	predicted protein
Bathy01g04070	predicted protein
Bathy01g04080	unknown protein
Bathy01g04090	predicted protein
Bathy01g04100	unknown protein
Bathy01g04110	hypothetical protein PTSG_06328
Bathy01g04120	unknown protein
Bathy01g04130	unknown protein
Bathy01g04140	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
Bathy01g04150	unknown protein
Bathy01g04160	tubulin-specific chaperone E
Bathy01g04170	predicted protein
Bathy01g04180	expressed protein
Bathy01g04190	predicted protein
Bathy01g04200	membrane protein
Bathy01g04210	predicted protein
Bathy01g04220	predicted protein
Bathy01g04230	predicted protein
Bathy01g04240	predicted protein
Bathy01g04250	unknown protein
Bathy01g04260	ARID/BRIGHT DNA binding domain protein
Bathy01g04270	unknown protein
Bathy01g04280	unknown protein
Bathy01g04290	unknown protein
Bathy01g04300	predicted protein
Bathy01g04310	unknown protein
Bathy01g04320	protein of unknown function DUF938
Bathy01g04330	predicted protein
Bathy01g04340	predicted protein
Bathy01g04350	predicted protein
Bathy01g04360	predicted protein
Bathy01g04370	ion channel putative
Bathy01g04380	unknown protein
Bathy01g04390	predicted protein
Bathy01g04400	mitochondrial carrier family
Bathy01g04410	unknown protein
Bathy01g04420	predicted protein
Bathy01g04430	predicted protein
Bathy01g04440	predicted protein
Bathy01g04450	predicted protein
Bathy01g04460	predicted protein
Bathy01g04470	predicted protein
Bathy01g04480	predicted protein
Bathy01g04490	predicted protein
Bathy01g04500	V-type H(+)-translocating pyrophosphatase
Bathy01g04510	predicted protein
Bathy01g04520	predicted protein
Bathy01g04530	uroporphyrinogen decarboxylase
Bathy01g04540	predicted protein
Bathy01g04550	predicted protein
Bathy01g04560	glutathione S-transferase
Bathy01g04570	PREDICTED: similar to predicted protein
Bathy01g04580	predicted protein
Bathy01g04590	predicted protein
Bathy01g04600	predicted protein
Bathy01g04610	PREDICTED: similar to predicted protein
Bathy01g04620	COP9 signalosome complex subunit 2
Bathy01g04630	unknown protein
Bathy01g04640	unknown protein
Bathy01g04650	unknown protein
Bathy01g04660	predicted protein
Bathy01g04670	unknown protein
Bathy01g04680	queuine tRNA-ribosyltransferase
Bathy01g04690	unknown protein
Bathy01g04700	unknown protein
Bathy01g04710	DNA repair protein RAD51 homolog 1
Bathy01g04720	predicted protein
Bathy01g04730	predicted protein
Bathy01g04740	transmembrane protein 144
Bathy01g04750	unnamed protein product
Bathy01g04760	predicted protein
Bathy01g04770	predicted protein
Bathy01g04780	predicted protein
Bathy01g04790	unknown protein
Bathy01g04800	unknown protein
Bathy01g04810	unknown protein
Bathy01g04820	50S ribosomal protein L1
Bathy01g04830	predicted protein
Bathy01g04840	predicted protein
Bathy01g04850	histone H2A
Bathy01g04860	histone H2B
Bathy01g04870	predicted protein
Bathy01g04880	predicted protein
Bathy01g04890	histone acetyltransferase GCN5
Bathy01g04900	unnamed protein product
Bathy01g04910	predicted protein
Bathy01g04920	predicted protein
Bathy01g04930	ribosomal protein L31
Bathy01g04940	predicted protein
Bathy01g04950	unknown protein
Bathy01g04960	unknown protein
Bathy01g04970	seryl-tRNA synthetase
Bathy01g04980	predicted protein
Bathy01g04990	predicted protein
Bathy01g05000	predicted protein
Bathy01g05010	predicted protein
Bathy01g05020	predicted protein
Bathy01g05030	MscS Mechanosensitive ion channel
Bathy01g05040	predicted protein
Bathy01g05050	predicted protein
Bathy01g05060	predicted protein
Bathy01g05070	predicted protein
Bathy01g05080	predicted protein
Bathy01g05090	unknown protein
Bathy01g05100	predicted protein
Bathy01g05110	peptidase M50
Bathy01g05120	predicted protein
Bathy01g05130	predicted protein
Bathy01g05140	predicted protein
Bathy01g05150	unknown protein
Bathy01g05160	predicted protein
Bathy01g05170	predicted protein
Bathy01g05180	cell division protein FtsZ
Bathy01g05190	branched-chain-amino-acid aminotransferase
Bathy01g05200	predicted protein
Bathy01g05210	predicted protein
Bathy01g05220	predicted protein
Bathy01g05230	predicted protein
Bathy01g05240	ABC transporter-like protein
Bathy01g05250	unknown protein
Bathy01g05260	glutathione reductase
Bathy01g05270	predicted protein
Bathy01g05280	predicted protein
Bathy01g05290	predicted protein
Bathy01g05300	cytosine deaminase
Bathy01g05310	predicted protein
Bathy01g05320	ubiquitin system component Cue domain-containing protein (ISS)
Bathy01g05330	WD repeat-containing protein 32-like protein
Bathy01g05340	predicted protein
Bathy01g05350	zinc transporter ZupT
Bathy01g05360	GrpE protein
Bathy01g05370	predicted protein
Bathy01g05380	HI0933-like protein
Bathy01g05390	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Bathy01g05400	glutathione S-transferase
Bathy01g05410	predicted protein
Bathy01g05420	predicted protein
Bathy01g05430	carbamoyl-phosphate synthase, large subunit
Bathy01g05440	unknown protein
Bathy01g05450	aminotransferase
Bathy01g05460	predicted protein
Bathy01g05470	glutathione-dependent formaldehyde-activating GFA
Bathy01g05480	predicted protein
Bathy01g05490	predicted protein
Bathy01g05500	predicted protein
Bathy01g05510	unknown
Bathy01g05520	predicted protein
Bathy01g05530	sialyltransferase
Bathy01g05540	T-complex protein 1 subunit beta
Bathy01g05550	short chain dehydrogenase
Bathy01g05560	predicted protein
Bathy01g05570	predicted protein
Bathy01g05580	unknown protein
Bathy01g05590	predicted protein
Bathy01g05600	unnamed protein product
Bathy01g05610	predicted protein
Bathy01g05620	exported exo-alpha-sialidase
Bathy01g05630	hypothetical protein
Bathy01g05640	predicted protein
Bathy01g05650	predicted protein
Bathy01g05660	predicted protein
Bathy01g05670	predicted protein
Bathy01g05680	ribosome biogenesis GTP-binding protein YsxC
Bathy01g05690	predicted protein
Bathy01g05700	predicted protein
Bathy01g05710	hypothetical protein
Bathy01g05720	predicted protein
Bathy01g05730	unknown protein
Bathy01g05740	floral homeotic protein
Bathy01g05750	unknown
Bathy01g05760	unknown protein
Bathy01g05770	unknown protein
Bathy01g05780	IPT/TIG domain-containing protein
Bathy01g05790	unknown protein
Bathy01g05800	sodium/hydrogen exchanger 8
Bathy01g05810	cyclophilin A
Bathy01g05820	predicted protein
Bathy01g05830	unknown protein
Bathy01g05840	predicted protein
Bathy01g05850	predicted protein
Bathy01g05860	predicted protein
Bathy01g05870	unknown protein
Bathy01g05880	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy01g05890	predicted protein
Bathy01g05900	DNA repair and recombination protein RAD54
Bathy01g05910	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
Bathy01g05920	predicted protein
Bathy01g05930	glycosyltransferase family 77 protein
Bathy01g05940	predicted protein
Bathy01g05950	predicted protein
Bathy01g05960	unnamed protein product
Bathy01g05970	unknown protein
Bathy01g05980	predicted protein
Bathy01g05990	alpha-glucosidase
Bathy01g06000	predicted protein
Bathy01g06010	Cleavage and polyadenylation specificity factor subunit 5
Bathy01g06020	predicted protein
Bathy01g06030	unknown protein
Bathy01g06040	unnamed protein product
Bathy01g06050	predicted protein
Bathy01g06060	predicted protein
Bathy01g06070	Pc13g08050
Bathy01g06080	predicted protein
Bathy01g06090	valyl-tRNA synthetase
Bathy01g06100	unknown protein
Bathy01g06110	predicted protein
Bathy01g06120	unknown protein
Bathy01g06130	predicted protein
Bathy01g06140	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy01g06150	PREDICTED: similar to predicted protein
Bathy01g06160	S-adenosyl-methyltransferase MraW
Bathy01g06170	IPT/TIG domain-containing protein
Bathy01g06180	alpha-tubulin
Bathy01g06190	unknown protein
Bathy01g06200	predicted protein
Bathy01g06210	RNA adenosine deaminase 1
Bathy01g06220	predicted protein
Bathy01g06230	glutathione s-transferase
Bathy01g06240	nicastrin-related
Bathy01g06250	unknown protein
Bathy01g06260	HPP family protein
Bathy01g06270	urease accessory protein ureG
Bathy01g06280	urease
Bathy01g06290	predicted protein
Bathy01g06300	predicted protein
Bathy01g06310	predicted protein
Bathy01g06320	predicted protein
Bathy01g06330	ribulose-phosphate 3-epimerase
Bathy01g06340	aspartyl-tRNA synthetase
Bathy01g06350	unnamed protein product
Bathy01g06360	tRNA-dihydrouridine synthase A
Bathy01g06370	FAD dependent oxidoreductase
Bathy01g06380	predicted protein
Bathy01g06390	predicted protein
Bathy01g06400	predicted protein
Bathy01g06410	unknown protein
Bathy01g06420	predicted protein
Bathy01g06430	predicted protein
Bathy01g06440	methionine aminopeptidase
Bathy01g06450	histidine triad (HIT) protein
Bathy01g06460	predicted protein
Bathy01g06470	FAD linked oxidase domain-containing protein
Bathy01g06480	unknown protein
Bathy01g06490	predicted protein
Bathy01g06500	ribonuclease H
Bathy01g06510	metalloprotease
Bathy01g06520	predicted protein
Bathy01g06530	unknown protein
Bathy01g06540	unknown protein
Bathy01g06550	predicted protein
Bathy01g06560	predicted protein
Bathy01g06570	predicted protein
Bathy01g06580	50S ribosomal protein L24
Bathy01g06590	unknown protein
Bathy01g06600	unknown protein
