"Gene" "Common ID or description"
"46" "ostta01g00460" "WD40/YVTN repeat-like-containing domain                "
"47" "ostta01g00470" "Nicotinamide N-methyltransferase-like                 "
"48" "ostta01g00480" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"49" "ostta01g00485" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"50" "ostta01g00490" "Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain              "
"51" "ostta01g00500" "unnamed product                 "
"52" "ostta01g00510" "unnamed product                 "
"53" "ostta01g00520" "ABC transporter, conserved site               "
"54" "ostta01g00530" "Protein of unknown function DUF1764, eukaryotic             "
"55" "ostta01g00540" "Drug/metabolite transporter                 "
"56" "ostta01g00550" "Rhodanese-like domain                 "
"57" "ostta01g00560" "Dynein light chain, type 01/02/22              "
"58" "ostta01g00570" "Anticodon-binding                  "
"59" "ostta01g00580" "Multi antimicrobial extrusion protein               "
"60" "ostta01g00590" "Aldo/keto reductase, conserved site               "
"61" "ostta01g00600" "unnamed product                 "
"62" "ostta01g00610" "Lipase, GDSL                 "
"63" "ostta01g00620" "Polyphosphate kinase                 "
"64" "ostta01g00630" "ATPase, AFG1-like                 "
"65" "ostta01g00640" "unnamed product                 "
"66" "ostta01g00650" "P-loop containing nucleoside triphosphate hydrolase              "
"67" "ostta01g00660" "unnamed product                 "
"68" "ostta01g00670" "Thioredoxin-like fold                 "
"69" "ostta01g00680" "Protein prenyltransferase, alpha subunit               "
"70" "ostta01g00690" "Concanavalin A-like lectin/glucanases superfamily               "
"71" "ostta01g00700" "Protein disulfide isomerase 1 n/a  Thioredoxin-like fold           "
"72" "ostta01g00720" "ClpA/B, conserved site 2               "
"73" "ostta01g00730" "HD/PDEase domain                 "
"74" "ostta01g00740" "Zinc/iron permease                 "
"75" "ostta01g00750" "Molybdenum cofactor biosynthesis, MoeB               "
"76" "ostta01g00760" "C-terminal-processing peptidase S41A                "
"77" "ostta01g00770" "Transmembrane protein 186                "
"78" "ostta01g00780" "Monooxygenase, FAD-binding                 "
"79" "ostta01g00790" "Fatty acid desaturase, type 1              "
"80" "ostta01g00800" "Short-chain dehydrogenase/reductase SDR                "
"81" "ostta01g00810" "P-loop containing nucleoside triphosphate hydrolase              "
"82" "ostta01g00820" "Nucleolar pre-ribosomal-associated protein 1 N-terminal              "
"83" "ostta01g00830" "ATPase, F0 complex, subunit B/B', bacterial/chloroplast             "
"84" "ostta01g00840" "unnamed product                 "
"85" "ostta01g00850" "Lamin Tail Domain                "
"86" "ostta01g00860" "Nucleic acid-binding, OB-fold                "
"87" "ostta01g00870" "hypothetical protein n/a  unnamed product             "
"88" "ostta01g00880" "Ankyrin repeat                 "
"89" "ostta01g00890" "Cation-transporting P-type ATPase, C-terminal               "
"90" "ostta01g00910" "Ribosomal biogenesis, methyltransferase, EMG1/NEP1               "
"91" "ostta01g00920" "DNA-directed RNA polymerase, RBP11-like dimerisation domain             "
"92" "ostta01g00930" "Chloramphenicol acetyltransferase-like domain                "
"93" "ostta01g00940" "Glycoside hydrolase, catalytic domain               "
"94" "ostta01g00950" "Osteopontin                  "
"95" "ostta01g00960" "unnamed product                 "
"96" "ostta01g00970" "Pseudouridine synthase/archaeosine transglycosylase                "
"97" "ostta01g00980" "Pyrophosphate-energised proton pump                "
"98" "ostta01g00990" "THO complex subunit 7/Mft1               "
"99" "ostta01g01000" "Tetratricopeptide repeat                 "
"100" "ostta01g01020" "Plectin/S10, N-terminal                 "
"101" "ostta01g01030" "Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III                "
"102" "ostta01g01040" "DNA methylase, N-6 adenine-specific, eukaryotic              "
"103" "ostta01g01050" "Non-structural maintenance of chromosome element 4 C-terminal            "
"104" "ostta01g01060" "unnamed product                 "
"105" "ostta01g01070" "TRAM/LAG1/CLN8 homology domain                "
"106" "ostta01g01080" "Mediator complex, subunit Med4               "
"107" "ostta01g01085" "Translocon-associated protein subunit beta               "
"108" "ostta01g01090" "Nicotinamide N-methyltransferase-like                 "
"109" "ostta01g01100" "unnamed product                 "
"110" "ostta01g01110" "unnamed product                 "
"111" "ostta01g01120" "Protein of unknown function DUF1365              "
"112" "ostta01g01130" "Lipase, class 3                "
"113" "ostta01g01140" "ARP2/3 complex, 20kDa subunit P20-Arc              "
"114" "ostta01g01150" "unnamed product                 "
"115" "ostta01g01160" "Radical SAM                 "
"116" "ostta01g01170" "SAP domain                 "
"117" "ostta01g01180" "3Fe-4S ferredoxin                 "
"118" "ostta01g01190" "Cytochrome c oxidase assembly protein COX16             "
"119" "ostta01g01200" "unnamed product                 "
"120" "ostta01g01210" "Transcription initiation factor TFIID, 23-30kDa subunit             "
"121" "ostta01g01220" "unnamed product                 "
"122" "ostta01g01230" "Prephenate dehydratase, conserved site               "
"123" "ostta01g01240" "Cellulosome enzyme, dockerin type I              "
"124" "ostta01g01250" "unnamed product                 "
"125" "ostta01g01260" "unnamed product                 "
"126" "ostta01g01270" "DNA repair protein Rad50, eukaryotes              "
"127" "ostta01g01280" "unnamed product                 "
"128" "ostta01g01290" "unnamed product                 "
"129" "ostta01g01295" "hypothetical protein                 "
"130" "ostta01g01300" "unnamed product                 "
"131" "ostta01g01310" "unnamed product                 "
"132" "ostta01g01320" "P-loop containing nucleoside triphosphate hydrolase              "
"133" "ostta01g01330" "unnamed product                 "
"134" "ostta01g01340" "IQ motif, EF-hand binding site              "
"135" "ostta01g01350" "unnamed product                 "
"136" "ostta01g01370" "Leucine-rich repeat                 "
"137" "ostta01g01380" "Cation efflux protein                "
"138" "ostta01g01390" "IQ motif, EF-hand binding site              "
"139" "ostta01g01400" "unnamed product                 "
"140" "ostta01g01410" "Endonuclease/exonuclease/phosphatase                  "
"141" "ostta01g01420" "Radical SAM                 "
"142" "ostta01g01430" "Rhodanese-like domain                 "
"143" "ostta01g01440" "Nucleotide-diphospho-sugar transferase                 "
"144" "ostta01g01450" "Aspartate kinase, conserved site               "
"145" "ostta01g01460" "Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain            "
"146" "ostta01g01470" "Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24           "
"147" "ostta01g01480" "Zinc finger, RING/FYVE/PHD-type                "
"148" "ostta01g01490" "Ubiquitin carboxyl-terminal hydrolases family 2              "
"149" "ostta01g01500" "Enolase, N-terminal                 "
"150" "ostta01g01510" "HAD-superfamily hydrolase, subfamily IIB               "
"151" "ostta01g01520" "unnamed product                 "
"152" "ostta01g01530" "UDP-glucose:Glycoprotein Glucosyltransferase                 "
"153" "ostta01g01540" "Single-stranded nucleic acid binding R3H              "
"154" "ostta01g01550" "K Homology domain, type 1              "
"155" "ostta01g01560" "Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain             "
"156" "ostta01g01570" "CRAL/TRIO, N-terminal domain                "
"157" "ostta01g01580" "Prefoldin                  "
"158" "ostta01g01590" "Ornithine/putrescine carbamoyltransferase                 "
"159" "ostta01g01600" "MIF4-like, type 01/02/03                "
"160" "ostta01g01610" "unnamed product                 "
"161" "ostta01g01620" "unnamed product                 "
"162" "ostta01g01630" "unnamed product                 "
"163" "ostta01g01640" "Ovarian tumour, otubain                "
"164" "ostta01g01650" "Major facilitator superfamily domain, general substrate transporter            "
"165" "ostta01g01660" "unnamed product                 "
"166" "ostta01g01670" "Ribonucleoprotein LSM domain, eukaryotic/archaea-type               "
"167" "ostta01g01680" "Rab-GTPase-TBC domain                 "
"168" "ostta01g01690" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain              "
"169" "ostta01g01700" "K Homology domain, type 1              "
"170" "ostta01g01710" "unnamed product                 "
"171" "ostta01g01720" "RNA polymerase, beta subunit, conserved site             "
"172" "ostta01g01730" "unnamed product                 "
"173" "ostta01g01740" "Uracil-5-methyltransferase                  "
"174" "ostta01g01750" "tRNA-dihydrouridine synthase, conserved site               "
"175" "ostta01g01760" "unnamed product                 "
"176" "ostta01g01770" "unnamed product                 "
"177" "ostta01g01780" "RmlC-like jelly roll fold               "
"178" "ostta01g01790" "Nucleotide-binding, alpha-beta plait                "
"179" "ostta01g01800" "Sec-independent protein translocase protein TatA/E              "
"180" "ostta01g01810" "Nicotinamide N-methyltransferase-like                 "
"181" "ostta01g01820" "Acyl-CoA N-acyltransferase                 "
"182" "ostta01g01830" "Clathrin, heavy chain/VPS, 7-fold repeat              "
"183" "ostta01g01850" "Carotenoid oxygenase                 "
"184" "ostta01g01855" "Tocopherol cyclase                 "
"185" "ostta01g01860" "23S rRNA uracil1939-C5-methyltransferase RlmD               "
"186" "ostta01g01870" "unnamed product                 "
"187" "ostta01g01880" "Chromosome segregation protein Spc25               "
"188" "ostta01g01890" "Forkhead-associated FHA domain                "
"189" "ostta01g01900" "unnamed product                 "
"190" "ostta01g01910" "unnamed product                 "
"191" "ostta01g01920" "unnamed product                 "
"192" "ostta01g01930" "unnamed product                 "
"193" "ostta01g01940" "SET domain                 "
"194" "ostta01g01950" "Nucleotide-binding, alpha-beta plait                "
"195" "ostta01g01960" "unnamed product                 "
"196" "ostta01g01970" "unnamed product                 "
"197" "ostta01g01980" "Nitrogen regulatory PII-like, alpha/beta               "
"198" "ostta01g01990" "Inosine/uridine-preferring nucleoside hydrolase                "
"199" "ostta01g02000" "Ketopantoate reductase ApbA/PanE, N-terminal               "
"200" "ostta01g02010" "Protein phosphatase 2C                "
"201" "ostta01g02020" "Major facilitator superfamily domain, general substrate transporter            "
"202" "ostta01g02030" "unnamed product                 "
"203" "ostta01g02040" "unnamed product                 "
"204" "ostta01g02050" "Endoplasmic reticulum vesicle transporter, C-terminal              "
"205" "ostta01g02060" "unnamed product                 "
"206" "ostta01g02070" "Sushi/SCR/CCP                  "
"207" "ostta01g02080" "Bacterial PH domain                "
"208" "ostta01g02090" "unnamed product                 "
"209" "ostta01g02100" "Nucleotide-binding, alpha-beta plait                "
"210" "ostta01g02110" "unnamed product                 "
"211" "ostta01g02120" "TFIIH subunit Tfb4/p34                "
"212" "ostta01g02130" "HNH endonuclease                 "
"213" "ostta01g02140" "Domain of unknown function DUF814              "
"214" "ostta01g02150" "unnamed product                 "
"215" "ostta01g02160" "WD40 repeat                 "
"216" "ostta01g02170" "Clp protease proteolytic subunit /Translocation-enhancing protein TepA            "
"217" "ostta01g02180" "Leucine-rich repeat, typical subtype               "
"218" "ostta01g02190" "Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal n/a  Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal   "
"219" "ostta01g02200" "unnamed product                 "
"220" "ostta01g02210" "Beta tubulin, autoregulation binding site              "
"221" "ostta01g02220" "Short-chain dehydrogenase/reductase SDR                "
"222" "ostta01g02230" "unnamed product                 "
"223" "ostta01g02240" "26S proteasome non-ATPase regulatory subunit 5             "
"224" "ostta01g02250" "DNA-directed RNA polymerase III subunit Rpc5             "
"225" "ostta01g02260" "unnamed product                 "
"226" "ostta01g02270" "Actin-related protein 3 Arp3               "
"227" "ostta01g02280" "unnamed product                 "
"228" "ostta01g02290" "Zinc finger, PHD-finger                "
"229" "ostta01g02300" "RAP domain                 "
"230" "ostta01g02310" "unnamed product                 "
"231" "ostta01g02320" "Ribosomal protein L35                "
"232" "ostta01g02330" "Uncharacterised domain UPF0066, YaeB-like domain              "
"233" "ostta01g02340" "Amino acid transporter, transmembrane               "
"234" "ostta01g02350" "Clathrin, heavy chain/VPS, 7-fold repeat              "
"235" "ostta01g02360" "DHHA2                  "
"236" "ostta01g02370" "Vacuolar protein sorting-associated protein 26              "
"237" "ostta01g02380" "Transcription elongation factor 1               "
"238" "ostta01g02390" "Porphobilinogen synthase                 "
"239" "ostta01g02400" "Ribosomal protein S8                "
"240" "ostta01g02410" "Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain              "
"241" "ostta01g02420" "unnamed product                 "
"242" "ostta01g02430" "P-loop containing nucleoside triphosphate hydrolase              "
"243" "ostta01g02440" "Alpha,alpha-trehalose-phosphate synthase                 "
"244" "ostta01g02450" "P-loop containing nucleoside triphosphate hydrolase              "
"245" "ostta01g02460" "Protein phosphatase 2C PP2C-like domain              "
"246" "ostta01g02470" "Mitochondrial substrate/solute carrier                "
"247" "ostta01g02480" "Aspartate-semialdehyde dehydrogenase                 "
"248" "ostta01g02490" "G-protein beta WD-40 repeat               "
"249" "ostta01g02500" "Ribonuclease III domain                "
"250" "ostta01g02510" "CRAL/TRIO, N-terminal domain                "
"251" "ostta01g02520" "Beta-lactamase-like                  "
"252" "ostta01g02530" "Protein of unknown function DUF812              "
"253" "ostta01g02540" "unnamed product                 "
"254" "ostta01g02560" "siRNA-mediated silencing protein NRDE-2               "
"255" "ostta01g02570" "Protein of unknown function DUF2419              "
"256" "ostta01g02580" "DNA replication licensing factor Mcm6              "
"257" "ostta01g02590" "Mammalian uncoordinated homology 13 domain 2             "
"258" "ostta01g02600" "unnamed product                 "
"259" "ostta01g02610" "Mini-chromosome maintenance complex-binding protein               "
"260" "ostta01g02615" "Mitochondrial import protein TIM15               "
"261" "ostta01g02617" "hypothetical protein                 "
"262" "ostta01g02620" "Protein of unknown function DUF842, eukaryotic             "
"263" "ostta01g02630" "Phosphatidylinositol-glycan biosynthesis class S protein              "
"264" "ostta01g02640" "Class II glutamine amidotransferase domain              "
"265" "ostta01g02650" "Acyl-CoA dehydrogenase/oxidase C-terminal                "
"266" "ostta01g02660" "unnamed product                 "
"267" "ostta01g02670" "unnamed product                 "
"268" "ostta01g02680" "Pre-mRNA splicing factor PRP21-like protein              "
"269" "ostta01g02690" "Tetratricopeptide repeat                 "
"270" "ostta01g02700" "V-ATPase proteolipid subunit                "
"271" "ostta01g02710" "Thioredoxin-like fold                 "
"272" "ostta01g02720" "BSD                  "
"273" "ostta01g02730" "HAD-superfamily hydrolase, subfamily IIB               "
"274" "ostta01g02740" "ISC system FeS cluster assembly, IscU scaffold            "
"275" "ostta01g02750" "Lipase, class 3                "
"276" "ostta01g02760" "Carbohydrate binding module family 20              "
"277" "ostta01g02770" "Isochorismatase-like                  "
"278" "ostta01g02780" "Armadillo-type fold                 "
"279" "ostta01g02790" "Sulfotransferase                  "
"280" "ostta01g02800" "unnamed product                 "
"281" "ostta01g02810" "CS domain                 "
"282" "ostta01g02820" "unnamed product                 "
"283" "ostta01g02825" "Nucleotide-binding, alpha-beta plait                "
"284" "ostta01g02830" "E3 UFM1-protein ligase 1               "
"285" "ostta01g02840" "Glutathione S-transferase, N-terminal                "
"286" "ostta01g02845" "Mannosyltransferase, DXD                 "
"287" "ostta01g02847" "Glutathione S-transferase, N-terminal                "
"288" "ostta01g02850" "Serine/threonine-protein kinase, active site               "
"289" "ostta01g02860" "Domain of unknown function DUF3825              "
"290" "ostta01g02870" "Short-chain dehydrogenase/reductase SDR                "
"291" "ostta01g02880" "unnamed product                 "
"292" "ostta01g02890" "HAD-superfamily hydrolase, subfamily IIID               "
"293" "ostta01g02895" "tRNA/rRNA methyltransferase, SpoU                "
"294" "ostta01g02910" "Ubinuclein/Yemanuclein                  "
"295" "ostta01g02920" "Bromodomain                  "
"296" "ostta01g02930" "Helicase, C-terminal                 "
"297" "ostta01g02940" "Peptidoglycan binding-like                 "
"298" "ostta01g02950" "Leucine-rich repeat                 "
"299" "ostta01g02960" "Peptidyl-tRNA hydrolase                 "
"300" "ostta01g02970" "Histone-fold                  "
"301" "ostta01g02980" "Uncharacterised protein family UPF0434/Trm112               "
"302" "ostta01g02990" "Ubiquitin carboxyl-terminal hydrolases family 2              "
"303" "ostta01g03000" "tRNA-guanine15 transglycosylase-like                 "
"304" "ostta01g03010" "unnamed product                 "
"305" "ostta01g03020" "Crotonase superfamily                 "
"306" "ostta01g03030" "FAD linked oxidase, N-terminal               "
"307" "ostta01g03040" "Fructose-bisphosphate aldolase, class-I                "
"308" "ostta01g03050" "Alpha-1,6-glucosidases, pullulanase-type, C-terminal                "
"309" "ostta01g03060" "Dienelactone hydrolase                 "
"310" "ostta01g03070" "Activator of Hsp90 ATPase homologue 1-like             "
"311" "ostta01g03080" "unnamed product                 "
"312" "ostta01g03090" "Alpha-ketoglutarate-dependent dioxygenase AlkB-like                "
"313" "ostta01g03100" "Helicase, C-terminal                 "
"314" "ostta01g03110" "Proteasome B-type subunit                "
"315" "ostta01g03120" "Nicotinate phosphoribosyltransferase-like                 "
"316" "ostta01g03130" "Zinc finger, RING/FYVE/PHD-type                "
"317" "ostta01g03140" "Cytochrome c oxidase, subunit Vb              "
"318" "ostta01g03150" "S15/NS1, RNA-binding                 "
"319" "ostta01g03160" "Spindle assembly checkpoint component Mad1              "
"320" "ostta01g03170" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"321" "ostta01g03180" "YjeF N-terminal domain                "
"322" "ostta01g03190" "Translation elongation factor, IF5A C-terminal              "
"323" "ostta01g03200" "Six-bladed beta-propeller, TolB-like                "
"324" "ostta01g03210" "Nuclear transport factor 2 Eukaryote              "
"325" "ostta01g03220" "Domain of unknown function DUF59              "
"326" "ostta01g03230" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"327" "ostta01g03240" "unnamed product                 "
"328" "ostta01g03250" "EF-Hand 1 calcium-binding site               "
"329" "ostta01g03260" "Nuclear control of ATP synthase 2             "
"330" "ostta01g03270" "JmjC domain                 "
"331" "ostta01g03280" "Rudiment single hybrid motif               "
"332" "ostta01g03290" "Streptomyces cyclase/dehydrase                 "
"333" "ostta01g03300" "Rieske [2Fe-2S] iron-sulphur domain               "
"334" "ostta01g03310" "EF-Hand 1 calcium-binding site               "
"335" "ostta01g03320" "Nonaspanin TM9SF                 "
"336" "ostta01g03330" "Metridin-like ShK toxin                "
"337" "ostta01g03340" "PCI/PINT associated module                "
"338" "ostta01g03350" "Zinc finger, RING-CH-type                "
"339" "ostta01g03360" "Thioredoxin-like fold                 "
"340" "ostta01g03370" "Conserved hypothetical protein CHP01589, plant              "
"341" "ostta01g03380" "RNA polymerase III Rpc4               "
"342" "ostta01g03390" "Uroporphyrinogen decarboxylase URO-D                "
"343" "ostta01g03400" "unnamed product                 "
"344" "ostta01g03410" "UBA/THIF-type NAD/FAD binding fold               "
"345" "ostta01g03420" "Pyrophosphate-energised proton pump                "
"346" "ostta01g03430" "Flavinator of succinate dehydrogenase               "
"347" "ostta01g03440" "NUDIX hydrolase domain-like                "
"348" "ostta01g03450" "Rhodanese-like domain                 "
"349" "ostta01g03460" "unnamed product                 "
"350" "ostta01g03470" "SAC3/GANP/Nin1/mts3/eIF-3 p25                 "
"351" "ostta01g03480" "G-patch domain                 "
"352" "ostta01g03490" "Transcription elongation factor S-II, central domain             "
"353" "ostta01g03495" "Mitochondrial substrate/solute carrier                "
"354" "ostta01g03500" "Mitochondrial substrate/solute carrier                "
"355" "ostta01g03510" "unnamed product                 "
"356" "ostta01g03520" "unnamed product                 "
"357" "ostta01g03530" "Mitochondrial substrate/solute carrier                "
"358" "ostta01g03540" "Sterile alpha motif, type 1              "
"359" "ostta01g03550" "unnamed product                 "
"360" "ostta01g03560" "DnaJ domain, conserved site               "
"361" "ostta01g03570" "MIF4-like, type 01/02/03                "
"362" "ostta01g03580" "Nucleotide-binding, alpha-beta plait                "
"363" "ostta01g03590" "unnamed product                 "
"364" "ostta01g03600" "Glutamine amidotransferase                 "
"365" "ostta01g03610" "Immunoglobulin-like fold                 "
"366" "ostta01g03620" "Class II glutamine amidotransferase domain              "
"367" "ostta01g03630" "Nucleoporin FG repeat                "
"368" "ostta01g03640" "Haem peroxidase, plant/fungal/bacterial                "
"369" "ostta01g03650" "Short-chain dehydrogenase/reductase SDR                "
"370" "ostta01g03660" "Metridin-like ShK toxin                "
"371" "ostta01g03670" "unnamed product                 "
"372" "ostta01g03680" "DHBP synthase RibB-like alpha/beta domain              "
"373" "ostta01g03690" "unnamed product                 "
"374" "ostta01g03700" "unnamed product                 "
"375" "ostta01g03710" "unnamed product                 "
"376" "ostta01g03720" "DNA cytosine-5-methyltransferase 1 replication foci domain             "
"377" "ostta01g03730" "FIST domain, N-terminal                "
"378" "ostta01g03740" "unnamed product                 "
"379" "ostta01g03750" "HSP20-like chaperone                 "
"380" "ostta01g03760" "ATPase, AAA-type, CDC48                "
"381" "ostta01g03770" "ATPase, F1 complex, gamma subunit conserved site            "
"382" "ostta01g03780" "unnamed product                 "
"383" "ostta01g03790" "P-loop containing nucleoside triphosphate hydrolase              "
"384" "ostta01g03800" "CAP Gly-rich domain                "
"385" "ostta01g03810" "Glycerol-3-phosphate dehydrogenase, NAD-dependent                "
"386" "ostta01g03820" "unnamed product                 "
"387" "ostta01g03830" "Sjoegren syndrome/scleroderma autoantigen 1               "
"388" "ostta01g03840" "Phospholipase D/Transphosphatidylase                 "
"389" "ostta01g03850" "unnamed product                 "
"390" "ostta01g03860" "Mitochondrial substrate/solute carrier                "
"391" "ostta01g03870" "Domain of unknown function SprT-like              "
"392" "ostta01g03880" "Basic-leucine zipper domain                "
"393" "ostta01g03890" "Histone core                 "
"394" "ostta01g03900" "Pre-mRNA-splicing factor 38                "
"395" "ostta01g03910" "EF-Hand 1 calcium-binding site               "
"396" "ostta01g03920" "unnamed product                 "
"397" "ostta01g03930" "Rad21/Rec8-like protein, N-terminal                "
"398" "ostta01g03940" "Prefoldin                  "
"399" "ostta01g03950" "Mitochodrial transcription termination factor-related               "
"400" "ostta01g03960" "unnamed product                 "
"401" "ostta01g03970" "Paired amphipathic helix                "
"402" "ostta01g03980" "Growth arrest-specific protein 8               "
"403" "ostta01g03990" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain              "
"404" "ostta01g04000" "Peptidase S54, rhomboid domain               "
"405" "ostta01g04010" "Uracil-5-methyltransferase                  "
"406" "ostta01g04020" "Calycin-like                  "
"407" "ostta01g04030" "Ribosomal protein L2, bacterial/organellar-type               "
"408" "ostta01g04040" "unnamed product                 "
"409" "ostta01g04050" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"410" "ostta01g04060" "PHF5-like                  "
"411" "ostta01g04070" "WD40/YVTN repeat-like-containing domain                "
"412" "ostta01g04080" "Membrane bound O-acyl transferase, MBOAT              "
"413" "ostta01g04090" "Conserved hypothetical protein CHP02450, tryptophan-rich              "
"414" "ostta01g04100" "Protein translocase subunit SecA               "
"415" "ostta01g04110" "SWAP/Surp                  "
"416" "ostta01g04120" "von Willebrand factor, type A              "
"417" "ostta01g04130" "Homeodomain-like                  "
"418" "ostta01g04140" "Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain              "
"419" "ostta01g04150" "Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2           "
"420" "ostta01g04160" "Cytochrome c oxidase biogenesis protein Cmc1-like             "
"421" "ostta01g04170" "Domain of unknown function DUF1995              "
"422" "ostta01g04180" "Chitobiase/beta-hexosaminidase C-terminal domain                "
"423" "ostta01g04190" "Quinonprotein alcohol dehydrogenase-like superfamily               "
"424" "ostta01g04200" "Preprotein translocase Sec, Sec61-beta subunit              "
"425" "ostta01g04210" "GOLD                  "
"426" "ostta01g04220" "Pyridine nucleotide-disulphide oxidoreductase, class I, active site n/a  Pyridine nucleotide-disulphide oxidoreductase, class I, active site   "
"427" "ostta01g04230" "Aldehyde dehydrogenase, C-terminal                "
"428" "ostta01g04240" "unnamed product                 "
"429" "ostta01g04250" "2-methoxy-6-polyprenyl-1,4-benzoquinol methylase domain                "
"430" "ostta01g04260" "unnamed product                 "
"431" "ostta01g04270" "Serine/threonine-protein kinase, active site               "
"432" "ostta01g04275" "Sybindin-like protein                 "
"433" "ostta01g04280" "Glycerophosphoryl diester phosphodiesterase                "
"434" "ostta01g04290" "unnamed product                 "
"435" "ostta01g04300" "Two pore domain potassium channel domain             "
"436" "ostta01g04310" "Taxilin family                 "
"437" "ostta01g04320" "Tubulin/FtsZ, 2-layer sandwich domain               "
"438" "ostta01g04330" "Thioredoxin-like fold                 "
"439" "ostta01g04340" "Glutamyl-tRNA synthetase, class Ib, archaeal/eukaryotic cytosolic             "
"440" "ostta01g04350" "unnamed product                 "
"441" "ostta01g04360" "unnamed product                 "
"442" "ostta01g04370" "Inositol-pentakisphosphate 2-kinase                 "
"443" "ostta01g04380" "unnamed product                 "
"444" "ostta01g04390" "SPla/RYanodine receptor SPRY                "
"445" "ostta01g04400" "unnamed product                 "
"446" "ostta01g04410" "Ribosomal protein L21                "
"447" "ostta01g04420" "unnamed product                 "
"448" "ostta01g04430" "von Hippel-Lindau disease tumour suppressor, beta/alpha domain            "
"449" "ostta01g04440" "Clathrin light chain                "
"450" "ostta01g04450" "Vacuolar protein sorting-associated, VPS28               "
"451" "ostta01g04460" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"452" "ostta01g04470" "Concanavalin A-like lectin/glucanase, subgroup               "
"453" "ostta01g04480" "Carotenoid oxygenase                 "
"454" "ostta01g04490" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"455" "ostta01g04500" "unnamed product                 "
"456" "ostta01g04510" "P-loop containing nucleoside triphosphate hydrolase              "
"457" "ostta01g04520" "Protein of unknown function DUF3752              "
"458" "ostta01g04530" "Alanine racemase, N-terminal                "
