ID	type	annotation
kfl00001_0840	CDS	galactokinase
kfl00001_0850	CDS	B-box zinc finger family protein
kfl00001_0860	CDS	imidazoleglycerol-phosphate dehydratase
kfl00001_0870	CDS	hypothetical protein
kfl00002_0010	CDS	syntaxin of plants
kfl00002_0020	CDS	adenylylphosphosulfate(APS) reductase
kfl00002_0030	CDS	hypothetical protein
kfl00002_0040	CDS	hypothetical protein
kfl00002_0050	CDS	MDH2; malate dehydrogenase
kfl00002_0060	CDS	Hypothetical protein
kfl00002_0070	CDS	methyl-CPG-binding domain protein
kfl00002_0080	CDS	hypothetical protein
kfl00002_0090	CDS	Dyneins, heavy chain
kfl00002_0100	CDS	TOM20 mitochondrial import outer membrane translocon protein
kfl00002_0110	CDS	Transducin/WD40 repeat-like superfamily protein
kfl00002_0120	CDS	hypothetical protein
kfl00002_0130	CDS	hypothetical protein
kfl00002_0140	CDS	ATMRK serine/threonine protein kinase-like domain
kfl00002_0150	CDS	Long Chain Base Kinase
kfl00002_0160	CDS	hypothetical protein
kfl00002_0170	CDS	hypothetical protein
kfl00002_0180	CDS	ATP-dependent RNA helicase,(SUV3)
kfl00002_0190	CDS	hypothetical protein
kfl00002_0200	CDS	ADP-ribosylation factor
kfl00002_0210	CDS	cysteine synthase
kfl00002_0220	CDS	hypothetical protein
kfl00002_0230	CDS	GTPase ObgE
kfl00002_0240	CDS	Ubiquitin-conjugating enzyme
kfl00002_0250	CDS	hypothetical protein
kfl00002_0260	CDS	hypothetical protein
kfl00002_0270	CDS	hypothetical protein
kfl00002_0280	CDS	ATP binding|HCF101 HIGH-CHLOROPHYLL-FLUORESCENCE 101
kfl00002_0290	CDS	intraflagellar transport particle protein 74/72
kfl00002_0300	CDS	gamma-soluble NSF attachment protein
kfl00002_0310	CDS	Actin-related protein Arp2/3 complex, subunit ARPC1/p41-ARC
kfl00002_0320	CDS	mechanosensitive channel of small conductance, putative
kfl00002_0330	CDS	hypothetical protein
kfl00002_0340	CDS	hypothetical protein
kfl00002_0350	CDS	Glycosyl hydrolase, family 38 - alpha-mannosidase
kfl00002_0360	CDS	hypothetical protein
kfl00002_0370	CDS	rbcS; ribulose-bisphosphate carboxylase small chain
kfl00002_0380	CDS	Putative nuclear transport receptor LGL2 (importin beta superfamily)
kfl00002_0390	CDS	aquaporin
kfl00002_0400	CDS	hypothetical protein
kfl00002_0410	CDS	hypothetical protein
kfl00002_0420	CDS	26S proteasome AAA-ATPase subunit
kfl00002_0430	CDS	GTP-binding ADP-ribosylation factor-like protein
kfl00002_0440	CDS	NAD(P)-linked oxidoreductase superfamily protein
kfl00002_0450	CDS	hypothetical protein
kfl00002_0460	CDS	prefoldin alpha subunit
kfl00002_0470	CDS	hypothetical protein
kfl00002_0480	CDS	inositol monophosphatase
kfl00002_0490	CDS	hypothetical protein
kfl00002_0500	CDS	hypothetical protein
kfl00002_0510	CDS	hypothetical protein
kfl00002_0520	CDS	RNA ligase/cyclic nucleotide phosphodiesterase family protein
kfl00002_0530	CDS	htpG, HSP90A; molecular chaperone HtpG
kfl00002_0540	CDS	hypothetical protein
kfl00002_0550	CDS	hypothetical protein
kfl00002_0560	CDS	hypothetical protein
kfl00002_0570	CDS	hypothetical protein
kfl00002_0580	CDS	hypothetical protein
kfl00002_0590	CDS	hypothetical protein
kfl00002_0600	CDS	hypothetical protein
kfl00002_0610	CDS	alpha/beta-Hydrolases superfamily protein
kfl00002_0620	CDS	sterol 4-alpha-methyl-oxidase
kfl00002_0630	CDS	ARM repeat superfamily protein
kfl00002_0640	CDS	hypothetical protein
kfl00002_0650	CDS	Hypothetical protein, Chlorophyllase-like
kfl00002_0660	CDS	hypothetical protein
kfl00002_0670	CDS	phosphate/phosphate translocator
kfl00002_0680	CDS	Nop52 containing protein
kfl00002_0690	CDS	hypothetical protein
kfl00002_0700	CDS	PRPF4, PRP4; U4/U6 small nuclear ribonucleoprotein PRP4
kfl00002_0710	CDS	acyP; acylphosphatase
kfl00002_0720	CDS	ubiquitin-conjugating enzyme
kfl00002_0730	CDS	hypothetical protein
kfl00002_0740	CDS	HECT domain containing Ubiquitin ligase
kfl00002_0750	CDS	Cyclic nucleotide-binding domain containing protein
kfl00002_0760	CDS	hypothetical protein
kfl00002_0770	CDS	histidine kinase
kfl00002_0780	CDS	hypothetical protein
kfl00002_0790	CDS	hypothetical protein
kfl00002_0800	CDS	hypothetical protein
kfl00003_0010	CDS	Putative histidine kinase containing cheY-homologous receiver domain and PAS domain
kfl00003_0020	CDS	Phototropic-responsive NPH3 family protein
kfl00003_0030	CDS	hypothetical protein
kfl00003_0040	CDS	hypothetical protein
kfl00003_0050	CDS	hypothetical protein
kfl00003_0055	CDS	hypothetical protein
kfl00003_0060	CDS	hypothetical protein
kfl00003_0070	CDS	Serine carboxypeptidase S28 family protein
kfl00003_0080	CDS	hypothetical protein
kfl00003_0090	CDS	hypothetical protein
kfl00003_0100	CDS	ABC transporter G family
kfl00003_0110	CDS	Leishmanolysin-like peptidase (Peptidase M8 family)
kfl00003_0120	CDS	hypothetical protein
kfl00003_0130	CDS	NAD(P)-linked oxidoreductase superfamily protein
kfl00003_0140	CDS	hypothetical protein
kfl00003_0150	CDS	hypothetical protein
kfl00003_0160	CDS	Chlorophyll b reductase, (NYC1)
kfl00003_0170	CDS	hypothetical protein
kfl00003_0180	CDS	hypothetical protein
kfl00003_0190	CDS	hypothetical protein
kfl00003_0200	CDS	hypothetical protein
kfl00003_0210	CDS	hypothetical protein
kfl00003_0220	CDS	cupin superfamily protein
kfl00003_0230	CDS	hypothetical protein
kfl00003_0240	CDS	Translation elongation factor EF-1 alpha/Tu
kfl00003_0250	CDS	hypothetical protein
kfl00003_0260	CDS	AMMECR1 protein
kfl00003_0270	CDS	hypothetical protein
kfl00003_0280	CDS	cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
kfl00003_0290	CDS	Succinate dehydrogenase, Fe-S protein subunit
kfl00003_0300	CDS	cystathionine beta-lyase
kfl00003_0310	CDS	phytochrome
kfl00003_0320	CDS	Exocyst complex subunit 8,(Sec8)
kfl00003_0330	CDS	U box domain containing protein
kfl00003_0340	CDS	alcohol dehydrogenase-like protein
kfl00003_0350	CDS	hypothetical protein
kfl00003_0360	CDS	Serine/Threonine protein kinase family protein
kfl00003_0370	CDS	Protein kinase superfamily protein
kfl00003_0380	CDS	hypothetical protein
kfl00003_0390	CDS	hypothetical protein
kfl00003_0400	CDS	galactose oxidase-related protein
kfl00003_0410	CDS	cupin superfamily protein
kfl00003_0420	CDS	galactose oxidase-related protein
kfl00003_0430	CDS	hypothetical protein
kfl00003_0440	CDS	hypothetical protein
kfl00003_0450	CDS	hypothetical protein
kfl00003_0460	CDS	hypothetical protein
kfl00003_0470	CDS	partial homology, chloroplast thylakoidal processing peptidase
kfl00003_0480	CDS	hypothetical protein
kfl00003_0490	CDS	Nicotinate/nicotinamide mononucleotide adenyltransferase
kfl00003_0500	CDS	hypothetical protein
kfl00003_0510	CDS	hypothetical protein
kfl00003_0520	CDS	hypothetical protein
kfl00003_0530	CDS	LA, SSB; lupus La protein
kfl00003_0540	CDS	Nucleic acid-binding, OB-fold-like protein
kfl00003_0550	CDS	hypothetical protein
kfl00003_0560	CDS	major facilitator superfamily protein
kfl00003_0570	CDS	Leucine-rich repeat protein
kfl00003_0580	CDS	hypothetical protein
kfl00003_0590	CDS	HPR1; hydroxypyruvate reductase 1
kfl00003_0600	CDS	Hypothetical protein, putative lycopene beta/epsilon cyclase protein
kfl00003_0610	CDS	hypothetical protein
kfl00003_0620	CDS	hypothetical protein
kfl00003_0630	CDS	ATPase
kfl00003_0640	CDS	Serine carboxypeptidase S28 family protein
kfl00003_0650	CDS	probable ammonium transporter
kfl00003_0660	CDS	Leucine-rich repeat containing protein
kfl00003_0670	CDS	hypothetical protein
kfl00003_0680	CDS	Protein kinase superfamily protein
kfl00003_0690	CDS	hypothetical protein
kfl00003_0700	CDS	Chlorophyllide a oxygenase, (CAO), Rieske [2Fe-2S] protein family
kfl00003_0710	CDS	HPT, TPT; homogenitisate phytyltransferase
kfl00003_0720	CDS	S-adenosyl-L-methionine(SAM) dependent methyltransferases 
kfl00003_0730	CDS	hypothetical protein
kfl00003_0740	CDS	hypothetical protein
kfl00003_0750	CDS	hypothetical protein
kfl00003_0760	CDS	DNA repair protein RAD51
kfl00003_0770	CDS	hypothetical protein
kfl00004_0010	CDS	hypothetical protein
kfl00004_0020	CDS	RNA polymerase II transcription factor SIII, subunit A
kfl00004_0030	CDS	hypothetical protein
kfl00004_0040	CDS	hypothetical protein
kfl00004_0050	CDS	hypothetical protein
kfl00004_0060	CDS	Protein kinase superfamily protein
kfl00004_0070	CDS	low homology, ARC6 homolog
kfl00004_0080	CDS	hypothetical protein
kfl00004_0090	CDS	hypothetical protein
kfl00004_0100	CDS	hypothetical protein
kfl00004_0110	CDS	hypothetical protein
kfl00004_0120	CDS	hypothetical protein
kfl00004_0130	CDS	hypothetical protein
kfl00004_0140	CDS	peroxidase
kfl00004_0150	CDS	hypothetical protein
kfl00004_0160	CDS	Leucine Rich Repeat family protein
kfl00004_0170	CDS	hypothetical protein
kfl00004_0180	CDS	hypothetical protein
kfl00004_0190	CDS	hypothetical protein
kfl00004_0200	CDS	branched-chain amino acid aminotransferase
kfl00004_0210	CDS	hypothetical protein
kfl00004_0220	CDS	Zinc-binding oxidoreductase
kfl00004_0230	CDS	putrescine-binding periplasmic protein, putative
kfl00004_0240	CDS	hypothetical protein
kfl00004_0250	CDS	Nucleoside diphosphate kinase
kfl00004_0260	CDS	hypothetical protein
kfl00004_0270	CDS	Glutamine synthetase
kfl00004_0280	CDS	hypothetical protein
kfl00004_0290	CDS	ARM repeat superfamily protein
kfl00004_0300	CDS	Aspartyl/Asparaginyl-tRNA synthetase, class IIb
kfl00004_0310	CDS	PHF5-like protein
kfl00004_0320	CDS	hypothetical protein
kfl00004_0330	CDS	beta-galactosidase
kfl00004_0340	CDS	Protein kinase-like domain containing protein
kfl00004_0350	CDS	hypothetical protein
kfl00004_0360	CDS	hypothetical protein
kfl00004_0370	CDS	Ketosphinganine Reductase
kfl00004_0380	CDS	SNF2 domain containing protein
kfl00004_0390	CDS	hypothetical protein
kfl00004_0400	CDS	hypothetical protein
kfl00004_0410	CDS	hypothetical protein
kfl00004_0420	CDS	Aldehyde dehydrogenase
kfl00004_0430	CDS	Dual specificity phosphatase
kfl00004_0440	CDS	Exostosin family protein
kfl00004_0450	CDS	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
kfl00004_0460	CDS	hypothetical protein
kfl00004_0470	CDS	hypothetical protein
kfl00004_0480	CDS	hypothetical protein
kfl00004_0490	CDS	Kinesin-like protein
kfl00004_0500	CDS	hypothetical protein
kfl00004_0510	CDS	hypothetical protein
kfl00004_0520	CDS	GTP-binding protein
kfl00004_0530	CDS	SEC31; protein transport protein SEC31
kfl00004_0540	CDS	S1 RNA binding domain containing protein
kfl00004_0550	CDS	starch synthase
kfl00004_0560	CDS	hypothetical protein
kfl00004_0570	CDS	hypothetical protein, putative retrotransposon protein containing reverse transcriptase, integrase domains in various combinations
kfl00004_0580	CDS	chromodomain-helicase-DNA-binding protein
kfl00004_0600	CDS	hypothetical protein
kfl00004_0610	CDS	hypothetical protein
kfl00004_0620	CDS	Mitochondrial import inner membrane translocase
kfl00004_0630	CDS	LRR-containing protein
kfl00005_0010	CDS	hypothetical protein
kfl00005_0020	CDS	hypothetical protein
kfl00005_0030	CDS	hypothetical protein
kfl00005_0040	CDS	cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
kfl00005_0050	CDS	hypothetical protein
kfl00005_0060	CDS	protein tyrosine phosphate
kfl00005_0070	CDS	LSM1; U6 snRNA-associated Sm-like protein LSm1
kfl00005_0080	CDS	hypothetical protein
kfl00005_0090	CDS	hypothetical protein
kfl00005_0100	CDS	Putative histone H3 (Lys9) methyltransferase
kfl00005_0110	CDS	Vacuolar assembly/sorting protein
kfl00005_0120	CDS	pterin-4-alpha-carbinolamine dehydratase
kfl00005_0130	CDS	Protein kinase superfamily protein
kfl00005_0140	CDS	hypothetical protein
kfl00005_0150	CDS	hypothetical protein
kfl00005_0160	CDS	hypothetical protein
kfl00005_0170	CDS	glyoxalase family protein
kfl00005_0180	CDS	heat shock protein DnaJ with tetratricopeptide repeat
kfl00005_0190	CDS	SYF2; pre-mRNA-splicing factor SYF2
kfl00005_0200	CDS	Protein kinase superfamily protein
kfl00005_0210	CDS	Ubiquinol cytochrome c reductase, subunit RIP1
kfl00005_0220	CDS	hypothetical protein
kfl00005_0230	CDS	hypothetical protein
kfl00005_0240	CDS	Protein kinase superfamily protein
kfl00005_0250	CDS	hypothetical protein
kfl00005_0260	CDS	hypothetical protein
kfl00005_0270	CDS	hypothetical protein
kfl00005_0280	CDS	hypothetical protein
kfl00005_0290	CDS	Iron transporter
kfl00005_0300	CDS	Mannosyltransferase
kfl00005_0310	CDS	Adenosine monophosphate deaminase
kfl00005_0320	CDS	hypothetical protein
kfl00005_0330	CDS	hypothetical protein
kfl00005_0340	CDS	photolyase/cryptochrome dash
kfl00005_0350	CDS	hypothetical protein
kfl00005_0360	CDS	hypothetical protein
kfl00005_0370	CDS	hypothetical protein
kfl00005_0380	CDS	GTP-binding AARP2CN domain containing protein, Ribosome biogenesis protein BMS1/TSR1
kfl00005_0390	CDS	putative Pentatricopeptide repeat(PPR) domain containing protein
kfl00005_0400	CDS	hypothetical protein
kfl00005_0410	CDS	hypothetical protein
kfl00005_0420	CDS	hypothetical protein
kfl00005_0430	CDS	hypothetical protein
kfl00005_0440	CDS	hypothetical protein
kfl00005_0450	CDS	hypothetical protein
kfl00005_0460	CDS	hypothetical protein
kfl00005_0470	CDS	hypothetical protein
kfl00005_0480	CDS	hypothetical protein
kfl00005_0490	CDS	ORMDL family protein
kfl00005_0500	CDS	hypothetical protein
kfl00005_0510	CDS	hypothetical protein
kfl00005_0520	CDS	hypothetical protein
kfl00005_0530	CDS	hypothetical protein
kfl00005_0540	CDS	hypothetical protein
kfl00005_0550	CDS	hypothetical protein
kfl00005_0560	CDS	Actin-related protein Arp2/3 complex, subunit ARPC2
kfl00005_0570	CDS	calcium-binding endonuclease/exonuclease/phosphatase family
kfl00005_0580	CDS	hypothetical protein
kfl00005_0590	CDS	putative Small MutS-related domain,Pentatricopeptide repeat(PPR) domain containing protein
kfl00005_0600	CDS	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
kfl00005_0610	CDS	hypothetical protein
kfl00005_0620	CDS	signal recognition particle subunit SRP72
kfl00005_0630	CDS	DAPK; death-associated protein kinase
kfl00005_0640	CDS	hypothetical protein
kfl00005_0650	CDS	hypothetical protein
kfl00005_0660	CDS	vacuolar proton ATPase
kfl00005_0670	CDS	hypothetical protein
kfl00005_0680	CDS	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
kfl00005_0690	CDS	UDP-galactose transporter
kfl00005_0700	CDS	hypothetical protein
kfl00006_0010	CDS	hypothetical protein
kfl00006_0020	CDS	hypothetical protein
kfl00006_0030	CDS	NMD protein
kfl00006_0040	CDS	60S ribosomal protein L17
kfl00006_0050	CDS	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
kfl00006_0060	CDS	hypothetical protein
kfl00006_0070	CDS	hypothetical protein
kfl00006_0080	CDS	hypothetical protein
kfl00006_0090	CDS	hypothetical protein
kfl00006_0100	CDS	ribonuclease II family protein
kfl00006_0110	CDS	fucosyltransferase family protein
kfl00006_0120	CDS	Cation transport ATPase
kfl00006_0130	CDS	Cation transport ATPase
kfl00006_0140	CDS	60s ribosomal protein L31
kfl00006_0150	CDS	eukaryotic translation initiation factor
kfl00006_0160	CDS	hypothetical protein
kfl00006_0170	CDS	hemoglobin-like protein
kfl00006_0180	CDS	hypothetical protein
kfl00006_0190	CDS	hypothetical protein
kfl00006_0200	CDS	indole-3-acetic acid-amido synthetase -like
kfl00006_0210	CDS	hypothetical protein
kfl00006_0220	CDS	hypothetical protein
kfl00006_0230	CDS	hypothetical protein
kfl00006_0240	CDS	hypothetical protein
kfl00006_0250	CDS	hypothetical protein
kfl00006_0260	CDS	Protein of unknown function (DUF1997)
kfl00006_0270	CDS	hypothetical protein
kfl00006_0280	CDS	hypothetical protein
kfl00006_0290	CDS	hypothetical protein
kfl00006_0300	CDS	hypothetical protein
kfl00006_0310	CDS	hypothetical protein
kfl00006_0320	CDS	hypothetical protein
kfl00006_0330	CDS	S-adenosyl-L-methionine(SAM) dependent methyltransferases
kfl00006_0340	CDS	hypothetical protein
kfl00006_0350	CDS	heat shock protein GrpE
kfl00006_0360	CDS	hypothetical protein
kfl00006_0370	CDS	hypothetical protein
kfl00006_0380	CDS	translocon at the inner envelope membrane of chloroplast TIC55, (TIC55), Rieske [2Fe-2S] protein family
kfl00006_0390	CDS	hypothetical protein
kfl00006_0400	CDS	60S acidic ribosomal protein P0
kfl00006_0410	CDS	U box domain containing protein
kfl00006_0420	CDS	hypothetical protein
kfl00006_0430	CDS	Class IV sirtuins (SIR2 family)
kfl00006_0440	CDS	hypothetical protein
kfl00006_0450	CDS	hypothetical protein
kfl00006_0460	CDS	cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
kfl00006_0470	CDS	Nucleoside diphosphate kinase
kfl00006_0480	CDS	RNA helixase SDE3
kfl00006_0490	CDS	protein with Helicase_C domain
kfl00006_0500	CDS	proteasome activator complex subunit 4-like isoform 1
kfl00006_0510	CDS	hypothetical protein
kfl00006_0520	CDS	hypothetical protein
kfl00006_0530	CDS	DNA/RNA polymerase superfamily protein with reverse transcriptase domain
kfl00006_0540	CDS	hypothetical protein
kfl00006_0550	CDS	T-complex protein 1 alpha subunit
kfl00006_0560	CDS	hypothetical protein
kfl00006_0570	CDS	hypothetical protein
kfl00006_0580	CDS	hypothetical protein
kfl00006_0590	CDS	Peptide methionine sulfoxide reductase
kfl00006_0600	CDS	hypothetical protein
kfl00006_0610	CDS	hypothetical protein
kfl00006_0620	CDS	hypothetical protein
kfl00006_0630	CDS	hypothetical protein
kfl00006_0640	CDS	hypothetical protein
kfl00006_0650	CDS	hypothetical protein
kfl00006_0660	CDS	hypothetical protein
kfl00006_0670	CDS	hypothetical protein
kfl00006_0680	CDS	hypothetical protein
kfl00006_0690	CDS	phosphodiesterase 
kfl00006_0700	CDS	emp24/gp25L/p24 family protein
kfl00006_0710	CDS	eukaryotic translation initiation factor 3G
kfl00006_0720	CDS	hypothetical protein
kfl00006_0730	CDS	hypothetical protein
kfl00006_0740	CDS	hypothetical protein
kfl00006_0750	CDS	F-box family protein
kfl00006_0760	CDS	hypothetical protein
kfl00006_0770	CDS	glyoxalase family protein
kfl00006_0780	CDS	putative peripheral-type benzodiazepine receptor
kfl00006_0790	CDS	hypothetical protein
kfl00006_0800	CDS	putative protein disulfide isomerase
kfl00006_0810	CDS	hypothetical protein
kfl00006_0820	CDS	Mitochondrial ribosomal protein L21 precursor
kfl00006_0830	CDS	N-acetyltransferase
kfl00006_0840	CDS	hypothetical protein
kfl00006_0850	CDS	kelch-repeat protein
kfl00006_0860	CDS	hypothetical protein
kfl00006_0870	CDS	Six-hairpin glycosidase-like domain containing protein,Thioredoxin (TRX)-like superfamily
kfl00006_0880	CDS	hypothetical protein
kfl00006_0890	CDS	hypothetical protein
kfl00006_0900	CDS	Alanyl-tRNA synthetase, class IIc
kfl00006_0910	CDS	hypothetical protein
kfl00006_0920	CDS	hypothetical protein
kfl00006_0930	CDS	hypothetical protein
kfl00006_0940	CDS	hypothetical protein
kfl00006_0950	CDS	hypothetical protein
kfl00006_0960	CDS	hypothetical protein
kfl00007_0010p	CDS	hypothetical protein
kfl00007_0020	CDS	glycoside hydrolase family 8
kfl00007_0030	CDS	hypothetical protein
kfl00007_0040	CDS	hypothetical protein
kfl00007_0050	CDS	hypothetical protein
kfl00007_0060	CDS	DNA recombinational repair protein BRCA2
kfl00007_0070	CDS	hypothetical protein
kfl00007_0080	CDS	hypothetical protein
kfl00007_0090	CDS	Ubiquitin protein ligase family protein
kfl00007_0100	CDS	ubiquitin-protein ligase, (UPL5)
kfl00007_0110	CDS	hypothetical protein
kfl00007_0120	CDS	hypothetical protein
kfl00007_0130	CDS	High mobility group, superfamily
kfl00007_0140	CDS	PRKAR; cAMP-dependent protein kinase regulator
kfl00007_0150	CDS	putative cyclic nucleotide-gated ion channel
kfl00007_0160	CDS	hypothetical protein
kfl00007_0170	CDS	cyclic nucleotide-gated ion channel
kfl00007_0180	CDS	cyclic nucleotide-regulated ion channel family protein
kfl00007_0190	CDS	Cystathionine beta-synthase (CBS) family protein
kfl00007_0200	CDS	hypothetical protein
kfl00007_0210	CDS	hypothetical protein
kfl00007_0220	CDS	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11
kfl00007_0230	CDS	hydrolyzing o-glycosyl
kfl00007_0240	CDS	polysaccharide deacetylase
kfl00007_0250	CDS	hypothetical protein
kfl00007_0260	CDS	ubiquitin-protein ligase, (UPL5)
kfl00007_0270	CDS	Zinc finger, RING-type domain containing protein
kfl00007_0280	CDS	hypothetical protein
kfl00007_0290	CDS	hypothetical protein
kfl00007_0300	CDS	hypothetical protein
kfl00007_0310	CDS	hypothetical protein
kfl00007_0320	CDS	FAD/NAD(P)-binding oxidoreductase family protein, putative phytoene dehydrogenase
kfl00007_0330	CDS	hypothetical protein
kfl00007_0340	CDS	Glutathione S-transferase family protein
kfl00007_0350	CDS	hypothetical protein
kfl00007_0360	CDS	hypothetical protein
kfl00007_0370	CDS	hypothetical protein
kfl00007_0380	CDS	hypothetical protein
kfl00007_0390	CDS	WD40 repeat-like superfamily protein
kfl00007_0400	CDS	hypothetical protein
kfl00007_0410	CDS	hypothetical protein
kfl00007_0420	CDS	Aminotransferase
kfl00007_0430	CDS	hypothetical protein
kfl00007_0440	CDS	Leucine-rich repeat protein kinase family protein
kfl00007_0450	CDS	hypothetical protein
kfl00007_0460	CDS	hypothetical protein
kfl00007_0470	CDS	Endosomal targeting BRO1-like domain-containing protein
kfl00007_0480	CDS	hypothetical protein
kfl00007_0490	CDS	Phytochelatin synthase
kfl00007_0500	CDS	hypothetical protein
kfl00007_0510	CDS	hypothetical protein
kfl00007_0520	CDS	galactinol synthase
kfl00007_0530	CDS	Alpha-L-fucosidase
kfl00007_0540	CDS	hypothetical protein
kfl00007_0550	CDS	hypothetical protein
kfl00007_0560	CDS	hypothetical protein
kfl00007_0570	CDS	hypothetical protein
kfl00007_0580	CDS	reverse transcriptase,DNA Adenine methyltransferase(DAM)
kfl00007_0590	CDS	hypothetical protein
kfl00007_0600	CDS	water dikinase
kfl00007_0610	CDS	L domain-like superfamily protein
kfl00007_0620	CDS	peroxin 7
kfl00007_0630	CDS	hypothetical protein
kfl00008_0010	CDS	hypothetical protein
kfl00008_0020	CDS	hypothetical protein
kfl00008_0030	CDS	peptidyl-prolyl cis-trans isomerases
kfl00008_0040	CDS	ALG13; beta-1,4-N-acetylglucosaminyltransferase
kfl00008_0050	CDS	hypothetical protein
kfl00008_0060	CDS	hypothetical protein
kfl00008_0070	CDS	TONSOKU,(TSK,BRU1,BRUSHY1,MGO3,MGOUN3)
kfl00008_0080	CDS	Translation initiation factor 1 (eIF-1/SUI1)
kfl00008_0090	CDS	Ubiquitin activating enzyme UBA1
kfl00008_0100	CDS	hypothetical protein
kfl00008_0110	CDS	hypothetical protein
