transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
49181	49181	KOG4199	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
48525	48525	KOG1311	DHHC-type Zn-finger proteins	General function prediction only 	POORLY CHARACTERIZED
48523	48523	KOG2468	Dolichol kinase	Lipid transport and metabolism 	METABOLISM
800	800	KOG1096	Adenosine monophosphate deaminase	Nucleotide transport and metabolism 	METABOLISM
32877	32877	KOG1550	Extracellular protein SEL-1 and related proteins	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
32877	32877	KOG1550	Extracellular protein SEL-1 and related proteins	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
32877	32877	KOG1550	Extracellular protein SEL-1 and related proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
22315	22315	KOG0767	Mitochondrial phosphate carrier protein	Energy production and conversion 	METABOLISM
43299	43299	KOG0054	Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
43298	43298	KOG3734	Predicted phosphoglycerate mutase	Carbohydrate transport and metabolism 	METABOLISM
36079	36079	KOG0804	Cytoplasmic Zn-finger protein BRAP2 (BRCA1 associated protein)	General function prediction only 	POORLY CHARACTERIZED
43295	43295	KOG3975	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42638	42638	KOG1580	UDP-galactose transporter related protein	Carbohydrate transport and metabolism 	METABOLISM
35419	35419	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
43291	43291	KOG1881	Anion exchanger adaptor protein Kanadaptin, contains FHA domain	General function prediction only 	POORLY CHARACTERIZED
45974	45974	KOG1304	Amino acid transporters	Amino acid transport and metabolism 	METABOLISM
45973	45973	KOG1470	Phosphatidylinositol transfer protein PDR16 and related proteins	Lipid transport and metabolism 	METABOLISM
38755	38755	KOG0538	Glycolate oxidase	Energy production and conversion 	METABOLISM
38754	38754	KOG4491	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
49177	49177	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
49176	49176	KOG2806	Chitinase	Carbohydrate transport and metabolism 	METABOLISM
48519	48519	KOG2220	Predicted signal transduction protein	General function prediction only 	POORLY CHARACTERIZED
48518	48518	KOG2693	Putative zinc transporter	Inorganic ion transport and metabolism 	METABOLISM
48512	48512	KOG0897	Predicted ubiquitin-conjugating enzyme	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
15884	15884	KOG2782	Putative SAM dependent methyltransferases	General function prediction only 	POORLY CHARACTERIZED
28984	28984	KOG0330	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
45969	45969	KOG1305	Amino acid transporter protein	Amino acid transport and metabolism 	METABOLISM
42625	42625	KOG0301	Phospholipase A2-activating protein (contains WD40 repeats)	Lipid transport and metabolism 	METABOLISM
45968	45968	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
45968	45968	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
45968	45968	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
43280	43280	KOG1305	Amino acid transporter protein	Amino acid transport and metabolism 	METABOLISM
45964	45964	KOG1516	Carboxylesterase and related proteins	General function prediction only 	POORLY CHARACTERIZED
45961	45961	KOG3627	Trypsin	Amino acid transport and metabolism 	METABOLISM
45960	45960	KOG1282	Serine carboxypeptidases (lysosomal cathepsin A)	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
45960	45960	KOG1282	Serine carboxypeptidases (lysosomal cathepsin A)	Amino acid transport and metabolism 	METABOLISM
49167	49167	KOG0405	Pyridine nucleotide-disulphide oxidoreductase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
49165	49165	KOG0133	Deoxyribodipyrimidine photolyase/cryptochrome	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
49165	49165	KOG0133	Deoxyribodipyrimidine photolyase/cryptochrome	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
48508	48508	KOG2376	Signal recognition particle, subunit Srp72	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
13192	13192	KOG0050	mRNA splicing protein CDC5 (Myb superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
13192	13192	KOG0050	mRNA splicing protein CDC5 (Myb superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
49160	49160	KOG4203	Armadillo/beta-Catenin/plakoglobin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
49160	49160	KOG4203	Armadillo/beta-Catenin/plakoglobin	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
12535	12535	KOG3808	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
48502	48502	KOG1906	DNA polymerase sigma	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
26299	26299	KOG1277	Endosomal membrane proteins, EMP70	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
50498	50498	KOG1012	Ca2+-dependent lipid-binding protein CLB1/vesicle protein vp115/Granuphilin A, contains C2 domain	General function prediction only 	POORLY CHARACTERIZED
15870	15870	KOG3085	Predicted hydrolase (HAD superfamily)	General function prediction only 	POORLY CHARACTERIZED
50497	50497	KOG1023	Natriuretic peptide receptor, guanylate cyclase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
32852	32852	KOG2497	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
50494	50494	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
32851	32851	KOG2246	Galactosyltransferases	Carbohydrate transport and metabolism 	METABOLISM
42619	42619	KOG1284	Bifunctional GTP cyclohydrolase II/3,4-dihydroxy-2butanone-4-phosphate synthase	Coenzyme transport and metabolism 	METABOLISM
43274	43274	KOG0118	FOG: RRM domain	General function prediction only 	POORLY CHARACTERIZED
42616	42616	KOG2177	Predicted E3 ubiquitin ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
43271	43271	KOG3923	D-aspartate oxidase	Amino acid transport and metabolism 	METABOLISM
45958	45958	KOG1296	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42614	42614	KOG0165	Microtubule-associated protein Asp	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
42613	42613	KOG0504	FOG: Ankyrin repeat	General function prediction only 	POORLY CHARACTERIZED
45954	45954	KOG0383	Predicted helicase	General function prediction only 	POORLY CHARACTERIZED
45953	45953	KOG1707	Predicted Ras related/Rac-GTP binding protein	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
39391	39391	KOG0613	Projectin/twitchin and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
49158	49158	KOG0191	Thioredoxin/protein disulfide isomerase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
49154	49154	KOG1144	Translation initiation factor 5B (eIF-5B)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
12523	12523	KOG0763	Mitochondrial ornithine transporter	Energy production and conversion 	METABOLISM
32849	32849	KOG0975	Branched chain aminotransferase BCAT1, pyridoxal phosphate enzymes type IV superfamily	Amino acid transport and metabolism 	METABOLISM
32848	32848	KOG3056	Protein required for S-phase initiation or completion	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
15862	15862	KOG2613	NMD protein affecting ribosome stability and mRNA decay	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
32847	32847	KOG3373	Glycine cleavage system H protein (lipoate-binding)	Amino acid transport and metabolism 	METABOLISM
50489	50489	KOG0580	Serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
7988	7988	KOG0704	ADP-ribosylation factor GTPase activator	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
7988	7988	KOG0704	ADP-ribosylation factor GTPase activator	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
7988	7988	KOG0704	ADP-ribosylation factor GTPase activator	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
50485	50485	KOG1441	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	Carbohydrate transport and metabolism 	METABOLISM
50485	50485	KOG1441	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	Amino acid transport and metabolism 	METABOLISM
43268	43268	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
43267	43267	KOG0161	Myosin class II heavy chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
32841	32841	KOG1550	Extracellular protein SEL-1 and related proteins	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
32841	32841	KOG1550	Extracellular protein SEL-1 and related proteins	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
32841	32841	KOG1550	Extracellular protein SEL-1 and related proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
43266	43266	KOG2146	Splicing coactivator SRm160/300, subunit SRm160 (contains PWI domain)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
43266	43266	KOG2146	Splicing coactivator SRm160/300, subunit SRm160 (contains PWI domain)	General function prediction only 	POORLY CHARACTERIZED
50482	50482	KOG1343	Histone deacetylase complex, catalytic component HDA1	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
42609	42609	KOG0752	Mitochondrial solute carrier protein	Energy production and conversion 	METABOLISM
50481	50481	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
50480	50480	KOG0102	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
45947	45947	KOG1391	Acetyl-CoA acetyltransferase	Lipid transport and metabolism 	METABOLISM
36043	36043	KOG0939	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein	Transcription 	INFORMATION STORAGE AND PROCESSING
36043	36043	KOG0939	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
45944	45944	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
49149	49149	KOG2534	DNA polymerase IV (family X)	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
38724	38724	KOG1690	emp24/gp25L/p24 family of membrane trafficking proteins	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
49147	49147	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
49146	49146	KOG2476	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
13175	13175	KOG3820	Aromatic amino acid hydroxylase	Amino acid transport and metabolism 	METABOLISM
49141	49141	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
49141	49141	KOG4157	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	Carbohydrate transport and metabolism 	METABOLISM
30154	30154	KOG0231	Junctional membrane complex protein Junctophilin and related MORN repeat proteins	General function prediction only 	POORLY CHARACTERIZED
15853	15853	KOG0242	Kinesin-like protein	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
15852	15852	KOG0441	Cu2+/Zn2+ superoxide dismutase SOD1	Inorganic ion transport and metabolism 	METABOLISM
50479	50479	KOG1474	Transcription initiation factor TFIID, subunit BDF1 and related bromodomain proteins	Transcription 	INFORMATION STORAGE AND PROCESSING
32836	32836	KOG0118	FOG: RRM domain	General function prediction only 	POORLY CHARACTERIZED
4634	4634	KOG1312	DHHC-type Zn-finger proteins	General function prediction only 	POORLY CHARACTERIZED
50476	50476	KOG1651	Glutathione peroxidase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
43259	43259	KOG3894	SNARE protein Syntaxin 18/UFE1	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
32833	32833	KOG3139	N-acetyltransferase	General function prediction only 	POORLY CHARACTERIZED
43258	43258	KOG1878	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains	Transcription 	INFORMATION STORAGE AND PROCESSING
32830	32830	KOG2299	Ribonuclease HI	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
50470	50470	KOG2061	Uncharacterized MYND Zn-finger protein	General function prediction only 	POORLY CHARACTERIZED
46595	46595	KOG1607	Protein transporter of the TRAM (translocating chain-associating membrane) superfamily	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
46593	46593	KOG2358	NifU-like domain-containing proteins	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
45936	45936	KOG2614	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	Energy production and conversion 	METABOLISM
45936	45936	KOG2614	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	General function prediction only 	POORLY CHARACTERIZED
45934	45934	KOG0391	SNF2 family DNA-dependent ATPase	General function prediction only 	POORLY CHARACTERIZED
13169	13169	KOG0239	Kinesin (KAR3 subfamily)	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
38713	38713	KOG0017	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	General function prediction only 	POORLY CHARACTERIZED
38712	38712	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
49136	49136	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
49135	49135	KOG1216	von Willebrand factor and related coagulation proteins	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
49135	49135	KOG1216	von Willebrand factor and related coagulation proteins	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
49134	49134	KOG1810	Cell cycle-associated protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
49133	49133	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
49132	49132	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
15848	15848	KOG3087	Serine/threonine protein kinase	General function prediction only 	POORLY CHARACTERIZED
15844	15844	KOG2759	Vacuolar H+-ATPase V1 sector, subunit H	Energy production and conversion 	METABOLISM
12501	12501	KOG2178	Predicted sugar kinase	Carbohydrate transport and metabolism 	METABOLISM
7966	7966	KOG0008	Transcription initiation factor TFIID, subunit TAF1	Transcription 	INFORMATION STORAGE AND PROCESSING
50465	50465	KOG0978	E3 ubiquitin ligase involved in syntaxin degradation	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
50463	50463	KOG2182	Hydrolytic enzymes of the alpha/beta hydrolase fold	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
50463	50463	KOG2182	Hydrolytic enzymes of the alpha/beta hydrolase fold	General function prediction only 	POORLY CHARACTERIZED
43245	43245	KOG2510	SWI-SNF chromatin-remodeling complex protein	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
7961	7961	KOG1828	IRF-2-binding protein CELTIX-1, contains BROMO domain	Transcription 	INFORMATION STORAGE AND PROCESSING
45926	45926	KOG0627	Heat shock transcription factor	Transcription 	INFORMATION STORAGE AND PROCESSING
45921	45921	KOG2501	Thioredoxin, nucleoredoxin and related proteins	General function prediction only 	POORLY CHARACTERIZED
38702	38702	KOG1591	Prolyl 4-hydroxylase alpha subunit	Amino acid transport and metabolism 	METABOLISM
13158	13158	KOG3282	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
49127	49127	KOG3599	Ca2+-modulated nonselective cation channel polycystin	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
49127	49127	KOG3599	Ca2+-modulated nonselective cation channel polycystin	Inorganic ion transport and metabolism 	METABOLISM
13157	13157	KOG0075	GTP-binding ADP-ribosylation factor-like protein	General function prediction only 	POORLY CHARACTERIZED
49121	49121	KOG1762	60s acidic ribosomal protein P1	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
49120	49120	KOG0549	FKBP-type peptidyl-prolyl cis-trans isomerase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
16493	16493	KOG3341	RNA polymerase II transcription factor complex subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
16490	16490	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
16490	16490	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
40692	40692	KOG1216	von Willebrand factor and related coagulation proteins	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
40692	40692	KOG1216	von Willebrand factor and related coagulation proteins	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
33473	33473	KOG0391	SNF2 family DNA-dependent ATPase	General function prediction only 	POORLY CHARACTERIZED
40690	40690	KOG2661	Peptidase family M48	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
7959	7959	KOG0048	Transcription factor, Myb superfamily	Transcription 	INFORMATION STORAGE AND PROCESSING
50457	50457	KOG4629	Predicted mechanosensitive ion channel	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
50456	50456	KOG0123	Polyadenylate-binding protein (RRM superfamily)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
50456	50456	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
46579	46579	KOG0725	Reductases with broad range of substrate specificities	General function prediction only 	POORLY CHARACTERIZED
43236	43236	KOG1840	Kinesin light chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
46577	46577	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
43233	43233	KOG0155	Transcription factor CA150	Transcription 	INFORMATION STORAGE AND PROCESSING
45918	45918	KOG1208	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
46573	46573	KOG1840	Kinesin light chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
36013	36013	KOG4426	Arginyl-tRNA synthetase	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
45915	45915	KOG2171	Karyopherin (importin) beta 3	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
45915	45915	KOG2171	Karyopherin (importin) beta 3	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
46570	46570	KOG3773	Adiponutrin and related vesicular transport proteins; predicted alpha/beta hydrolase	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
45914	45914	KOG2327	DNA-binding subunit of a DNA-dependent protein kinase (Ku70 autoantigen)	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
45913	45913	KOG0619	FOG: Leucine rich repeat	General function prediction only 	POORLY CHARACTERIZED
49119	49119	KOG1454	Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily)	General function prediction only 	POORLY CHARACTERIZED
45911	45911	KOG0504	FOG: Ankyrin repeat	General function prediction only 	POORLY CHARACTERIZED
49117	49117	KOG0505	Myosin phosphatase, regulatory subunit	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
49117	49117	KOG0505	Myosin phosphatase, regulatory subunit	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
49114	49114	KOG0363	Chaperonin complex component, TCP-1 beta subunit (CCT2)	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
40689	40689	KOG3689	Cyclic nucleotide phosphodiesterase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
33463	33463	KOG1611	Predicted short chain-type dehydrogenase	General function prediction only 	POORLY CHARACTERIZED
50446	50446	KOG2115	Vacuolar sorting protein VPS45	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
32803	32803	KOG2825	Putative arsenite-translocating ATPase	Inorganic ion transport and metabolism 	METABOLISM
43228	43228	KOG0161	Myosin class II heavy chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
46569	46569	KOG1216	von Willebrand factor and related coagulation proteins	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
46569	46569	KOG1216	von Willebrand factor and related coagulation proteins	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
50443	50443	KOG4232	Delta 6-fatty acid desaturase/delta-8 sphingolipid desaturase	Lipid transport and metabolism 	METABOLISM
43226	43226	KOG1675	Predicted cyclin	General function prediction only 	POORLY CHARACTERIZED
