proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
1372	3.2.1.58	Glucan 1,3-beta-glucosidase.	Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
1391	3.4.16.6	Carboxypeptidase D.	Preferential release of a C-terminal arginine or lysine residue.	\N	\N	\N	\N	\N
1769	3.5.4.3	Guanine deaminase.	Guanine + H(2)O = xanthine + NH(3).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
1784	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
1784	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
1784	3.1.3.5	5'-nucleotidase.	A 5'-ribonucleotide + H(2)O = a ribonucleoside + phosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
1840	2.4.2.14	Amidophosphoribosyltransferase.	5-phospho-beta-D-ribosylamine + diphosphate + L-glutamate = L-glutamine + 5-phospho-alpha-D-ribose 1-diphosphate + H(2)O.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
1840	2.4.2.14	Amidophosphoribosyltransferase.	5-phospho-beta-D-ribosylamine + diphosphate + L-glutamate = L-glutamine + 5-phospho-alpha-D-ribose 1-diphosphate + H(2)O.	\N	\N	Glutamate metabolism	Amino Acid Metabolism	METABOLIC
1864	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
1864	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
1864	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
1864	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
1864	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
1875	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
1875	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
1875	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
1875	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
1875	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
1947	4.1.99.3	Deoxyribodipyrimidine photolyase.	Cyclobutadipyrimidine (in DNA) = 2 pyrimidine residues (in DNA).	Reduced flavin; Pterin or F420.	\N	\N	\N	\N
1990	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
1990	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
2087	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.	\N	\N	One carbon pool by folate	Metabolism of Cofactors and Vitamins	METABOLIC
2087	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
2087	2.1.1.45	Thymidylate synthase.	5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP.	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
2089	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
2089	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
2164	5.3.1.4	L-arabinose isomerase.	L-arabinose = L-ribulose.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
2208	3.6.4.3	Microtubule-severing ATPase.	ATP + H(2)O = ADP + phosphate.	\N	\N	\N	\N	\N
2217	4.1.1.29	Sulfinoalanine decarboxylase.	3-sulfino-L-alanine = hypotaurine + CO(2).	Pyridoxal-phosphate.	\N	Taurine and hypotaurine metabolism	Metabolism of Other Amino Acids	METABOLIC
2394	6.1.1.16	Cysteine--tRNA ligase.	ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl- tRNA(Cys).	\N	\N	Cysteine metabolism	Amino Acid Metabolism	METABOLIC
2394	6.1.1.16	Cysteine--tRNA ligase.	ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl- tRNA(Cys).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
2607	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N
2761	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
2761	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
2793	3.1.3.11	Fructose-bisphosphatase.	D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.	\N	Fructose-1,6-bisphosphatase deficiency; MIM:229700.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
2793	3.1.3.11	Fructose-bisphosphatase.	D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.	\N	Fructose-1,6-bisphosphatase deficiency; MIM:229700.	Carbon fixation	Energy Metabolism	METABOLIC
2793	3.1.3.11	Fructose-bisphosphatase.	D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.	\N	Fructose-1,6-bisphosphatase deficiency; MIM:229700.	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
2793	3.1.3.11	Fructose-bisphosphatase.	D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.	\N	Fructose-1,6-bisphosphatase deficiency; MIM:229700.	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
2808	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.	\N	\N	\N	\N	\N
2819	3.4.21.-	Serine endopeptidases.	\N	\N	\N	\N	\N	\N
2834	4.1.1.17	Ornithine decarboxylase.	L-ornithine = putrescine + CO(2).	Pyridoxal-phosphate.	\N	Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
2834	4.1.1.17	Ornithine decarboxylase.	L-ornithine = putrescine + CO(2).	Pyridoxal-phosphate.	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
2834	4.1.1.17	Ornithine decarboxylase.	L-ornithine = putrescine + CO(2).	Pyridoxal-phosphate.	\N	Alkaloid biosynthesis II	Biosynthesis of Secondary Metabolites	METABOLIC
2845	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
2845	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
2845	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
2845	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
2845	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
2936	3.1.2.15	Ubiquitin thiolesterase.	Ubiquitin C-terminal thiolester + H(2)O = ubiquitin + a thiol.	\N	\N	\N	\N	\N
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Valine, leucine and isoleucine degradation	Amino Acid Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Ethylbenzene degradation	Biodegradation of Xenobiotics	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Lipopolysaccharide biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	D-Arginine and D-ornithine metabolism	Metabolism of Other Amino Acids	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
2957	2.3.1.-	Transferring groups other than amino-acyl groups.	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
2966	4.4.1.16	Selenocysteine lyase.	L-selenocysteine + reduced acceptor = hydrogen selenide + L-alanine + acceptor.	Pyridoxal-phosphate.	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
3015	1.-.-.-	Oxidoreductases.	\N	\N	\N	\N	\N	\N
3062	2.3.1.48	Histone acetyltransferase.	Acetyl-CoA + histone = CoA + acetyl-histone.	\N	\N	\N	\N	\N
3120	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
3120	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
3120	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
3120	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
3120	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
3145	2.7.1.33	Pantothenate kinase.	ATP + pantothenate = ADP + D-4'-phosphopantothenate.	\N	\N	Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
3182	6.3.2.-	Acid--D-amino-acid ligases (peptide synthases).	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
3182	6.3.2.-	Acid--D-amino-acid ligases (peptide synthases).	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
3211	3.4.21.-	Serine endopeptidases.	\N	\N	\N	\N	\N	\N
3267	4.2.1.51	Prephenate dehydratase.	Prephenate = phenylpyruvate + H(2)O + CO(2).	\N	\N	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
3351	2.1.1.-	Methyltransferases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
3362	4.1.1.50	Adenosylmethionine decarboxylase.	S-adenosyl-L-methionine = (5-deoxy-5-adenosyl)(3-aminopropyl) methylsulfonium salt + CO(2).	Pyruvate.	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
3369	2.7.1.6	Galactokinase.	ATP + D-galactose = ADP + D-galactose 1-phosphate.	\N	Galactokinase deficiency; MIM:230200.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
3425	2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase.	S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing 5-methylaminomethyl-2-thiouridylate.	\N	\N	\N	\N	\N
3559	3.5.4.4	Adenosine deaminase.	Adenosine + H(2)O = inosine + NH(3).	\N	Severe combined immunodeficiency (SCID); MIM:102700.	Purine metabolism	Nucleotide Metabolism	METABOLIC
3578	5.4.99.12	tRNA-pseudouridine synthase I.	tRNA uridine = tRNA pseudouridine.	\N	\N	\N	\N	\N
3639	1.1.1.18	Myo-inositol 2-dehydrogenase.	Myo-inositol + NAD(+) = 2,4,6/3,5-pentahydroxycyclohexanone + NADH.	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
3639	1.1.1.18	Myo-inositol 2-dehydrogenase.	Myo-inositol + NAD(+) = 2,4,6/3,5-pentahydroxycyclohexanone + NADH.	\N	\N	Inositol metabolism	Carbohydrate Metabolism	METABOLIC
3692	3.1.2.15	Ubiquitin thiolesterase.	Ubiquitin C-terminal thiolester + H(2)O = ubiquitin + a thiol.	\N	\N	\N	\N	\N
3787	3.5.3.4	Allantoicase.	Allantoate + H(2)O = (-)-ureidoglycolate + urea.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
3834	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.	\N	\N	\N	\N	\N
3843	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.	\N	\N	\N	\N	\N
3924	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).	\N	\N	\N	\N	\N
3969	2.7.2.8	Acetylglutamate kinase.	ATP + N-acetyl-L-glutamate = ADP + N-acetyl-L-glutamate 5-phosphate.	\N	\N	Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
4025	1.3.1.26	Dihydrodipicolinate reductase.	2,3,4,5-tetrahydrodipicolinate + NAD(P)(+) = 2,3-dihydrodipicolinate + NAD(P)H.	\N	\N	Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
4048	1.-.-.-	Oxidoreductases.	\N	\N	\N	\N	\N	\N
4049	1.-.-.-	Oxidoreductases.	\N	\N	\N	\N	\N	\N
4059	2.7.6.1	Ribose-phosphate pyrophosphokinase.	ATP + D-ribose 5-phosphate = AMP + 5-phospho-alpha-D-ribose 1-diphosphate.	\N	Gout (one form) with urate urolithiasis; MIM:311850.	Purine metabolism	Nucleotide Metabolism	METABOLIC
4059	2.7.6.1	Ribose-phosphate pyrophosphokinase.	ATP + D-ribose 5-phosphate = AMP + 5-phospho-alpha-D-ribose 1-diphosphate.	\N	Gout (one form) with urate urolithiasis; MIM:311850.	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
4073	3.5.1.1	Asparaginase.	L-asparagine + H(2)O = L-aspartate + NH(3).	\N	\N	Nitrogen metabolism	Energy Metabolism	METABOLIC
4073	3.5.1.1	Asparaginase.	L-asparagine + H(2)O = L-aspartate + NH(3).	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
4073	3.5.1.1	Asparaginase.	L-asparagine + H(2)O = L-aspartate + NH(3).	\N	\N	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
4127	1.-.-.-	Oxidoreductases.	\N	\N	\N	\N	\N	\N
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Tetrachloroethene degradation	Biodegradation of Xenobiotics	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
4266	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
4402	1.5.1.15	Methylenetetrahydrofolate dehydrogenase (NAD+).	5,10-methylenetetrahydrofolate + NAD(+) = 5,10-methenyltetrahydrofolate + NADH.	\N	\N	One carbon pool by folate	Metabolism of Cofactors and Vitamins	METABOLIC
4741	3.4.18.1	Cysteine-type carboxypeptidase.	Liberation of C-terminal amino acid residue, with broad specificity, but lacks action on C-terminal proline.	\N	\N	\N	\N	\N
4761	3.1.13.1	Exoribonuclease II.	Exonucleolytic cleavage in the 3'- to 5'-direction to yield 5'-phosphomononucleotides.	\N	\N	\N	\N	\N
4823	4.6.1.1	Adenylate cyclase.	ATP = 3',5'-cyclic AMP + diphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
4936	3.4.18.1	Cysteine-type carboxypeptidase.	Liberation of C-terminal amino acid residue, with broad specificity, but lacks action on C-terminal proline.	\N	\N	\N	\N	\N
4950	1.14.11.2	Procollagen-proline,2-oxoglutarate-4-dioxygenase.	Procollagen L-proline + 2-oxoglutarate + O(2) = procollagen trans-4- hydroxy-L-proline + succinate + CO(2).	Iron; Ascorbate.	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
5128	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
5156	1.14.11.2	Procollagen-proline,2-oxoglutarate-4-dioxygenase.	Procollagen L-proline + 2-oxoglutarate + O(2) = procollagen trans-4- hydroxy-L-proline + succinate + CO(2).	Iron; Ascorbate.	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
5217	4.2.1.70	Pseudouridylate synthase.	Uracil + D-ribose 5-phosphate = pseudouridine 5'-phosphate + H(2)O.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
5235	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N
5236	2.1.1.98	Diphthine synthase.	S-adenosyl-L-methionine + 2-(3-carboxy-3-aminopropyl)-L-histidine = S-adenosyl-L-homocysteine + 2-[3-carboxy-3-(methylammonio)propyl]-L- histidine.	\N	\N	\N	\N	\N
5311	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	1,4-Dichlorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Carbazole degradation	Biodegradation of Xenobiotics	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
5419	4.1.2.-	Aldehyde-lyases.	\N	\N	\N	Benzoate degradation via hydroxylation	Biodegradation of Xenobiotics	METABOLIC
