Gene ID	GO	KOG	ENZYME
ostta01g00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00270" target="_blank">ostta01g00270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0552" target="_blank">KOG0552</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.2.1.8" target="_blank">5.2.1.8</a>
ostta01g00280	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00280" target="_blank">ostta01g00280</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008235" target="_blank">metalloexopeptidase activity (GO:0008235)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2775" target="_blank">KOG2775</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.11.18" target="_blank">3.4.11.18</a>
ostta01g00320	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00320" target="_blank">ostta01g00320</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003995" target="_blank">acyl-CoA dehydrogenase activity (GO:0003995)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016627" target="_blank">oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1469" target="_blank">KOG1469</a>	
ostta01g00360	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00360" target="_blank">ostta01g00360</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008235" target="_blank">metalloexopeptidase activity (GO:0008235)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2738" target="_blank">KOG2738</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.11.18" target="_blank">3.4.11.18</a>
ostta01g00380	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00380" target="_blank">ostta01g00380</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>		
ostta01g00390	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00390" target="_blank">ostta01g00390</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004632" target="_blank">phosphopantothenate--cysteine ligase activity (GO:0004632)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2728" target="_blank">KOG2728</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.5" target="_blank">6.3.2.5</a>
ostta01g00410	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00410" target="_blank">ostta01g00410</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006614" target="_blank">SRP-dependent cotranslational protein targeting to membrane (GO:0006614)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008312" target="_blank">7S RNA binding (GO:0008312)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0048500" target="_blank">signal recognition particle (GO:0048500)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3198" target="_blank">KOG3198</a>	
ostta01g00440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00440" target="_blank">ostta01g00440</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005249" target="_blank">voltage-gated potassium channel activity (GO:0005249)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006813" target="_blank">potassium ion transport (GO:0006813)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008076" target="_blank">voltage-gated potassium channel complex (GO:0008076)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3713" target="_blank">KOG3713</a>	
ostta01g00480	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00480" target="_blank">ostta01g00480</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>		
ostta01g00485	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00485" target="_blank">ostta01g00485</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0746" target="_blank">KOG0746</a>	
ostta01g00520	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00520" target="_blank">ostta01g00520</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042626" target="_blank">ATPase-coupled transmembrane transporter activity (GO:0042626)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008559" target="_blank">ATPase-coupled xenobiotic transmembrane transporter activity (GO:0008559)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0056" target="_blank">KOG0056</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.44" target="_blank">3.6.3.44</a>
ostta01g00540	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00540" target="_blank">ostta01g00540</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>		
ostta01g00560	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00560" target="_blank">ostta01g00560</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005875" target="_blank">microtubule associated complex (GO:0005875)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007017" target="_blank">microtubule-based process (GO:0007017)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3430" target="_blank">KOG3430</a>	
ostta01g00570	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00570" target="_blank">ostta01g00570</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2780" target="_blank">KOG2780</a>	
ostta01g00580	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00580" target="_blank">ostta01g00580</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006855" target="_blank">drug transmembrane transport (GO:0006855)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015238" target="_blank">(GO:0015238)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015297" target="_blank">antiporter activity (GO:0015297)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1347" target="_blank">KOG1347</a>	
ostta01g00590	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00590" target="_blank">ostta01g00590</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004032" target="_blank">alditol:NADP+ 1-oxidoreductase activity (GO:0004032)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1577" target="_blank">KOG1577</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.21" target="_blank">1.1.1.21</a>
ostta01g00610	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00610" target="_blank">ostta01g00610</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">hydrolase activity, acting on ester bonds (GO:0016788)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3035" target="_blank">KOG3035</a>	
ostta01g00620	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00620" target="_blank">ostta01g00620</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006799" target="_blank">polyphosphate biosynthetic process (GO:0006799)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008976" target="_blank">polyphosphate kinase activity (GO:0008976)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009358" target="_blank">polyphosphate kinase complex (GO:0009358)</a>		<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.4.1" target="_blank">2.7.4.1</a>
ostta01g00630	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00630" target="_blank">ostta01g00630</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2383" target="_blank">KOG2383</a>	
ostta01g00650	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00650" target="_blank">ostta01g00650</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0730" target="_blank">KOG0730</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.24.-" target="_blank">3.4.24.-</a>
ostta01g00670	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00670" target="_blank">ostta01g00670</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0051920" target="_blank">peroxiredoxin activity (GO:0051920)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0190" target="_blank">KOG0190</a>	
ostta01g00680	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00680" target="_blank">ostta01g00680</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008318" target="_blank">protein prenyltransferase activity (GO:0008318)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004663" target="_blank">Rab geranylgeranyltransferase activity (GO:0004663)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0529" target="_blank">KOG0529</a>	
ostta01g00690	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00690" target="_blank">ostta01g00690</a>			
ostta01g00720	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00720" target="_blank">ostta01g00720</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004003" target="_blank">(GO:0004003)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004004" target="_blank">(GO:0004004)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008094" target="_blank">DNA-dependent ATPase activity (GO:0008094)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008186" target="_blank">RNA-dependent ATPase activity (GO:0008186)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015462" target="_blank">ATPase-coupled protein transmembrane transporter activity (GO:0015462)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017116" target="_blank">single-stranded DNA helicase activity (GO:0017116)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042623" target="_blank">(GO:0042623)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042624" target="_blank">(GO:0042624)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042625" target="_blank">ATPase-coupled ion transmembrane transporter activity (GO:0042625)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042626" target="_blank">ATPase-coupled transmembrane transporter activity (GO:0042626)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1051" target="_blank">KOG1051</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.1.3" target="_blank">3.6.1.3</a>
ostta01g00730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00730" target="_blank">ostta01g00730</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2681" target="_blank">KOG2681</a>	
ostta01g00740	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00740" target="_blank">ostta01g00740</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046873" target="_blank">metal ion transmembrane transporter activity (GO:0046873)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2474" target="_blank">KOG2474</a>	
ostta01g00760	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta01g00760" target="_blank">ostta01g00760</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>		
