Gene ID	GO	KO	PFAM
ME000535S08196	ME000535S08196	<a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009507" target="_blank">chloroplast (GO:0009507)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">photosystem II (GO:0009523)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02721" target="_blank">K02721</a>	<a href="http://pfam.xfam.org/family/PF07123" target="_blank">PF07123</a>
ME000535S08197	ME000535S08197	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00614" target="_blank">PF00614</a> <a href="http://pfam.xfam.org/family/PF12357" target="_blank">PF12357</a>
ME000535S08202	ME000535S08202	<a href="http://amigo.geneontology.org/amigo/term/GO:0003682" target="_blank">chromatin binding (GO:0003682)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02603" target="_blank">K02603</a>	<a href="http://pfam.xfam.org/family/PF01426" target="_blank">PF01426</a> <a href="http://pfam.xfam.org/family/PF00628" target="_blank">PF00628</a>
ME000535S08208	ME000535S08208	<a href="http://amigo.geneontology.org/amigo/term/GO:0006397" target="_blank">mRNA processing (GO:0006397)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13171" target="_blank">K13171</a>	<a href="http://pfam.xfam.org/family/PF01480" target="_blank">PF01480</a>
ME1046195C03914	ME1046195C03914	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04739" target="_blank">PF04739</a>
ME001024S10719	ME001024S10719	<a href="http://amigo.geneontology.org/amigo/term/GO:0004640" target="_blank">phosphoribosylanthranilate isomerase activity (GO:0004640)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006568" target="_blank">tryptophan metabolic process (GO:0006568)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01817" target="_blank">K01817</a>	<a href="http://pfam.xfam.org/family/PF00697" target="_blank">PF00697</a>
ME001024S10720	ME001024S10720	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18482" target="_blank">K18482</a>	<a href="http://pfam.xfam.org/family/PF01063" target="_blank">PF01063</a>
ME001024S10722	ME001024S10722	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00933" target="_blank">PF00933</a>
ME001024S10723	ME001024S10723	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00933" target="_blank">PF00933</a>
ME001024S10724	ME001024S10724	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00514" target="_blank">PF00514</a>
ME001024S10726	ME001024S10726	<a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12869" target="_blank">K12869</a>	<a href="http://pfam.xfam.org/family/PF02184" target="_blank">PF02184</a>
ME000199S02701	ME000199S02701	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003854" target="_blank">3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006694" target="_blank">steroid biosynthetic process (GO:0006694)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12450" target="_blank">K12450</a>	<a href="http://pfam.xfam.org/family/PF16363" target="_blank">PF16363</a> <a href="http://pfam.xfam.org/family/PF01370" target="_blank">PF01370</a> <a href="http://pfam.xfam.org/family/PF04321" target="_blank">PF04321</a> <a href="http://pfam.xfam.org/family/PF01073" target="_blank">PF01073</a> <a href="http://pfam.xfam.org/family/PF02719" target="_blank">PF02719</a> <a href="http://pfam.xfam.org/family/PF07993" target="_blank">PF07993</a>
ME000199S02704	ME000199S02704	<a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">NADP binding (GO:0050661)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00020" target="_blank">K00020</a>	<a href="http://pfam.xfam.org/family/PF03446" target="_blank">PF03446</a> <a href="http://pfam.xfam.org/family/PF14833" target="_blank">PF14833</a> <a href="http://pfam.xfam.org/family/PF03807" target="_blank">PF03807</a> <a href="http://pfam.xfam.org/family/PF01488" target="_blank">PF01488</a>
ME000199S02705	ME000199S02705	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02910" target="_blank">K02910</a>	<a href="http://pfam.xfam.org/family/PF01198" target="_blank">PF01198</a>
ME000199S02706	ME000199S02706	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02889" target="_blank">K02889</a>	<a href="http://pfam.xfam.org/family/PF01157" target="_blank">PF01157</a>
ME000199S02710	ME000199S02710	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00013" target="_blank">PF00013</a> <a href="http://pfam.xfam.org/family/PF07650" target="_blank">PF07650</a>
ME000199S02711	ME000199S02711	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030001" target="_blank">metal ion transport (GO:0030001)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00122" target="_blank">PF00122</a> <a href="http://pfam.xfam.org/family/PF00702" target="_blank">PF00702</a> <a href="http://pfam.xfam.org/family/PF00403" target="_blank">PF00403</a>
ME000199S02720	ME000199S02720	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004820" target="_blank">glycine-tRNA ligase activity (GO:0004820)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006426" target="_blank">glycyl-tRNA aminoacylation (GO:0006426)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14164" target="_blank">K14164</a>	<a href="http://pfam.xfam.org/family/PF02092" target="_blank">PF02092</a> <a href="http://pfam.xfam.org/family/PF02091" target="_blank">PF02091</a>
ME000199S02721	ME000199S02721	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000075S09614	ME000075S09614	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01893" target="_blank">K01893</a>	<a href="http://pfam.xfam.org/family/PF00152" target="_blank">PF00152</a> <a href="http://pfam.xfam.org/family/PF01336" target="_blank">PF01336</a>
ME000075S09618	ME000075S09618	<a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">nucleotidyltransferase activity (GO:0016779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00966" target="_blank">K00966</a>	<a href="http://pfam.xfam.org/family/PF00483" target="_blank">PF00483</a>
ME000075S09619	ME000075S09619	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000075S09622	ME000075S09622	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000075S09623	ME000075S09623	<a href="http://amigo.geneontology.org/amigo/term/GO:0008251" target="_blank">tRNA-specific adenosine deaminase activity (GO:0008251)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0002100" target="_blank">tRNA wobble adenosine to inosine editing (GO:0002100)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00383" target="_blank">PF00383</a> <a href="http://pfam.xfam.org/family/PF14437" target="_blank">PF14437</a>
ME000075S09624	ME000075S09624	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01148" target="_blank">K01148</a>	<a href="http://pfam.xfam.org/family/PF01985" target="_blank">PF01985</a>
ME000075S09626	ME000075S09626	<a href="http://amigo.geneontology.org/amigo/term/GO:0004222" target="_blank">metalloendopeptidase activity (GO:0004222)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06013" target="_blank">K06013</a>	<a href="http://pfam.xfam.org/family/PF16491" target="_blank">PF16491</a> <a href="http://pfam.xfam.org/family/PF01435" target="_blank">PF01435</a>
ME000075S09629	ME000075S09629	<a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">transcription, DNA-templated (GO:0006351)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03016" target="_blank">K03016</a>	<a href="http://pfam.xfam.org/family/PF03870" target="_blank">PF03870</a>
ME000075S09630	ME000075S09630	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000075S09632	ME000075S09632	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07512" target="_blank">K07512</a>	<a href="http://pfam.xfam.org/family/PF00107" target="_blank">PF00107</a> <a href="http://pfam.xfam.org/family/PF13602" target="_blank">PF13602</a> <a href="http://pfam.xfam.org/family/PF08240" target="_blank">PF08240</a>
ME000075S09633	ME000075S09633	<a href="http://amigo.geneontology.org/amigo/term/GO:0003864" target="_blank">3-methyl-2-oxobutanoate hydroxymethyltransferase activity (GO:0003864)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015940" target="_blank">pantothenate biosynthetic process (GO:0015940)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00606" target="_blank">K00606</a>	<a href="http://pfam.xfam.org/family/PF02548" target="_blank">PF02548</a>
ME000075S09636	ME000075S09636	<a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">NADP binding (GO:0050661)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18121" target="_blank">K18121</a>	<a href="http://pfam.xfam.org/family/PF14833" target="_blank">PF14833</a> <a href="http://pfam.xfam.org/family/PF03446" target="_blank">PF03446</a>
ME000075S09637	ME000075S09637	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09250" target="_blank">K09250</a>	<a href="http://pfam.xfam.org/family/PF00098" target="_blank">PF00098</a> <a href="http://pfam.xfam.org/family/PF13917" target="_blank">PF13917</a> <a href="http://pfam.xfam.org/family/PF14392" target="_blank">PF14392</a>
ME000075S09640	ME000075S09640	<a href="http://amigo.geneontology.org/amigo/term/GO:0006887" target="_blank">exocytosis (GO:0006887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000145" target="_blank">exocyst (GO:0000145)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03081" target="_blank">PF03081</a>
ME001238S00214	ME001238S00214	<a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">translation initiation factor activity (GO:0003743)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">translational initiation (GO:0006413)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03113" target="_blank">K03113</a>	<a href="http://pfam.xfam.org/family/PF01253" target="_blank">PF01253</a>
ME000256S04340	ME000256S04340	<a href="http://amigo.geneontology.org/amigo/term/GO:0016747" target="_blank">transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00626" target="_blank">K00626</a>	<a href="http://pfam.xfam.org/family/PF00108" target="_blank">PF00108</a> <a href="http://pfam.xfam.org/family/PF02803" target="_blank">PF02803</a> <a href="http://pfam.xfam.org/family/PF00109" target="_blank">PF00109</a>
ME000256S04341	ME000256S04341	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06949" target="_blank">K06949</a>	<a href="http://pfam.xfam.org/family/PF03193" target="_blank">PF03193</a>
ME000256S04344	ME000256S04344	<a href="http://amigo.geneontology.org/amigo/term/GO:0033617" target="_blank">mitochondrial cytochrome c oxidase assembly (GO:0033617)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005739" target="_blank">mitochondrion (GO:0005739)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18187" target="_blank">K18187</a>	<a href="http://pfam.xfam.org/family/PF09803" target="_blank">PF09803</a>
ME000256S04347	ME000256S04347	<a href="http://amigo.geneontology.org/amigo/term/GO:0008234" target="_blank">cysteine-type peptidase activity (GO:0008234)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00112" target="_blank">PF00112</a> <a href="http://pfam.xfam.org/family/PF01476" target="_blank">PF01476</a> <a href="http://pfam.xfam.org/family/PF00008" target="_blank">PF00008</a>
ME000256S04348	ME000256S04348	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02714" target="_blank">PF02714</a> <a href="http://pfam.xfam.org/family/PF13967" target="_blank">PF13967</a> <a href="http://pfam.xfam.org/family/PF14703" target="_blank">PF14703</a>
ME000256S04349	ME000256S04349	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13855" target="_blank">PF13855</a> <a href="http://pfam.xfam.org/family/PF01476" target="_blank">PF01476</a> <a href="http://pfam.xfam.org/family/PF00560" target="_blank">PF00560</a>
ME000256S04350	ME000256S04350	<a href="http://amigo.geneontology.org/amigo/term/GO:0008234" target="_blank">cysteine-type peptidase activity (GO:0008234)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00112" target="_blank">PF00112</a>
ME1141959C07598	ME1141959C07598	<a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">hydrolase activity, acting on ester bonds (GO:0016788)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006397" target="_blank">mRNA processing (GO:0006397)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18328" target="_blank">K18328</a>	<a href="http://pfam.xfam.org/family/PF05011" target="_blank">PF05011</a> <a href="http://pfam.xfam.org/family/PF00149" target="_blank">PF00149</a>
ME001096S10746	ME001096S10746	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07393" target="_blank">K07393</a>	<a href="http://pfam.xfam.org/family/PF13409" target="_blank">PF13409</a> <a href="http://pfam.xfam.org/family/PF13410" target="_blank">PF13410</a> <a href="http://pfam.xfam.org/family/PF00043" target="_blank">PF00043</a> <a href="http://pfam.xfam.org/family/PF14497" target="_blank">PF14497</a>
ME001515S01330	ME001515S01330	<a href="http://amigo.geneontology.org/amigo/term/GO:0008483" target="_blank">transaminase activity (GO:0008483)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00819" target="_blank">K00819</a>	<a href="http://pfam.xfam.org/family/PF00202" target="_blank">PF00202</a>
ME001515S01331	ME001515S01331	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22943" target="_blank">K22943</a>	<a href="http://pfam.xfam.org/family/PF04893" target="_blank">PF04893</a>
