Gene ID	GO	KO
kfl00001_0210	kfl00001_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a>	
kfl00001_0240	kfl00001_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
kfl00001_0250	kfl00001_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0006259" target="_blank">DNA metabolic process (GO:0006259)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006265" target="_blank">DNA topological change (GO:0006265)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005694" target="_blank">chromosome (GO:0005694)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003918" target="_blank">DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10878" target="_blank">K10878</a>
kfl00001_0260	kfl00001_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00001_0270	kfl00001_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	
kfl00001_0300	kfl00001_0300	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042626" target="_blank">ATPase-coupled transmembrane transporter activity (GO:0042626)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00001_0330	kfl00001_0330	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
kfl00001_0340	kfl00001_0340	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07052" target="_blank">K07052</a>
kfl00001_0350	kfl00001_0350	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004114" target="_blank">3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008081" target="_blank">phosphoric diester hydrolase activity (GO:0008081)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13293" target="_blank">K13293</a>
kfl00001_0370	kfl00001_0370	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00001_0380	kfl00001_0380	<a href="http://amigo.geneontology.org/amigo/term/GO:0009103" target="_blank">lipopolysaccharide biosynthetic process (GO:0009103)</a>	
kfl00001_0410	kfl00001_0410	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0420	kfl00001_0420	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
kfl00001_0440	kfl00001_0440	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0048037" target="_blank">cofactor binding (GO:0048037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15919" target="_blank">K15919</a>
kfl00001_0450	kfl00001_0450	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12602" target="_blank">K12602</a>
kfl00001_0470	kfl00001_0470	<a href="http://amigo.geneontology.org/amigo/term/GO:0042218" target="_blank">1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016847" target="_blank">1-aminocyclopropane-1-carboxylate synthase activity (GO:0016847)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016769" target="_blank">transferase activity, transferring nitrogenous groups (GO:0016769)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00814" target="_blank">K00814</a>
kfl00001_0480	kfl00001_0480	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0500	kfl00001_0500	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030259" target="_blank">lipid glycosylation (GO:0030259)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016758" target="_blank">transferase activity, transferring hexosyl groups (GO:0016758)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05841" target="_blank">K05841</a>
kfl00001_0510	kfl00001_0510	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0520	kfl00001_0520	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00001_0550	kfl00001_0550	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07252" target="_blank">K07252</a>
kfl00001_0580	kfl00001_0580	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0590	kfl00001_0590	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00001_0610	kfl00001_0610	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03797" target="_blank">K03797</a>
kfl00001_0620	kfl00001_0620	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02964" target="_blank">K02964</a>
kfl00001_0640	kfl00001_0640	<a href="http://amigo.geneontology.org/amigo/term/GO:0007031" target="_blank">peroxisome organization (GO:0007031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006625" target="_blank">protein targeting to peroxisome (GO:0006625)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005778" target="_blank">peroxisomal membrane (GO:0005778)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005777" target="_blank">peroxisome (GO:0005777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042623" target="_blank">(GO:0042623)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13338" target="_blank">K13338</a>
kfl00001_0660	kfl00001_0660	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14810" target="_blank">K14810</a>
kfl00001_0670	kfl00001_0670	<a href="http://amigo.geneontology.org/amigo/term/GO:0030163" target="_blank">protein catabolic process (GO:0030163)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004222" target="_blank">metalloendopeptidase activity (GO:0004222)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03798" target="_blank">K03798</a>
kfl00001_0680	kfl00001_0680	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00001_0690	kfl00001_0690	<a href="http://amigo.geneontology.org/amigo/term/GO:0051276" target="_blank">chromosome organization (GO:0051276)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005694" target="_blank">chromosome (GO:0005694)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06674" target="_blank">K06674</a>
kfl00001_0710	kfl00001_0710	<a href="http://amigo.geneontology.org/amigo/term/GO:0016459" target="_blank">myosin complex (GO:0016459)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003774" target="_blank">motor activity (GO:0003774)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10357" target="_blank">K10357</a>
kfl00001_0720	kfl00001_0720	<a href="http://amigo.geneontology.org/amigo/term/GO:0044255" target="_blank">cellular lipid metabolic process (GO:0044255)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008654" target="_blank">phospholipid biosynthetic process (GO:0008654)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004366" target="_blank">glycerol-3-phosphate O-acyltransferase activity (GO:0004366)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016746" target="_blank">transferase activity, transferring acyl groups (GO:0016746)</a>	
kfl00001_0730	kfl00001_0730	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00001_0740	kfl00001_0740	<a href="http://amigo.geneontology.org/amigo/term/GO:0051603" target="_blank">proteolysis involved in cellular protein catabolic process (GO:0051603)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005839" target="_blank">proteasome core complex (GO:0005839)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004175" target="_blank">endopeptidase activity (GO:0004175)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004298" target="_blank">threonine-type endopeptidase activity (GO:0004298)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02735" target="_blank">K02735</a>
kfl00001_0750	kfl00001_0750	<a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">translational initiation (GO:0006413)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">translation initiation factor activity (GO:0003743)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02518" target="_blank">K02518</a>
kfl00001_0760	kfl00001_0760	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19759" target="_blank">K19759</a>
kfl00001_0780	kfl00001_0780	<a href="http://amigo.geneontology.org/amigo/term/GO:0009228" target="_blank">thiamine biosynthetic process (GO:0009228)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008972" target="_blank">phosphomethylpyrimidine kinase activity (GO:0008972)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004789" target="_blank">thiamine-phosphate diphosphorylase activity (GO:0004789)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14153" target="_blank">K14153</a>
kfl00001_0790	kfl00001_0790	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00001_0810	kfl00001_0810	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016791" target="_blank">phosphatase activity (GO:0016791)</a>	
kfl00001_0830	kfl00001_0830	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22450" target="_blank">K22450</a>
kfl00001_0840	kfl00001_0840	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016301" target="_blank">kinase activity (GO:0016301)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">phosphotransferase activity, alcohol group as acceptor (GO:0016773)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12446" target="_blank">K12446</a>
kfl00001_0850	kfl00001_0850	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00001_0860	kfl00001_0860	<a href="http://amigo.geneontology.org/amigo/term/GO:0000105" target="_blank">histidine biosynthetic process (GO:0000105)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004424" target="_blank">imidazoleglycerol-phosphate dehydratase activity (GO:0004424)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01693" target="_blank">K01693</a>
kfl00001_0870	kfl00001_0870	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00002_0010	kfl00002_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005484" target="_blank">SNAP receptor activity (GO:0005484)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08489" target="_blank">K08489</a>
kfl00002_0020	kfl00002_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05907" target="_blank">K05907</a>
kfl00002_0050	kfl00002_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0044262" target="_blank">cellular carbohydrate metabolic process (GO:0044262)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006108" target="_blank">malate metabolic process (GO:0006108)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030060" target="_blank">L-malate dehydrogenase activity (GO:0030060)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016615" target="_blank">malate dehydrogenase activity (GO:0016615)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00026" target="_blank">K00026</a>
kfl00002_0060	kfl00002_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10143" target="_blank">K10143</a>
kfl00002_0070	kfl00002_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00002_0080	kfl00002_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0009306" target="_blank">protein secretion (GO:0009306)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005886" target="_blank">plasma membrane (GO:0005886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008565" target="_blank">(GO:0008565)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03116" target="_blank">K03116</a>
kfl00002_0090	kfl00002_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030286" target="_blank">dynein complex (GO:0030286)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10408" target="_blank">K10408</a>
kfl00002_0100	kfl00002_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0045040" target="_blank">protein insertion into mitochondrial outer membrane (GO:0045040)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005742" target="_blank">mitochondrial outer membrane translocase complex (GO:0005742)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00002_0110	kfl00002_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00002_0130	kfl00002_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
