Gene ID	GO	KOG	ENZYME
Naga_101013g2	<a href="http://www.nannochloropsis.org/gene/Naga_101013g2" target="_blank">Naga_101013g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043852" target="_blank">monomethylamine methyltransferase activity (GO:0043852)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043851" target="_blank">methanol-specific methylcobalamin:coenzyme M methyltransferase activity (GO:0043851)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043834" target="_blank">trimethylamine methyltransferase activity (GO:0043834)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043833" target="_blank">methylamine-specific methylcobalamin:coenzyme M methyltransferase activity (GO:0043833)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043827" target="_blank">tRNA (adenine-57, 58-N(1)-) methyltransferase activity (GO:0043827)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043803" target="_blank">hydroxyneurosporene-O-methyltransferase activity (GO:0043803)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043791" target="_blank">dimethylamine methyltransferase activity (GO:0043791)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043782" target="_blank">cobalt-precorrin-3 C17-methyltransferase activity (GO:0043782)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043780" target="_blank">cobalt-precorrin-5B C1-methyltransferase activity (GO:0043780)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043777" target="_blank">cobalt-precorrin-7 C15-methyltransferase activity (GO:0043777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043776" target="_blank">cobalt-precorrin-6B C5-methyltransferase activity (GO:0043776)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043770" target="_blank">demethylmenaquinone methyltransferase activity (GO:0043770)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030792" target="_blank">methylarsonite methyltransferase activity (GO:0030792)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019702" target="_blank">protein-arginine N5-methyltransferase activity (GO:0019702)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018707" target="_blank">1-phenanthrol methyltransferase activity (GO:0018707)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018423" target="_blank">protein C-terminal leucine carboxyl O-methyltransferase activity (GO:0018423)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016436" target="_blank">rRNA (uridine) methyltransferase activity (GO:0016436)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016435" target="_blank">rRNA (guanine) methyltransferase activity (GO:0016435)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016434" target="_blank">rRNA (cytosine) methyltransferase activity (GO:0016434)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016433" target="_blank">rRNA (adenine) methyltransferase activity (GO:0016433)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016427" target="_blank">tRNA (cytosine) methyltransferase activity (GO:0016427)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016426" target="_blank">tRNA (adenine) methyltransferase activity (GO:0016426)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016423" target="_blank">tRNA (guanine) methyltransferase activity (GO:0016423)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016300" target="_blank">tRNA (uracil) methyltransferase activity (GO:0016300)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016279" target="_blank">protein-lysine N-methyltransferase activity (GO:0016279)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016278" target="_blank">lysine N-methyltransferase activity (GO:0016278)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016274" target="_blank">protein-arginine N-methyltransferase activity (GO:0016274)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016273" target="_blank">arginine N-methyltransferase activity (GO:0016273)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016205" target="_blank">selenocysteine methyltransferase activity (GO:0016205)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009383" target="_blank">rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009008" target="_blank">DNA-methyltransferase activity (GO:0009008)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008650" target="_blank">rRNA (uridine-2'-O-)-methyltransferase activity (GO:0008650)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008649" target="_blank">rRNA methyltransferase activity (GO:0008649)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008425" target="_blank">2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0008425)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008276" target="_blank">protein methyltransferase activity (GO:0008276)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008175" target="_blank">tRNA methyltransferase activity (GO:0008175)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008174" target="_blank">mRNA methyltransferase activity (GO:0008174)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008173" target="_blank">RNA methyltransferase activity (GO:0008173)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008172" target="_blank">S-methyltransferase activity (GO:0008172)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008171" target="_blank">O-methyltransferase activity (GO:0008171)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008170" target="_blank">N-methyltransferase activity (GO:0008170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008169" target="_blank">C-methyltransferase activity (GO:0008169)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003880" target="_blank">protein C-terminal carboxyl O-methyltransferase activity (GO:0003880)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000179" target="_blank">rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1596" target="_blank">KOG1596</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.-" target="_blank">2.1.1.-</a>
Naga_101137g1	<a href="http://www.nannochloropsis.org/gene/Naga_101137g1" target="_blank">Naga_101137g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0123" target="_blank">KOG0123</a>	
Naga_100129g1	<a href="http://www.nannochloropsis.org/gene/Naga_100129g1" target="_blank">Naga_100129g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016071" target="_blank">mRNA metabolic process (GO:0016071)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0123" target="_blank">KOG0123</a>	
Naga_100129g5	<a href="http://www.nannochloropsis.org/gene/Naga_100129g5" target="_blank">Naga_100129g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>		
Naga_100129g11	<a href="http://www.nannochloropsis.org/gene/Naga_100129g11" target="_blank">Naga_100129g11</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0724" target="_blank">KOG0724</a>	
Naga_100129g13	<a href="http://www.nannochloropsis.org/gene/Naga_100129g13" target="_blank">Naga_100129g13</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008173" target="_blank">RNA methyltransferase activity (GO:0008173)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0838" target="_blank">KOG0838</a>	
Naga_100129g16	<a href="http://www.nannochloropsis.org/gene/Naga_100129g16" target="_blank">Naga_100129g16</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005952" target="_blank">cAMP-dependent protein kinase complex (GO:0005952)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004691" target="_blank">cAMP-dependent protein kinase activity (GO:0004691)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0583" target="_blank">KOG0583</a>	
Naga_100129g19	<a href="http://www.nannochloropsis.org/gene/Naga_100129g19" target="_blank">Naga_100129g19</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008375" target="_blank">acetylglucosaminyltransferase activity (GO:0008375)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0799" target="_blank">KOG0799</a>	
Naga_100033g4	<a href="http://www.nannochloropsis.org/gene/Naga_100033g4" target="_blank">Naga_100033g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>		
Naga_100033g5	<a href="http://www.nannochloropsis.org/gene/Naga_100033g5" target="_blank">Naga_100033g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>		
Naga_100033g8	<a href="http://www.nannochloropsis.org/gene/Naga_100033g8" target="_blank">Naga_100033g8</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006464" target="_blank">cellular protein modification process (GO:0006464)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004835" target="_blank">tubulin-tyrosine ligase activity (GO:0004835)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2155" target="_blank">KOG2155</a>	
Naga_100033g9	<a href="http://www.nannochloropsis.org/gene/Naga_100033g9" target="_blank">Naga_100033g9</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016888" target="_blank">endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3020" target="_blank">KOG3020</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.21.-" target="_blank">3.1.21.-</a>
Naga_100033g10	<a href="http://www.nannochloropsis.org/gene/Naga_100033g10" target="_blank">Naga_100033g10</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016985" target="_blank">mannan endo-1,4-beta-mannosidase activity (GO:0016985)</a>		<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.78" target="_blank">3.2.1.78</a>
Naga_100033g16	<a href="http://www.nannochloropsis.org/gene/Naga_100033g16" target="_blank">Naga_100033g16</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1835" target="_blank">KOG1835</a>	
Naga_100033g18	<a href="http://www.nannochloropsis.org/gene/Naga_100033g18" target="_blank">Naga_100033g18</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043141" target="_blank">(GO:0043141)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019177" target="_blank">dihydroneopterin triphosphate pyrophosphohydrolase activity (GO:0019177)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019176" target="_blank">dihydroneopterin monophosphate phosphatase activity (GO:0019176)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016462" target="_blank">pyrophosphatase activity (GO:0016462)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008828" target="_blank">dATP pyrophosphohydrolase activity (GO:0008828)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008796" target="_blank">bis(5'-nucleosyl)-tetraphosphatase activity (GO:0008796)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008758" target="_blank">UDP-2,3-diacylglucosamine hydrolase activity (GO:0008758)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008413" target="_blank">8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity (GO:0008413)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004787" target="_blank">thiamine-pyrophosphatase activity (GO:0004787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000810" target="_blank">diacylglycerol diphosphate phosphatase activity (GO:0000810)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2484" target="_blank">KOG2484</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.1.-" target="_blank">3.6.1.-</a>
Naga_100033g20	<a href="http://www.nannochloropsis.org/gene/Naga_100033g20" target="_blank">Naga_100033g20</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042255" target="_blank">ribosome assembly (GO:0042255)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3492" target="_blank">KOG3492</a>	
Naga_100033g21	<a href="http://www.nannochloropsis.org/gene/Naga_100033g21" target="_blank">Naga_100033g21</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1944" target="_blank">KOG1944</a>	
Naga_100033g23	<a href="http://www.nannochloropsis.org/gene/Naga_100033g23" target="_blank">Naga_100033g23</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030126" target="_blank">COPI vesicle coat (GO:0030126)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008565" target="_blank">(GO:0008565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">structural molecule activity (GO:0005198)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1058" target="_blank">KOG1058</a>	
Naga_100033g25	<a href="http://www.nannochloropsis.org/gene/Naga_100033g25" target="_blank">Naga_100033g25</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0925" target="_blank">KOG0925</a>	
Naga_100033g26	<a href="http://www.nannochloropsis.org/gene/Naga_100033g26" target="_blank">Naga_100033g26</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005875" target="_blank">microtubule associated complex (GO:0005875)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0246" target="_blank">KOG0246</a>	
Naga_100033g27	<a href="http://www.nannochloropsis.org/gene/Naga_100033g27" target="_blank">Naga_100033g27</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008287" target="_blank">protein serine/threonine phosphatase complex (GO:0008287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006470" target="_blank">protein dephosphorylation (GO:0006470)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004722" target="_blank">protein serine/threonine phosphatase activity (GO:0004722)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017023" target="_blank">myosin phosphatase complex (GO:0017023)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017020" target="_blank">myosin phosphatase regulator activity (GO:0017020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017018" target="_blank">myosin phosphatase activity (GO:0017018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008597" target="_blank">calcium-dependent protein serine/threonine phosphatase regulator activity (GO:0008597)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008420" target="_blank">RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005963" target="_blank">magnesium-dependent protein serine/threonine phosphatase complex (GO:0005963)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004724" target="_blank">magnesium-dependent protein serine/threonine phosphatase activity (GO:0004724)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004723" target="_blank">calcium-dependent protein serine/threonine phosphatase activity (GO:0004723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004721" target="_blank">phosphoprotein phosphatase activity (GO:0004721)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0698" target="_blank">KOG0698</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.16" target="_blank">3.1.3.16</a>
