Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre01.g031100.t1.2	Contains a PDZ domain; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]; similar to Glycine max. SHOOT1 protein (AAK37555); conserved in Viridiplantae
Cre01.g031200.t1.2	Expressed Protein. Similar to the SRP14 subunit of the Signal Recognition Particle. Involved in ER protein translocation.
Cre01.g031650.t1.1	Def transferase/ transferase, transferring glycosyl groups - pfam05637, Glyco_transf_34, galactosyl transferase GMA12/MNN10 family. This family contains a number of glycosyltransferase enzymes that contain a DXD motif. This family includes a number of C. 
Cre01.g032150.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]
Cre01.g032200.t1.2	Similart to conserved uncharacterized Flagellar Associated Protein FAP187 that is found in the flagellar proteome [PMID: 15998802].  This gene model overlaps FAP187 from v3
Cre01.g032300.t1.2	[PMID: 8062839]
Cre01.g032350.t1.2	Induced by p53 in etoposide-treated mammalian cells, also known as Ei24 etoposide-induced protein 2.4 (PMID: 8649819); candidate tumor suppressor gene coding for an apoptosis factor that is an ER-localized Bcl-2 binding protein (PMID: 15781622); in C. rei
Cre01.g032500.t1.2	DnaJ-like protein; might be targeted to ER, as judged from homology with tomato Q7XYV1, Arabidopsis Q9LYW9, and rice Q6H7Q3, which by TargetP are all predicted to secretory pathway; contains C-terminal J-domain (pfam00226) and N-terminal TPR domain (cd001
Cre01.g032600.t1.1	Conserved hypothetical protein
Cre01.g032650.t1.2	Putative Transaldolase (EC 2.2.1.2); possible cytosolic isoform, although weak predicted organelle targeting by Target-P; catalyzes the reversible transfer of a three-carbon ketol unit from sedoheptulose 7-phosphate to glyceraldehyde 3-phosphate to form e
Cre01.g032650.t2.1	Putative Transaldolase (EC 2.2.1.2); possible cytosolic isoform, although weak predicted organelle targeting by Target-P; catalyzes the reversible transfer of a three-carbon ketol unit from sedoheptulose 7-phosphate to glyceraldehyde 3-phosphate to form e
Cre01.g032700.t1.2	Glucokinase; EC:2.7.1.2; Glucose Kinase; similar to Nostoc glucokinase (GenBank BAB74672); Target-P weakly predicts an organelle target sequence
Cre01.g032850.t1.1	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)
Cre01.g033400.t1.2	Mitochondrial import inner membrane translocase subunit Tim9. Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane.
Cre01.g033550.t1.2	Protein Disulfide Isomerase 2 (CrPDI2), PDI-D subfamily, PMID: 16143836, circadian expressed, possible targeting to the ER.
Cre01.g034000.t1.2	Importin beta-1 homolog
Cre01.g034550.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre01.g035300.t1.2	Highly similar to plant N-carbamoylputrescine amidase (amidohydrolase), last step in the agmatinase pathway of polyamine (putrescine) biosynthesis
Cre01.g035500.t1.2	Phosphatidylinositol-3-kinase, probably vacuolar.  Expressed Protein. Similar to VPS34, a phosphatidylinositol-3-kinase, involved in vacuolar transport and lipid metabolism; identical to partial cDNA sequence gi|2109288|gb|U97662.1|CRU97662.  Previously a
Cre01.g035600.t1.1	Sequence similarity with bacterial (E. coli) mechanosensitive ion channel MscS
Cre01.g035750.t1.2	Sequence similarity with bacterial (E. coli) mechanosensitive ion channel MscS
Cre01.g035800.t1.2	Putative inward rectifier K+ channel
Cre01.g035850.t1.2	Conserved Protein.  SEC24 component of COP-II vesicle coat complex involved in ER-to-Golgi transport. Part of Sec23/24 sub-complex.
Cre01.g036050.t1.1	MutL homolog; involved in DNA mismatch repair, together with MSH proteins [PMID: 17992532].  Forms a complex with MutS (see MSH genes)
Cre01.g036550.t1.2	Expressed Protein. Similar to Erv14p/cornichon, an ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation
Cre01.g037350.t1.1	Conserved protein, related to thioesterase family.  Previously annotated as CGLD2
Cre01.g037400.t1.1	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905] similar to At2g16600 (AtCYP19-1) and other cytosolic cyclophilins.  Previously annotated as CYN19-1.  Has homology to mRNA splicing factor SYF2
Cre01.g037700.t1.2	Partial sequence of a fatty acid desaturase/linoleate desaturase; enzymes of this family catalyze the insertion of a double bond at the delta position of fatty acids; Vol 2 Chapter 2, table 1 Riekhof
Cre01.g037850.t1.1	Biotin-containing subunit of the chloroplastic acetyl-coenzyme A carboxylase
Cre01.g038250.t1.2	Serine decarboxylase involved in ethanolamine production for PtdEtn biosynthesis
Cre01.g038400.t1.2	Calreticulin 2. Calreticulin (CRT) is a high-capacity calcium-binding protein mainly localized to the endoplasmic reticulum in eukaryotic cells. Higher plants contain two distinct groups of CRTs: a CRT1/CRT2 group and a CRT3 group. Similar to Arabidopsis 
Cre01.g038500.t1.2	Cytochrome P450, CYP97 superfamily, CYP197B family. CYP746B1 is found in moss Physcomitrella patens.  Previously annotated as CYP746A1
Cre01.g038550.t1.1	Sulfolipid synthase, adds sulfoquinovose to diacylglycerol to produce the plant sulfolipid sulfoquinovosyldiacylglycerol
Cre01.g038600.t1.2	Chloroplast glycerolipid omega-3-fatty acid desaturase
Cre01.g038750.t1.2	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre01.g039150.t1.2	Tic20-like chloroplast import component protein; plays a role in chloroplast protein import (PMID: 16092526), Conserved expressed protein, probably chloroplast targeted; present in thylakoid-enriched fraction based on mass spectrometric peptide identifica
Cre01.g039200.t1.2	Intraflagellar transport (IFT)-particle proteinm, complex B.  Flagellar Associated Protein, found in the Chlamydomonas flagellar proteome [PMID: 15998802]. Orthologs in most flagellated eukaryotes (RABL5 in human), a member of the Ras superfamily of GTPas
