#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
30789252	Cre01.g001550	Cre01.g001550.t1.1	Cre01.g001550.t1.1	PF05198,PF00707	PTHR10938			K02520	GO:0006413,GO:0003743	AT2G24060.1		Translation initiation factor 3 protein
30788856	Cre01.g001600	Cre01.g001600.t1.2	Cre01.g001600.t1.2	PF00651	PTHR26379				GO:0005515	AT5G19330.1	ARIA	ARM repeat protein interacting with  ABF2
30789638	Cre01.g001650	Cre01.g001650.t1.2	Cre01.g001650.t1.2	PF13637,PF12796	PTHR24198					AT4G19150.1		Ankyrin repeat family protein
30789041	Cre01.g001657	Cre01.g001657.t1.1	Cre01.g001657.t1.1	PF14737	PTHR22118,PTHR22118:SF14							
30789618	Cre01.g001664	Cre01.g001664.t1.1	Cre01.g001664.t1.1									
30789189	Cre01.g001671	Cre01.g001671.t1.1	Cre01.g001671.t1.1									
30789137	Cre01.g001678	Cre01.g001678.t1.1	Cre01.g001678.t1.1	PF07714	PTHR23257,PTHR23257:SF474	KOG0192	2.7.11.1		GO:0006468,GO:0004672	AT5G57610.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
30789138	Cre01.g001678	Cre01.g001678.t2.1	Cre01.g001678.t2.1	PF07714	PTHR23257,PTHR23257:SF474	KOG0192	2.7.11.1		GO:0006468,GO:0004672	AT5G57610.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
30788398	Cre01.g001685	Cre01.g001685.t1.1	Cre01.g001685.t1.1									
30789537	Cre01.g001700	Cre01.g001700.t1.1	Cre01.g001700.t1.1	PF07714	PTHR23257	KOG0192	2.7.11.1		GO:0006468,GO:0004672	AT3G46920.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
30788712	Cre01.g001750	Cre01.g001750.t1.2	Cre01.g001750.t1.2	PF05698,PF05697	PTHR30560,PTHR30560:SF3		5.2.1.8		GO:0015031,GO:0006457	AT5G55220.1		trigger factor type chaperone family protein
30788521	Cre01.g001800	Cre01.g001800.t1.1	Cre01.g001800.t1.1	PF00069	PTHR24361,PTHR24361:SF411	KOG0583	2.7.11.1	K08857	GO:0006468,GO:0005524,GO:0004672	AT3G04810.2	ATNEK2,NEK2	NIMA-related kinase 2
30789205	Cre01.g001950	Cre01.g001950.t1.2	Cre01.g001950.t1.2									
30788458	Cre01.g001983	Cre01.g001983.t1.1	Cre01.g001983.t1.1									
30788459	Cre01.g001983	Cre01.g001983.t2.1	Cre01.g001983.t2.1									
30789101	Cre01.g002050	Cre01.g002050.t1.1	Cre01.g002050.t1.1	PF00328	PTHR11567	KOG3720	3.1.3.2	K01078	GO:0003993			
30788974	Cre01.g002100	Cre01.g002100.t1.2	Cre01.g002100.t1.2	PF01753	PTHR32523,PTHR32523:SF8		3.4.19.12					
30789448	Cre01.g002150	Cre01.g002150.t1.2	Cre01.g002150.t1.2									
30789017	Cre01.g002200	Cre01.g002200.t1.1	Cre01.g002200.t1.1	PF01192	PTHR10773	KOG3405	2.7.7.6	K03014	GO:0006351,GO:0003899,GO:0003677	AT5G51940.1	NRPB6A,NRPD6A,NRPE6A	RNA polymerase Rpb6
30789199	Cre01.g002201	Cre01.g002201.t1.2	Cre01.g002201.t1.2	PF04031	PTHR15002					AT5G12220.1		las1-like family protein
30789200	Cre01.g002201	Cre01.g002201.t2.1	Cre01.g002201.t2.1	PF04031	PTHR15002					AT5G12220.1		las1-like family protein
30789466	Cre01.g002203	Cre01.g002203.t1.1	Cre01.g002203.t1.1				2.7.11.1					
30788985	Cre01.g002227	Cre01.g002227.t1.2	Cre01.g002227.t1.2									
30788355	Cre01.g002234	Cre01.g002234.t1.1	Cre01.g002234.t1.1									
30788356	Cre01.g002234	Cre01.g002234.t2.1	Cre01.g002234.t2.1									
30789180	Cre01.g002250	Cre01.g002250.t1.2	Cre01.g002250.t1.2	PF00583	PTHR23091,PTHR23091:SF206				GO:0008080	AT1G26220.1		Acyl-CoA N-acyltransferases (NAT) superfamily protein
30788660	Cre01.g002300	Cre01.g002300.t1.2	Cre01.g002300.t1.2	PF00160	PTHR11071	KOG0865	5.2.1.8	K01802	GO:0006457,GO:0003755,GO:0000413	AT2G21130.1		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
30789373	Cre01.g002350	Cre01.g002350.t1.1	Cre01.g002350.t1.1	PF00899	PTHR10953			K04532	GO:0008641	AT1G05180.1	AXR1	NAD(P)-binding Rossmann-fold superfamily protein
30788816	Cre01.g002400	Cre01.g002400.t1.1	Cre01.g002400.t1.1	PF01764	PTHR21493,PTHR21493:SF119		3.1.1.3		GO:0006629	AT4G13550.1		triglyceride lipases;triglyceride lipases
30789565	Cre01.g002451	Cre01.g002451.t1.1	Cre01.g002451.t1.1	PF00168	PTHR10774				GO:0005515	AT5G17980.1		C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
30788346	Cre01.g002500	Cre01.g002500.t1.2	Cre01.g002500.t1.2									
30789683	Cre01.g002550	Cre01.g002550.t1.1	Cre01.g002550.t1.1	PF00069	PTHR24361	KOG0598,KOG0616,KOG0198	2.7.11.12	K07376	GO:0006468,GO:0005524,GO:0004672	AT1G30640.1		Protein kinase family protein
30788889	Cre01.g002600	Cre01.g002600.t1.2	Cre01.g002600.t1.2									
30789610	Cre01.g002650	Cre01.g002650.t1.2	Cre01.g002650.t1.2									
30788992	Cre01.g002700	Cre01.g002700.t1.2	Cre01.g002700.t1.2		PTHR13083	KOG1333						
30788369	Cre01.g002750	Cre01.g002750.t1.2	Cre01.g002750.t1.2									
30788370	Cre01.g002750	Cre01.g002750.t2.1	Cre01.g002750.t2.1									
30789171	Cre01.g002787	Cre01.g002787.t1.1	Cre01.g002787.t1.1	PF03762,PF00704,PF00530,PF00059	PTHR11177,PTHR11177:SF157	KOG2806			GO:0005975,GO:0004553,GO:0016020,GO:0005044	AT4G19800.1		Glycosyl hydrolase family protein with chitinase insertion domain
30788543	Cre01.g002824	Cre01.g002824.t1.1	Cre01.g002824.t1.1	PF00059								
30789341	Cre01.g002861	Cre01.g002861.t1.1	Cre01.g002861.t1.1									
30788964	Cre01.g002900	Cre01.g002900.t1.2	Cre01.g002900.t1.2									
30788847	Cre01.g002950	Cre01.g002950.t1.1	Cre01.g002950.t1.1	PF06677								
30789230	Cre01.g003000	Cre01.g003000.t1.1	Cre01.g003000.t1.1									
30788616	Cre01.g003050	Cre01.g003050.t1.2	Cre01.g003050.t1.2	PF04048	PTHR14146	KOG3691			GO:0015031,GO:0006904,GO:0000145	AT3G10380.1	ATSEC8,SEC8	subunit of exocyst complex 8
30788970	Cre01.g003100	Cre01.g003100.t1.1	Cre01.g003100.t1.1	PF00226	PTHR24078					AT2G21510.1		DNAJ heat shock N-terminal domain-containing protein
30788971	Cre01.g003100	Cre01.g003100.t2.1	Cre01.g003100.t2.1	PF00226	PTHR24078					AT2G21510.1		DNAJ heat shock N-terminal domain-containing protein
30789503	Cre01.g003150	Cre01.g003150.t1.2	Cre01.g003150.t1.2									
30788898	Cre01.g003200	Cre01.g003200.t1.2	Cre01.g003200.t1.2	PF01408	PTHR22604,PTHR22604:SF136		1.1.1.179		GO:0016491	AT4G09670.1		Oxidoreductase family protein
30789549	Cre01.g003250	Cre01.g003250.t1.1	Cre01.g003250.t1.1	PF07282	PTHR15535							
30789158	Cre01.g003300	Cre01.g003300.t1.2	Cre01.g003300.t1.2	PF13458	PTHR30483,PTHR30483:SF6				GO:0006865			
30788350	Cre01.g003376	Cre01.g003376.t1.1	Cre01.g003376.t1.1	PF00249,PF00226	PTHR24078,PTHR24078:SF310	KOG0691		K09522		AT5G06110.1		DnaJ domain ;Myb-like DNA-binding domain
30789254	Cre01.g003450	Cre01.g003450.t1.1	Cre01.g003450.t1.1									
30789255	Cre01.g003450	Cre01.g003450.t2.1	Cre01.g003450.t2.1									
30789210	Cre01.g003463	Cre01.g003463.t1.1	Cre01.g003463.t1.1	PF05188,PF01624,PF05192,PF00488	PTHR11361,PTHR11361:SF35	KOG0219		K08735	GO:0030983,GO:0006298,GO:0005524	AT3G18524.1	ATMSH2,MSH2	MUTS homolog 2
30788550	Cre01.g003475	Cre01.g003475.t1.1	Cre01.g003475.t1.1	PF06863,PF06742	PTHR36509,PTHR36509:SF2		3.4.24.35					
30789160	Cre01.g003487	Cre01.g003487.t1.1	Cre01.g003487.t1.1	PF09736	PTHR31809	KOG2654		K13106		AT1G31870.1		
30789121	Cre01.g003500	Cre01.g003500.t1.2	Cre01.g003500.t1.2							AT5G54440.1	AtTRS130,CLUB	CLUB
30788305	Cre01.g003508	Cre01.g003508.t1.1	Cre01.g003508.t1.1									
30789616	Cre01.g003516	Cre01.g003516.t1.1	Cre01.g003516.t1.1									
30788840	Cre01.g003524	Cre01.g003524.t1.1	Cre01.g003524.t1.1	PF14531,PF13499	PTHR24349,PTHR24349:SF23	KOG0032	2.7.11.1	K13412		AT5G12180.1	CPK17	calcium-dependent protein kinase 17
30788832	Cre01.g003532	Cre01.g003532.t1.1	Cre01.g003532.t1.1		PTHR16306,PTHR16306:SF0							
30789437	Cre01.g003541	Cre01.g003541.t1.1	Cre01.g003541.t1.1									
30789709	Cre01.g003550	Cre01.g003550.t1.1	Cre01.g003550.t1.1	PF00581	PTHR12231,PTHR12231:SF112	KOG1530				AT4G27700.1		Rhodanese/Cell cycle control phosphatase superfamily protein
30789710	Cre01.g003600	Cre01.g003600.t1.2	Cre01.g003600.t1.2									
30788534	Cre01.g003650	Cre01.g003650.t1.1	Cre01.g003650.t1.1									
30788535	Cre01.g003650	Cre01.g003650.t2.1	Cre01.g003650.t2.1									
30788668	Cre01.g003700	Cre01.g003700.t1.2	Cre01.g003700.t1.2	PF10263	PTHR23099							
30789533	Cre01.g003751	Cre01.g003751.t1.1	Cre01.g003751.t1.1	PF00520	PTHR10217				GO:0055085,GO:0016020,GO:0006811,GO:0005216	AT5G37500.1	GORK	gated outwardly-rectifying K+ channel
30788915	Cre01.g003800	Cre01.g003800.t1.1	Cre01.g003800.t1.1	PF07714	PTHR23257		2.7.11.25		GO:0006468,GO:0004672	AT3G06620.1		PAS domain-containing protein tyrosine kinase family protein
30789703	Cre01.g003826	Cre01.g003826.t1.1	Cre01.g003826.t1.1									
30789713	Cre01.g003850	Cre01.g003850.t1.1	Cre01.g003850.t1.1	PF00067	PTHR24291	KOG0157	1.14.14.1		GO:0055114,GO:0020037,GO:0016705,GO:0005506	AT2G44890.1	CYP704A1	cytochrome P450, family 704, subfamily A, polypeptide 1
30788427	Cre01.g003950	Cre01.g003950.t1.1	Cre01.g003950.t1.1		PTHR31600,PTHR31600:SF2							
30788428	Cre01.g003950	Cre01.g003950.t2.1	Cre01.g003950.t2.1		PTHR31600,PTHR31600:SF2							
30788914	Cre01.g004000	Cre01.g004000.t1.2	Cre01.g004000.t1.2	PF08855								
30789672	Cre01.g004050	Cre01.g004050.t1.2	Cre01.g004050.t1.2									
30788731	Cre01.g004124	Cre01.g004124.t1.1	Cre01.g004124.t1.1		PTHR31600,PTHR31600:SF2							
30788732	Cre01.g004124	Cre01.g004124.t2.1	Cre01.g004124.t2.1		PTHR31600,PTHR31600:SF2							
30789433	Cre01.g004157	Cre01.g004157.t1.2	Cre01.g004157.t1.2		PTHR31600,PTHR31600:SF2							
30789198	Cre01.g004200	Cre01.g004200.t1.2	Cre01.g004200.t1.2									
30788836	Cre01.g004250	Cre01.g004250.t1.2	Cre01.g004250.t1.2	PF03645	PTHR21255,PTHR21255:SF19	KOG4081		K10420				
30789034	Cre01.g004300	Cre01.g004300.t1.2	Cre01.g004300.t1.2	PF13522,PF00733	PTHR11772,PTHR11772:SF13		6.3.5.4	K01953	GO:0006529,GO:0004066	AT3G47340.1	ASN1,AT-ASN1,DIN6	glutamine-dependent asparagine synthase 1
30788641	Cre01.g004350	Cre01.g004350.t1.2	Cre01.g004350.t1.2	PF13949,PF03097	PTHR23030	KOG2220		K12200	GO:0005515	AT1G15130.1		Endosomal targeting BRO1-like domain-containing protein
30788372	Cre01.g004400	Cre01.g004400.t1.2	Cre01.g004400.t1.2									
30789152	Cre01.g004450	Cre01.g004450.t1.2	Cre01.g004450.t1.2	PF07466	PTHR33975					AT1G54520.1		
30789545	Cre01.g004500	Cre01.g004500.t1.2	Cre01.g004500.t1.2	PF00330	PTHR11670	KOG0454	4.2.1.33	K01703	GO:0008152	AT4G13430.1	ATLEUC1,IIL1	isopropyl malate isomerase large subunit 1
30788925	Cre01.g004550	Cre01.g004550.t1.2	Cre01.g004550.t1.2	PF00536	PTHR22998		2.7.12.1,2.7.10.2		GO:0005515			
30789354	Cre01.g004600	Cre01.g004600.t1.1	Cre01.g004600.t1.1	PF02042	PTHR32002					AT5G53040.1		RWP-RK domain-containing protein
30788395	Cre01.g004651	Cre01.g004651.t1.1	Cre01.g004651.t1.1	PF00570			3.6.4.12		GO:0005622,GO:0003676			
30789464	Cre01.g004700	Cre01.g004700.t1.2	Cre01.g004700.t1.2	PF03188	PTHR15422				GO:0016021			
30788692	Cre01.g004750	Cre01.g004750.t1.1	Cre01.g004750.t1.1							AT3G59440.1		Calcium-binding EF-hand family protein
30788693	Cre01.g004750	Cre01.g004750.t2.1	Cre01.g004750.t2.1							AT3G59440.1		Calcium-binding EF-hand family protein
30788382	Cre01.g004800	Cre01.g004800.t1.2	Cre01.g004800.t1.2									
30789361	Cre01.g004850	Cre01.g004850.t1.1	Cre01.g004850.t1.1	PF04851,PF07500,PF08711	PTHR30195,PTHR30195:SF13				GO:0016787,GO:0005524,GO:0003677,GO:0006351,GO:0005634			
30788980	Cre01.g004900	Cre01.g004900.t1.2	Cre01.g004900.t1.2	PF01965	PTHR11019,PTHR11019:SF1							
30789057	Cre01.g004926	Cre01.g004926.t1.1	Cre01.g004926.t1.1									
30788473	Cre01.g004950	Cre01.g004950.t1.1	Cre01.g004950.t1.1	PF01965	PTHR11019,PTHR11019:SF1		4.2.1.130					
30789597	Cre01.g005001	Cre01.g005001.t1.1	Cre01.g005001.t1.1		PTHR34370,PTHR34370:SF1					AT2G38695.1		
30788576	Cre01.g005050	Cre01.g005050.t1.1	Cre01.g005050.t1.1	PF00839	PTHR11884,PTHR11884:SF1			K06816	GO:0016020			
30789089	Cre01.g005100	Cre01.g005100.t1.1	Cre01.g005100.t1.1									
30789217	Cre01.g005126	Cre01.g005126.t1.1	Cre01.g005126.t1.1		PTHR15535							
30788515	Cre01.g005150	Cre01.g005150.t1.1	Cre01.g005150.t1.1	PF00266	PTHR21152,PTHR21152:SF21	KOG2862	2.6.1.51,2.6.1.44,2.6.1.45	K00830		AT2G13360.1	AGT,AGT1,SGAT	alanine:glyoxylate aminotransferase
30788742	Cre01.g005200	Cre01.g005200.t1.1	Cre01.g005200.t1.1	PF01764	PTHR21493,PTHR21493:SF153				GO:0006629	AT4G18550.1		alpha/beta-Hydrolases superfamily protein
30789682	Cre01.g005250	Cre01.g005250.t1.2	Cre01.g005250.t1.2	PF07282	PTHR30405							
30789547	Cre01.g005300	Cre01.g005300.t1.2	Cre01.g005300.t1.2		PTHR30483,PTHR30483:SF6				GO:0006865			
30788923	Cre01.g005350	Cre01.g005350.t1.2	Cre01.g005350.t1.2	PF07282	PTHR30405							
30789228	Cre01.g005400	Cre01.g005400.t1.1	Cre01.g005400.t1.1	PF13561	PTHR24322,PTHR24322:SF105	KOG0725				AT1G54870.1		NAD(P)-binding Rossmann-fold superfamily protein
30788770	Cre01.g005450	Cre01.g005450.t1.2	Cre01.g005450.t1.2	PF02493	PTHR23084					AT1G60890.2		Phosphatidylinositol-4-phosphate 5-kinase family protein
30789372	Cre01.g005500	Cre01.g005500.t1.2	Cre01.g005500.t1.2	PF02656,PF09359	PTHR10783,PTHR10783:SF3	KOG1161						
30788996	Cre01.g005534	Cre01.g005534.t1.2	Cre01.g005534.t1.2									
30789584	Cre01.g005543	Cre01.g005543.t1.1	Cre01.g005543.t1.1									
30789161	Cre01.g005550	Cre01.g005550.t1.2	Cre01.g005550.t1.2	PF08477	PTHR11711,PTHR11711:SF26	KOG0073		K07943	GO:0007264,GO:0005525	AT2G18390.1	ARL2,ATARLC1,HAL,TTN5	ADP-ribosylation factor family protein
30788623	Cre01.g005600	Cre01.g005600.t1.1	Cre01.g005600.t1.1	PF00111					GO:0051536,GO:0009055			
30789259	Cre01.g005651	Cre01.g005651.t1.1	Cre01.g005651.t1.1									
30788629	Cre01.g005701	Cre01.g005701.t1.2	Cre01.g005701.t1.2									
30788630	Cre01.g005701	Cre01.g005701.t2.1	Cre01.g005701.t2.1									
30789489	Cre01.g005750	Cre01.g005750.t1.1	Cre01.g005750.t1.1									
30789701	Cre01.g005813	Cre01.g005813.t1.2	Cre01.g005813.t1.2									
30788374	Cre01.g005850	Cre01.g005850.t1.2	Cre01.g005850.t1.2	PF01923	PTHR12213,PTHR12213:SF0		2.5.1.17	K00798				
30789172	Cre01.g005900	Cre01.g005900.t1.1	Cre01.g005900.t1.1	PF12937,PF04379	PTHR14289,PTHR14289:SF16	KOG4408		K10290	GO:0005515	AT1G06110.1	SKIP16	SKP1/ASK-interacting protein 16
30788591	Cre01.g005950	Cre01.g005950.t1.2	Cre01.g005950.t1.2							AT1G15140.1		FAD/NAD(P)-binding oxidoreductase
30788607	Cre01.g006000	Cre01.g006000.t1.1	Cre01.g006000.t1.1									
30789227	Cre01.g006050	Cre01.g006050.t1.1	Cre01.g006050.t1.1									
30789633	Cre01.g006100	Cre01.g006100.t1.2	Cre01.g006100.t1.2	PF00111			1.14.14.1		GO:0051536,GO:0009055			
30788424	Cre01.g006150	Cre01.g006150.t1.1	Cre01.g006150.t1.1	PF03144,PF16658,PF00009	PTHR23115,PTHR23115:SF69		3.6.5.3		GO:0005525	AT1G62750.1	ATSCO1,ATSCO1/CPEF-G,SCO1	Translation elongation factor EFG/EF2 protein
30789113	Cre01.g006202	Cre01.g006202.t1.1	Cre01.g006202.t1.1	PF07282	PTHR15535							
30789206	Cre01.g006250	Cre01.g006250.t1.2	Cre01.g006250.t1.2		PTHR10178,PTHR10178:SF283		2.7.7.7,3.1.26.4,2.7.7.49					
30788976	Cre01.g006301	Cre01.g006301.t1.1	Cre01.g006301.t1.1									
30789491	Cre01.g006352	Cre01.g006352.t1.1	Cre01.g006352.t1.1									
30789026	Cre01.g006402	Cre01.g006402.t1.1	Cre01.g006402.t1.1									
30788331	Cre01.g006450	Cre01.g006450.t1.2	Cre01.g006450.t1.2	PF00078	PTHR13078		2.7.7.49					
30788330	Cre01.g006450	Cre01.g006450.t2.1	Cre01.g006450.t2.1	PF00078	PTHR13078		2.7.7.49					
30789118	Cre01.g006500	Cre01.g006500.t1.1	Cre01.g006500.t1.1									
30788626	Cre01.g006550	Cre01.g006550.t1.1	Cre01.g006550.t1.1									
30789322	Cre01.g006576	Cre01.g006576.t1.1	Cre01.g006576.t1.1									
30788808	Cre01.g006600	Cre01.g006600.t1.2	Cre01.g006600.t1.2	PF00078	PTHR19446		2.7.7.49			AT4G20520.1		RNA binding;RNA-directed DNA polymerases
30789666	Cre01.g006614	Cre01.g006614.t1.1	Cre01.g006614.t1.1	PF00078	PTHR19446		2.7.7.49			AT4G20520.1		RNA binding;RNA-directed DNA polymerases
30788937	Cre01.g006628	Cre01.g006628.t1.1	Cre01.g006628.t1.1	PF00078	PTHR19446,PTHR19446:SF368		2.7.7.49					
30788936	Cre01.g006628	Cre01.g006628.t2.1	Cre01.g006628.t2.1	PF00078	PTHR19446,PTHR19446:SF368		2.7.7.49					
30789291	Cre01.g006642	Cre01.g006642.t1.1	Cre01.g006642.t1.1									
30789463	Cre01.g006656	Cre01.g006656.t1.1	Cre01.g006656.t1.1									
30788720	Cre01.g006670	Cre01.g006670.t1.1	Cre01.g006670.t1.1		PTHR19446		2.7.7.49					
30788354	Cre01.g006700	Cre01.g006700.t1.2	Cre01.g006700.t1.2	PF00078	PTHR19446		2.7.7.49			AT4G20520.1		RNA binding;RNA-directed DNA polymerases
30788415	Cre01.g006733	Cre01.g006733.t1.1	Cre01.g006733.t1.1									
30788908	Cre01.g006766	Cre01.g006766.t1.1	Cre01.g006766.t1.1	PF00078	PTHR13078,PTHR13078:SF22		2.7.7.7,3.1.26.4,2.7.7.49					
30788498	Cre01.g006800	Cre01.g006800.t1.1	Cre01.g006800.t1.1	PF13439,PF00534	PTHR12526,PTHR12526:SF232		2.4.1.198	K03857		AT3G45100.1	SETH2	UDP-Glycosyltransferase superfamily protein
30789306	Cre01.g006850	Cre01.g006850.t1.2	Cre01.g006850.t1.2									
30788926	Cre01.g006876	Cre01.g006876.t1.1	Cre01.g006876.t1.1									
30789539	Cre01.g006900	Cre01.g006900.t1.1	Cre01.g006900.t1.1	PF05548,PF00415,PF13540	PTHR22870,PTHR22870:SF201					AT3G55580.1		Regulator of chromosome condensation (RCC1) family protein
30789540	Cre01.g006900	Cre01.g006900.t2.1	Cre01.g006900.t2.1	PF05548,PF00415,PF13540	PTHR22870,PTHR22870:SF201					AT3G55580.1		Regulator of chromosome condensation (RCC1) family protein
30788755	Cre01.g006950	Cre01.g006950.t1.1	Cre01.g006950.t1.1	PF00274	PTHR11627,PTHR11627:SF6	KOG1557	4.1.2.13	K01623	GO:0006096,GO:0004332	AT3G52930.1		Aldolase superfamily protein
30788756	Cre01.g006950	Cre01.g006950.t2.1	Cre01.g006950.t2.1	PF00274	PTHR11627,PTHR11627:SF6	KOG1557	4.1.2.13	K01623	GO:0006096,GO:0004332	AT3G52930.1		Aldolase superfamily protein
30789403	Cre01.g007000	Cre01.g007000.t1.2	Cre01.g007000.t1.2	PF00005,PF01061	PTHR19241	KOG0061			GO:0016887,GO:0005524,GO:0016020	AT2G29940.1	ATPDR3,PDR3	pleiotropic drug resistance 3
30789381	Cre01.g007050	Cre01.g007050.t1.2	Cre01.g007050.t1.2	PF11267	PTHR35126,PTHR35126:SF1					AT3G19900.1		
30788581	Cre01.g007051	Cre01.g007051.t1.2	Cre01.g007051.t1.2	PF11976,PF01020	PTHR10666	KOG0003		K08770,K02927	GO:0006412,GO:0005840,GO:0003735	AT2G36170.1		Ubiquitin supergroup;Ribosomal protein L40e
30789270	Cre01.g007100	Cre01.g007100.t1.1	Cre01.g007100.t1.1									
