Cre01.g000050.t1.1	RWP14
Cre01.g016200.t1.1	MLO4
Cre01.g016250.t1.1	MLO3
Cre01.g016300.t1.1	CAM3
Cre01.g016500.t1.1	DLD2
Cre01.g016514.t1.1	DLD2
Cre01.g016600.t1.2	PSBS1
Cre01.g016750.t1.2	PSBS2
Cre01.g017050.t1.2	MCP1
Cre01.g017200.t1.2	FKB99
Cre01.g017300.t1.2	PRPS21
Cre01.g017350.t1.1	RMT3
Cre01.g017450.t1.1	POLA2
Cre01.g017650.t1.2	FAP34
Cre01.g017650.t2.1	FAP34
Cre01.g018000.t1.1	RPA12
Cre01.g018400.t1.1	ITPK2
Cre01.g018550.t1.1	CYG69
Cre01.g018800.t1.2	ATP6
Cre01.g018950.t1.2	DHS1
Cre01.g019150.t1.2	GCP4
Cre01.g019200.t1.1	NOP52
Cre01.g019250.t1.2	GME
Cre01.g019700.t1.2	PAP7
Cre01.g019850.t1.1	FTSH3
Cre01.g019900.t1.2	FAP384
Cre01.g019950.t1.2	DNJ7
Cre01.g020223.t1.1	FUM2
Cre01.g020264.t1.1	ATG6
Cre01.g020305.t1.1	SDH4
Cre01.g020350.t1.2	SDH3
Cre01.g020575.t1.1	HSP22D
Cre01.g020850.t1.1	CYG49
Cre01.g020918.t1.1	PREP1
Cre01.g021050.t1.2	TIM22A
Cre01.g021200.t1.2	CGL47
Cre01.g021251.t1.1	ARG7
Cre01.g021450.t1.1	TPR4
Cre01.g021450.t2.1	TPR4
Cre01.g021450.t3.1	TPR4
Cre01.g021600.t1.2	HEL1
Cre01.g021700.t1.1	CYG36
Cre01.g021850.t1.1	HEL2
Cre01.g021900.t1.1	PUS11
Cre01.g022150.t1.1	KCN3
Cre01.g022250.t1.1	MRPL3
Cre01.g022350.t1.2	HEL3
Cre01.g022500.t1.2	MME5
Cre01.g022600.t1.1	CGL13
Cre01.g022600.t2.1	CGL13
Cre01.g022750.t1.1	FAP159
Cre01.g023000.t1.1	PHT1
Cre01.g023050.t1.2	UBX2
Cre01.g023150.t1.2	MCM5
Cre01.g023350.t1.1	THO2
Cre01.g023550.t1.1	FAP234
Cre01.g024250.t1.1	HEL4
Cre01.g024400.t1.1	TRS85
Cre01.g024850.t1.1	RDP2
Cre01.g025000.t1.2	SSA12
Cre01.g025150.t1.2	CPLD15
Cre01.g025200.t1.2	MMP4
Cre01.g025250.t1.1	RFK2
Cre01.g025300.t1.1	RAD51B
Cre01.g025350.t1.2	FAP235
Cre01.g025400.t1.2	HYDIN
Cre01.g025450.t1.2	DRC9
Cre01.g025850.t1.2	INO
Cre01.g025950.t1.2	PPR8
Cre01.g026100.t1.2	XRP14	RPP14
Cre01.g026100.t2.1	RPP14	XRP14
Cre01.g026200.t1.2	PPR9
Cre01.g026250.t1.2	AGA1
Cre01.g026400.t1.1	EXS
Cre01.g026450.t1.2	SRS1
Cre01.g026500.t1.1	ASP3
Cre01.g026550.t1.1	CCT7
Cre01.g026600.t1.2	UBC11
Cre01.g026900.t1.2	SSA14
Cre01.g026900.t2.1	SSA14
Cre01.g027000.t1.2	RPL11
Cre01.g027100.t1.2	IMP2
Cre01.g027150.t1.1	HEL5
Cre01.g027200.t1.2	UBC12
Cre01.g027450.t1.2	TRX10
Cre01.g027750.t1.1	MFT7
Cre01.g027800.t1.2	ATPVH
Cre01.g027850.t1.1	NUOAF2
Cre01.g027950.t1.2	IFT74
Cre01.g028150.t1.2	CPLD69
Cre01.g028200.t1.1	HEL6
Cre01.g028200.t2.1	HEL6
Cre01.g028250.t1.2	GEA1
Cre01.g028350.t1.1	DEG8
Cre01.g028400.t1.1	DDC1
Cre01.g028550.t1.2	OTU1
Cre01.g029000.t1.2	COQD2
Cre01.g029150.t1.2	DAU1
Cre01.g029200.t1.1	ESP1
Cre01.g029250.t1.2	AAH1
Cre01.g029300.t1.2	TPIC1
Cre01.g029350.t1.2	FAP297
Cre01.g029500.t1.2	CDPKK3
Cre01.g029650.t1.1	VPS35
Cre01.g029750.t1.1	DAAK1
Cre01.g030050.t1.2	PRPL34
Cre01.g030100.t1.1	PTK13
Cre01.g030100.t2.1	PTK13
Cre01.g030200.t1.2	FAP6
Cre01.g030350.t1.1	CGL41
Cre01.g030500.t1.2	CYG58
Cre01.g030600.t1.1	MAPKKK4
Cre01.g030650.t1.2	PHR5
Cre01.g030700.t1.1	PTK14
Cre01.g030800.t1.2	CSN2
Cre01.g030850.t1.2	POA4
Cre01.g031100.t1.2	TEF30
Cre01.g031200.t1.2	SRP14
Cre01.g031300.t1.1	CDPK4
Cre01.g031550.t1.1	CSB6
Cre01.g031650.t1.1	CGLD12
Cre01.g032150.t1.1	FAP187
Cre01.g032300.t1.2	GBP1
Cre01.g032350.t1.2	PIG8
Cre01.g032500.t1.2	DNJ8
Cre01.g032550.t1.1	CGL127
Cre01.g032600.t1.1	CGL25	HPAT1
Cre01.g032650.t1.2	TAL1
Cre01.g032650.t2.1	TAL1
Cre01.g032700.t1.2	GLK1
Cre01.g032800.t1.2	MRS6
Cre01.g032850.t1.1	PTK23
Cre01.g033000.t1.2	FAP334
Cre01.g033350.t1.2	ALD2
Cre01.g033400.t1.2	TIM9
Cre01.g033550.t1.2	PDI2
Cre01.g033950.t1.1	EXN2
Cre01.g034000.t1.2	IPB1
Cre01.g034400.t1.1	PGL1
Cre01.g034550.t1.2	FAP109
Cre01.g034900.t1.2	CDPK5
Cre01.g035300.t1.2	CPA2
Cre01.g035500.t1.2	VPS34
Cre01.g035600.t1.1	MSC2
Cre01.g035750.t1.2	MSC3
Cre01.g035800.t1.2	IRK2
Cre01.g035850.t1.2	SEC24B
Cre01.g036050.t1.1	MLH1
Cre01.g036350.t1.1	PMA1
Cre01.g036550.t1.2	ERV14
Cre01.g036600.t1.2	EXN3
Cre01.g036750.t1.2	DMA1
Cre01.g036800.t1.1	KIN9-1
Cre01.g036850.t1.2	PDY1
Cre01.g036950.t1.2	CBA1
Cre01.g037000.t1.1	SCPL49
Cre01.g037000.t2.1	SCPL49
Cre01.g037350.t1.1	CGLD2
Cre01.g037400.t1.1	CYN19-1
Cre01.g037700.t1.2	FAD3
Cre01.g037800.t1.2	TRX21
Cre01.g037850.t1.1	BCC2
Cre01.g038050.t1.1	COP7
Cre01.g038250.t1.2	SDC1
Cre01.g038400.t1.2	CRT2
Cre01.g038500.t1.2	CYP746A1
Cre01.g038550.t1.1	SQD2
Cre01.g038600.t1.2	FAD7
Cre01.g038650.t1.2	SRS2
Cre01.g038700.t1.2	CLV5
Cre01.g038750.t1.2	MOT7
Cre01.g038800.t1.2	MIP3
Cre01.g038950.t1.2	SELF
Cre01.g039101.t1.1	CSB7
Cre01.g039150.t1.2	TIC21	CPLD5
Cre01.g039200.t1.2	IFT22
Cre01.g039250.t1.1	RPS2
Cre01.g039250.t2.1	RPS2
Cre01.g039300.t1.2	RB47
Cre01.g039350.t1.2	NCR2
Cre01.g039500.t1.2	FAP89
Cre01.g039550.t1.1	PLAP1
Cre01.g039650.t1.2	PDF1C
Cre01.g039750.t1.2	PDF1B
Cre01.g039850.t1.1	CGL48
Cre01.g039900.t1.2	TRZ4
Cre01.g039950.t1.2	MFT32
Cre01.g040000.t1.2	RPL26
Cre01.g040050.t1.1	TPK1
Cre01.g040200.t1.2	WNK2
Cre01.g040250.t1.2	DNJ9
Cre01.g040350.t1.1	MSH8
Cre01.g040450.t1.2	HDT1
Cre01.g040600.t1.1	FAP327
Cre01.g041050.t1.1	AOC6
Cre01.g041050.t2.1	AOC6
Cre01.g041100.t1.1	HLM3
Cre01.g041300.t1.2	ALG10
Cre01.g042300.t1.1	SRR6
Cre01.g042750.t1.2	ACH1
Cre01.g042800.t1.2	DVR1
Cre01.g043050.t1.2	SNR2
Cre01.g043200.t1.2	CGLD6
Cre01.g043350.t1.2	CAO1
Cre01.g043650.t1.1	DLU2
Cre01.g043750.t1.1	BBS7
Cre01.g044100.t1.2	AMB3	AMYB3
Cre01.g044250.t1.1	CAM4
Cre01.g044800.t1.2	PFL1
Cre01.g045000.t1.2	PRL9
Cre01.g045150.t1.2	FAP304
Cre01.g045350.t1.2	DRC5
Cre01.g045400.t1.1	CSB8
Cre01.g045400.t2.1	CSB8
Cre01.g045400.t3.1	CSB8
Cre01.g045550.t1.2	APE2
Cre01.g045600.t1.1	SRR12
Cre01.g045650.t1.2	ZNJ3
Cre01.g045700.t1.1	CAT2
Cre01.g045903.t1.1	DGAT1
Cre01.g046800.t1.1	MSP1
Cre01.g046850.t1.2	UBC13
Cre01.g047265.t1.1	PHC52
Cre01.g047450.t1.1	CPLD17	CPDL17
Cre01.g047550.t1.2	RAB6
Cre01.g047700.t1.2	CYN40
Cre01.g047750.t1.2	RPL18A
Cre01.g047800.t1.1	GRX6
Cre01.g047950.t1.1	IFT27
Cre01.g048050.t1.2	COA3
Cre01.g048150.t1.2	HLA8
Cre01.g048350.t1.2	CGL53
Cre01.g048750.t1.2	PPR7
Cre01.g048950.t1.2	PYR5
Cre01.g049000.t1.2	CGL31
Cre01.g049500.t1.2	COX2B
Cre01.g049600.t1.2	CGLD22
Cre01.g049826.t1.1	PHC59
Cre01.g049950.t1.1	VLE1
Cre01.g050050.t1.2	GUM1
Cre01.g050100.t1.2	DPD1
Cre01.g050150.t1.1	NFO1
Cre01.g050200.t1.2	CSB9
Cre01.g050350.t1.1	RBL6
Cre01.g050400.t1.2	TIM22C
Cre01.g050400.t2.1	TIM22C
Cre01.g050451.t1.1	TTL6
Cre01.g050500.t1.1	TCB1	PPR1
Cre01.g050850.t1.2	PKL1
Cre01.g050850.t2.1	PKL1
Cre01.g051050.t1.2	FAP225
Cre01.g051250.t1.2	DLE1
Cre01.g051400.t1.2	ERD2A
Cre01.g051400.t2.1	ERD2A
Cre01.g051500.t1.2	ULP1
Cre01.g051550.t1.1	HEL8
Cre01.g051800.t1.1	AST2
Cre01.g051900.t1.2	RIP1
Cre01.g051950.t1.2	ASP2
Cre01.g052050.t1.2	CBP3	UQCC1
Cre01.g052100.t1.2	PRPL18
Cre01.g052150.t1.1	FAP87
Cre01.g052250.t1.2	TRXx
Cre01.g052300.t1.1	E2F1
Cre01.g052350.t1.1	MRPL20
Cre01.g052400.t1.2	CPLD43	CCB3
Cre01.g052650.t1.1	VIP2
Cre01.g052950.t1.1	PSO2
Cre01.g053000.t1.2	GPD2
Cre01.g053150.t1.2	GPD3
Cre01.g053150.t2.1	GPD3
Cre01.g053300.t1.1	AIH1
Cre01.g053450.t1.1	CYA1
Cre01.g053600.t1.2	MRPL27
Cre01.g053750.t1.2	LPL3
Cre01.g054150.t1.2	NTRC1
Cre01.g054250.t1.2	CYP743A1
Cre01.g055200.t1.2	CPL7
Cre01.g055424.t1.1	PIGP
Cre01.g055440.t1.1	CSR8
Cre01.g055453.t1.1	ALS2
Cre01.g055550.t1.2	COX11
Cre01.g055600.t1.1	KIL15
Cre01.g058521.t1.1	ALG11
Cre01.g061077.t1.1	CGL93
Cre01.g062172.t1.1	HBV1
Cre01.g063267.t1.1	BLP1
Cre01.g065822.t1.1	IFT122
Cre01.g066187.t1.1	ZRT4
Cre01.g066917.t1.1	LHCBM1
Cre01.g068012.t1.1	PPR5
Cre01.g069107.t1.1	COX191
Cre01.g071662.t1.1	ACS1
Cre02.g073176.t1.1	CSB10
Cre02.g073200.t1.2	THD1
Cre02.g073500.t1.1	FAP241
Cre02.g073650.t1.2	PRP19
Cre02.g073650.t2.1	PRP19
Cre02.g073700.t1.2	UROD3
Cre02.g073700.t2.1	UROD3
Cre02.g073750.t1.2	KLP1
Cre02.g073850.t1.2	CGL54
Cre02.g074000.t1.1	POC18
Cre02.g074000.t2.1	POC18
Cre02.g074150.t1.1	COP5
Cre02.g074150.t2.1	COP5
Cre02.g074600.t1.1	CGL60
Cre02.g074626.t1.1	CSB11
Cre02.g074758.t1.1	CYG8
Cre02.g074758.t2.1	CYG8
Cre02.g074800.t1.1	CYG9
Cre02.g074800.t2.1	CYG9
Cre02.g075050.t1.2	PTA1
Cre02.g075100.t1.2	TPR3
Cre02.g075100.t2.1	TPR3
Cre02.g075150.t1.2	RPB2
Cre02.g075150.t2.1	RPB2
Cre02.g075350.t1.2	CNK1
Cre02.g075350.t2.1	CNK1
Cre02.g075350.t3.1	CNK1
Cre02.g075700.t1.2	RPL19
Cre02.g076000.t1.2	LAT3
Cre02.g076250.t1.1	EFG1
Cre02.g076300.t1.1	UROD2
Cre02.g076350.t1.2	ATPVB
Cre02.g076400.t1.2	VPS25
Cre02.g076663.t1.2	CSB12
Cre02.g076750.t1.1	NUOAF1
Cre02.g076800.t1.2	ERG4
Cre02.g076900.t1.1	FAP19
Cre02.g076950.t1.1	SUB4
Cre02.g077100.t1.2	GSH1
Cre02.g077150.t1.1	CPLD14
Cre02.g077300.t1.2	NOP1
Cre02.g077350.t1.2	HDH1
Cre02.g077500.t1.2	TRS23
Cre02.g077550.t1.2	PHC62
Cre02.g077550.t2.1	PHC62
Cre02.g077600.t1.2	FAP51
Cre02.g077750.t1.2	FAP211
Cre02.g077800.t1.2	FAP310
Cre02.g077850.t1.2	FAP212
Cre02.g078050.t1.2	CAM5
Cre02.g078100.t1.1	EIF5B1
Cre02.g078300.t1.1	GPX1
Cre02.g078550.t1.2	FAP210
Cre02.g078600.t1.2	RSP8
Cre02.g078750.t1.1	PUS3
Cre02.g078777.t1.1	PHC16
Cre02.g078804.t1.1	PHC40
Cre02.g078858.t1.1	PSN1
Cre02.g078950.t1.1	MMP17
Cre02.g078966.t1.1	FTSH9
Cre02.g079050.t1.1	DGTT5
Cre02.g079300.t1.2	VPS4
Cre02.g079550.t1.2	DRP2
Cre02.g079600.t1.2	TSF2
Cre02.g079700.t1.2	PYR2
Cre02.g079750.t1.1	HKR1
Cre02.g079800.t1.2	ASA6
Cre02.g079850.t1.1	POLK1
Cre02.g079926.t1.1	PHC64
Cre02.g080200.t1.2	TRK1
Cre02.g080250.t1.2	YLMG1	YGG1
Cre02.g080550.t1.1	PDE26
Cre02.g080600.t1.2	BIP2
Cre02.g080650.t1.2	HSP90B
Cre02.g080700.t1.2	BIP1
Cre02.g080850.t1.2	CYN47
Cre02.g080900.t1.2	PRX4
Cre02.g081000.t1.2	EXN4
Cre02.g081050.t1.2	FAP24
Cre02.g081400.t1.2	BCA1
Cre02.g081450.t1.2	CGL123
Cre02.g081600.t1.1	PFH8
Cre02.g081700.t1.1	PHC66
Cre02.g082000.t1.2	AGE1
Cre02.g082200.t1.1	HSK1
Cre02.g082250.t1.1	HSK2
Cre02.g082300.t1.2	SUR6
Cre02.g082350.t1.1	CUTA1
Cre02.g082350.t2.1	CUTA1
Cre02.g082500.t1.1	PSAN
Cre02.g082550.t1.2	ZEP1
Cre02.g082700.t1.2	COX15
Cre02.g082750.t1.2	PSBX
Cre02.g082825.t1.1	TSS1
Cre02.g083100.t1.2	PRL1
Cre02.g083700.t1.1	LSP1
Cre02.g083750.t1.1	ROC75
Cre02.g083750.t2.1	ROC75
Cre02.g083800.t1.2	RHM2
Cre02.g083800.t2.1	RHM2
Cre02.g083900.t1.1	EXN5
Cre02.g083900.t2.1	EXN5
Cre02.g083950.t1.1	PSRP3
Cre02.g084050.t1.2	SEC62
Cre02.g084300.t1.2	COQ5C	COQ5
Cre02.g084350.t1.2	CGLD1
Cre02.g084400.t1.2	PFH9
Cre02.g084450.t1.2	PFH10
Cre02.g084500.t1.1	CGL134
Cre02.g084800.t1.2	SPO11A
Cre02.g084950.t1.2	GUK1	CYG71
Cre02.g085100.t1.2	CYG59
Cre02.g085257.t1.2	COP4
Cre02.g085400.t1.1	CSC1
Cre02.g085450.t1.2	CPX1
Cre02.g085850.t1.1	ARS6
Cre02.g085900.t1.2	IPP1
Cre02.g086000.t1.1	ARS8
Cre02.g086050.t1.1	PUS4
Cre02.g086100.t1.2	CGL40
Cre02.g086500.t1.2	PGM10
Cre02.g086550.t1.1	CGL122
Cre02.g086650.t1.2	SMC2
Cre02.g086700.t1.2	COG7
Cre02.g087700.t1.2	APX1
Cre02.g087800.t1.1	PTK10
Cre02.g087850.t1.1	PTK19
Cre02.g087950.t1.2	TSM1
Cre02.g088000.t1.2	PHB1
Cre02.g088050.t1.2	RPP30
Cre02.g088200.t1.2	RB60
Cre02.g088250.t1.2	MCT2
Cre02.g088300.t1.1	CPK6
Cre02.g088400.t1.2	DEG1	DEG1A
Cre02.g088400.t2.1	DEG1	DEG1A
Cre02.g088450.t1.1	CPLD29
Cre02.g088500.t1.1	CPLD29
Cre02.g088600.t1.2	ACLB1
Cre02.g088750.t1.2	ATR2
Cre02.g088850.t1.2	RFS2
Cre02.g088900.t1.2	PRPL1
Cre02.g089100.t1.2	COPD1
Cre02.g089200.t1.2	HLM4
Cre02.g089400.t1.1	HRP2
Cre02.g089450.t1.2	HRP5
Cre02.g089600.t1.1	XPD2
Cre02.g089900.t1.2	SCAMP5
Cre02.g089950.t1.2	IFT20
Cre02.g090050.t1.1	FAP170
Cre02.g090150.t1.2	PAN3	PANC1
Cre02.g090500.t1.1	HEL10
Cre02.g090550.t1.1	ARS9
Cre02.g090650.t1.1	SEC20
Cre02.g090700.t1.1	MAPKKK8
Cre02.g090850.t1.1	CLPB3
Cre02.g090900.t1.1	MCP9
Cre02.g090900.t2.1	MCP9
Cre02.g091050.t1.2	ALAD
Cre02.g091100.t1.2	RPL15
Cre02.g091150.t1.1	SEC24A
Cre02.g091400.t1.1	CLPB2
Cre02.g091550.t1.2	WHI
Cre02.g091700.t1.2	RIB72
Cre02.g091900.t1.1	FAP301
Cre02.g091950.t1.1	CYG45
Cre02.g092000.t1.1	DEG2
Cre02.g092050.t1.1	MCP6
Cre02.g092150.t1.2	CSL
Cre02.g092250.t1.2	FKB42
Cre02.g092350.t1.2	CYP51G1
Cre02.g092500.t1.1	UPF1
Cre02.g092550.t1.1	TPR1
Cre02.g092600.t1.2	CPX2
Cre02.g092700.t1.2	FAP45
Cre02.g092750.t1.1	SSA18
Cre02.g092800.t1.2	FAP136
Cre02.g092850.t1.2	DLU1
Cre02.g092900.t1.2	GUA1
Cre02.g093450.t1.2	FBA2
Cre02.g093500.t1.2	SSD1
Cre02.g093500.t2.1	SSD1
Cre02.g093550.t1.1	CYG44
Cre02.g093600.t1.2	TEH3
Cre02.g093750.t1.2	NRX2
Cre02.g093800.t1.2	NRX3
Cre02.g093800.t2.1	NRX3
Cre02.g094050.t1.1	PIGO
Cre02.g094100.t1.2	NRX1
Cre02.g094150.t1.2	HKR2
Cre02.g094300.t1.2	FUO1
Cre02.g094450.t1.2	PHC38
Cre02.g095000.t1.2	PLA2
Cre02.g095057.t1.1	CSB13
Cre02.g095070.t1.1	SRP19
Cre02.g095072.t1.1	FAP144
Cre02.g095074.t1.1	VPS11
Cre02.g095076.t1.1	MFT10
Cre02.g095092.t1.1	PSY1
Cre02.g095095.t1.1	PHC12
Cre02.g095097.t1.1	FKB21
Cre02.g095097.t2.1	FKB21
Cre02.g095100.t1.1	CPLD26
Cre02.g095102.t1.1	VPS5C
Cre02.g095110.t1.1	FAP255
Cre02.g095110.t2.1	FAP255
Cre02.g095113.t1.1	TFC-E
Cre02.g095120.t1.1	ANK18
Cre02.g095120.t2.1	ANK18
Cre02.g095121.t1.1	PUS9
Cre02.g095122.t1.1	FKB16-8
Cre02.g095126.t1.1	DPE2
Cre02.g095147.t1.1	ALG2
Cre02.g095149.t1.1	FAP143
Cre02.g095350.t1.1	CGL116
Cre02.g095450.t1.2	FKB16-6
Cre02.g095750.t1.2	ZEP1
Cre02.g095900.t1.2	ROC114
Cre02.g096150.t1.2	MSD1
Cre02.g096250.t1.2	FMO9
Cre02.g096300.t1.1	CCM1
Cre02.g096300.t2.1	CCM1
Cre02.g096350.t1.1	DAO1
Cre02.g096900.t1.2	TIE1
Cre02.g097000.t1.2	DHP1
Cre02.g097150.t1.2	AGG5
Cre02.g097200.t1.1	SRR14
Cre02.g097400.t1.2	EIF5A
Cre02.g097650.t1.2	RPN6
Cre02.g097800.t1.1	HLA3
Cre02.g097900.t1.2	AST3
Cre02.g098000.t1.2	EBM2
Cre02.g098150.t1.2	XYK1
Cre02.g098200.t1.1	CGL103	PRT1
Cre02.g098450.t1.2	EIF2G
Cre02.g098850.t1.1	NTR2
Cre02.g098950.t1.2	SYP72
Cre02.g099000.t1.2	SYP71
Cre02.g099050.t1.1	SRR30
Cre02.g099150.t1.2	SNAPA1
Cre02.g099300.t1.2	ANK21
Cre02.g099350.t1.1	SRR8
Cre02.g099400.t1.1	ELG31
Cre02.g099500.t1.1	CVL1
Cre02.g099500.t2.1	CVL1
Cre02.g099850.t1.1	PDC2
Cre02.g100000.t1.2	RFA2
Cre02.g100050.t1.2	PFH11
Cre02.g100200.t1.2	NUOP3
Cre02.g100450.t1.1	CYG20
Cre02.g100500.t1.1	CYG22
Cre02.g100500.t2.1	CYG22
Cre02.g100876.t1.1	CSB14
Cre02.g101000.t1.1	URK1
Cre02.g101350.t1.2	RPL10A
Cre02.g101400.t1.2	CHC1
Cre02.g101500.t1.2	MRS1
Cre02.g101900.t1.1	EXN6
Cre02.g102000.t1.2	ARL5
Cre02.g102050.t1.1	FAP328
Cre02.g102250.t1.2	RPS3
Cre02.g102350.t1.2	ATG3
Cre02.g102400.t1.2	RPC1
Cre02.g102500.t1.1	RAD51C
Cre02.g102551.t1.1	CSV1
Cre02.g102800.t1.2	RPB8
Cre02.g103250.t1.1	MRP5
Cre02.g103300.t1.1	CSE16
Cre02.g103400.t1.2	OPR118
Cre02.g103550.t1.2	EIF1A
Cre02.g103850.t1.2	HIS3
Cre02.g103900.t1.1	MAPKKK11
Cre02.g103950.t1.2	MIA1	FAP100
Cre02.g104350.t1.2	PDI5
Cre02.g104350.t2.1	PDI5
Cre02.g104500.t1.1	CDJ4
Cre02.g104800.t1.1	HTV1
Cre02.g104900.t1.2	FAP204
Cre02.g105300.t1.1	FAP231
Cre02.g105400.t1.1	CDC14
Cre02.g105450.t1.1	CGL141
Cre02.g105500.t1.2	AOD1
Cre02.g105600.t1.1	EYE3
Cre02.g105600.t2.1	EYE3
Cre02.g105950.t1.2	FAP174
Cre02.g106150.t1.2	CYN18-1
Cre02.g106250.t1.2	LAL2
Cre02.g106350.t1.2	CGL68
Cre02.g106400.t1.1	PDAT1
Cre02.g106500.t1.2	DIPP
Cre02.g106600.t1.2	RPS19
Cre02.g106700.t1.1	OPR4
Cre02.g106750.t1.2	MRPS9
Cre02.g106850.t1.2	TPR6
Cre02.g107050.t1.1	DHC5
Cre02.g107300.t1.2	DPS1
Cre02.g107350.t1.1	DHC4
Cre02.g107450.t1.2	ATS2
Cre02.g107550.t1.2	CVL2
Cre02.g107550.t2.1	CVL2
Cre02.g107600.t1.2	GAK
Cre02.g107750.t1.2	PCD1
Cre02.g107800.t1.1	CNK9
Cre02.g107850.t1.2	MOB1
Cre02.g108200.t1.1	CGL80
Cre02.g108400.t1.2	DAD1
Cre02.g108450.t1.2	FAP280
Cre02.g108550.t1.1	AOC3
Cre02.g108800.t1.1	DNJ26
Cre02.g108850.t1.2	PRPL17
Cre02.g108900.t1.2	CAM6
