proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Keratan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
150	2.4.1.-	Hexosyltransferases.	\N	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
151	1.6.1.2	NAD(P)(+) transhydrogenase (AB-specific).	NADPH + NAD(+) = NADP(+) + NADH.	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
160	2.6.1.52	Phosphoserine aminotransferase.	O-phospho-L-serine + 2-oxoglutarate = 3-phosphonooxypyruvate + L-glutamate.	Pyridoxal-phosphate.	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
160	2.6.1.52	Phosphoserine aminotransferase.	O-phospho-L-serine + 2-oxoglutarate = 3-phosphonooxypyruvate + L-glutamate.	Pyridoxal-phosphate.	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
163	6.3.2.25	Tubulin--tyrosine ligase.	ATP + detyrosinated alpha-tubulin + L-tyrosine = alpha-tubulin + ADP + phosphate.	\N	\N	\N	\N	\N
166	3.4.11.18	Methionyl aminopeptidase.	Release of N-terminal amino acids, preferentially methionine, from peptides and arylamides.	Cobalt.	\N	\N	\N	\N
180	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.	\N	\N	\N	\N	\N
182	4.2.1.76	UDP-glucose 4,6-dehydratase.	UDP-glucose = UDP-4-dehydro-6-deoxy-D-glucose + H(2)O.	\N	\N	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC
184	3.1.13.4	Poly(A)-specific ribonuclease.	Exonucleolytic cleavage of poly(A) to 5prime-AMP.	\N	\N	\N	\N	\N
214	6.1.1.16	Cysteine--tRNA ligase.	ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl- tRNA(Cys).	\N	\N	Cysteine metabolism	Amino Acid Metabolism	METABOLIC
214	6.1.1.16	Cysteine--tRNA ligase.	ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl- tRNA(Cys).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
224	1.8.1.4	Dihydrolipoamide dehydrogenase.	Dihydrolipoamide + NAD(+) = lipoamide + NADH.	FAD.	Congenital infantile lactic acidosis; MIM:246900.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
224	1.8.1.4	Dihydrolipoamide dehydrogenase.	Dihydrolipoamide + NAD(+) = lipoamide + NADH.	FAD.	Congenital infantile lactic acidosis; MIM:246900.	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
224	1.8.1.4	Dihydrolipoamide dehydrogenase.	Dihydrolipoamide + NAD(+) = lipoamide + NADH.	FAD.	Congenital infantile lactic acidosis; MIM:246900.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
224	1.8.1.4	Dihydrolipoamide dehydrogenase.	Dihydrolipoamide + NAD(+) = lipoamide + NADH.	FAD.	Congenital infantile lactic acidosis; MIM:246900.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
235	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
235	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
235	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
235	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
235	1.1.1.21	Aldehyde reductase.	Alditol + NAD(P)(+) = aldose + NAD(P)H.	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
240	3.1.1.23	Acylglycerol lipase.	Hydrolyses glycerol monoesters of long-chain fatty acids.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
241	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
241	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	  DNA polymerase	REPLICATION AND REPAIR	REGULATORY
241	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Thiamine metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
243	3.1.3.-	Phosphoric monoester hydrolases.	\N	\N	\N	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
244	2.4.1.131	Glycolipid 2-alpha-mannosyltransferase.	Transfers an alpha-D-mannosyl residue from GDP-mannose into lipid-linked oligosaccharide, forming an alpha-1,2-D-mannosyl-D-mannose linkage.	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
246	1.14.11.-	With 2-oxoglutarate as one donor, and incorporation of one	\N	\N	\N	\N	\N	\N
254	1.3.1.21	7-dehydrocholesterol reductase.	Cholesterol + NADP(+) = cholesta-5,7-dien-3-beta-ol + NADPH.	\N	\N	Sterol biosynthesis	Lipid Metabolism	METABOLIC
257	1.3.3.6	Acyl-CoA oxidase.	Acyl-CoA + O(2) = trans-2,3-dehydroacyl-CoA + H(2)O(2).	FAD.	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC
258	2.7.1.68	1-phosphatidylinositol-4-phosphate kinase.	ATP + 1-phosphatidyl-1D-myo-inositol 4-monophosphate = ADP + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate.	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
260	1.5.1.2	Pyrroline-5-carboxylate reductase.	L-proline + NAD(P)(+) = 1-pyrroline-5-carboxylate + NAD(P)H.	\N	\N	Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
260	1.5.1.2	Pyrroline-5-carboxylate reductase.	L-proline + NAD(P)(+) = 1-pyrroline-5-carboxylate + NAD(P)H.	\N	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
263	3.6.3.29	Molybdate-transporting ATPase.	ATP + H(2)O + molybdate(Out) = ADP + phosphate + molybdate(In).	\N	\N	\N	\N	\N
267	1.1.1.65	Pyridoxine 4-dehydrogenase.	Pyridoxine + NADP(+) = pyridoxal + NADPH.	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
268	6.1.1.22	Asparagine--tRNA ligase.	ATP + L-asparagine + tRNA(Asn) = AMP + diphosphate + L-asparaginyl- tRNA(Asn).	\N	\N	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
268	6.1.1.22	Asparagine--tRNA ligase.	ATP + L-asparagine + tRNA(Asn) = AMP + diphosphate + L-asparaginyl- tRNA(Asn).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
273	3.1.-.-	Acting on ester bonds.	\N	\N	\N	\N	\N	\N
292	3.4.11.9	Xaa-Pro aminopeptidase.	Release of any N-terminal amino acid, including proline, that is linked with proline, even from a dipeptide or tripeptide.	Manganese or Cobalt.	\N	\N	\N	\N
301	1.7.3.3	Urate oxidase.	Urate + O(2) + H(2)O = 5-hydroxyisourate + H(2)O(2).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
305	3.5.99.6	Glucosamine-6-phosphate deaminase.	D-glucosamine 6-phosphate + H(2)O = D-fructose 6-phosphate + NH(3).	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
308	3.4.24.64	Mitochondrial processing peptidase.	Release of N-terminal transit peptides from precursor proteins imported into the mitochondrion, typically with Arg in position P2.	Zinc.	\N	\N	\N	\N
310	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.	\N	\N	\N	\N	\N
311	2.8.2.1	Aryl sulfotransferase.	3prime-phosphoadenylylsulfate + a phenol = adenosine 3prime,5prime-bisphosphate + an aryl sulfate.	\N	\N	Sulfur metabolism	Energy Metabolism	METABOLIC
313	3.1.3.36	Phosphatidylinositol-bisphosphatase.	Phosphatidyl-myo-inositol 4,5-bisphosphate + H(2)O = phosphatidylinositol 4-phosphate + phosphate.	\N	\N	\N	\N	\N
316	3.6.3.16	Arsenite-transporting ATPase.	ATP + H(2)O + arsenite(In) = ADP + phosphate + arsenite(Out).	\N	\N	\N	\N	\N
317	6.5.1.2	DNA ligase (NAD+).	NAD(+) + {deoxyribonucleotide}(N) + {deoxyribonucleotide}(M) = AMP + nicotinamide nucleotide + {deoxyribonucleotide}(N+M).	\N	\N	\N	\N	\N
323	1.1.3.15	(S)-2-hydroxy-acid oxidase.	(S)-2-hydroxy-acid + O(2) = 2-oxo acid + H(2)O(2).	FMN.	\N	Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
324	3.4.24.-	Metalloendopeptidases.	\N	\N	\N	\N	\N	\N
325	2.4.1.83	Dolichyl-phosphate beta-D-mannosyltransferase.	GDP-mannose + dolichyl phosphate = GDP + dolichyl D-mannosyl phosphate.	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
326	3.6.3.8	Calcium-transporting ATPase.	ATP + H(2)O + Ca(2+)(Cis) = ADP + phosphate + Ca(2+)(Trans).	Magnesium.	Darier disease; MIM:124200. Benign chronic pemphigus; MIM:169600.	\N	\N	\N
331	3.2.2.16	Methylthioadenosine nucleosidase.	Methylthioadenosine + H(2)O = adenine + 5-methylthio-D-ribose.	\N	\N	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
334	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
334	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
334	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
334	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC
337	3.4.24.64	Mitochondrial processing peptidase.	Release of N-terminal transit peptides from precursor proteins imported into the mitochondrion, typically with Arg in position P2.	Zinc.	\N	\N	\N	\N
341	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.	\N	Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
341	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.	\N	Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
341	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.	\N	Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
348	3.6.1.19	Nucleoside-triphosphate pyrophosphatase.	A nucleoside triphosphate + H(2)O = a nucleotide + diphosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
348	3.6.1.19	Nucleoside-triphosphate pyrophosphatase.	A nucleoside triphosphate + H(2)O = a nucleotide + diphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
354	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	  RNA polymerase	TRANSCRIPTION	REGULATORY
354	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
354	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
360	2.3.1.48	Histone acetyltransferase.	Acetyl-CoA + histone = CoA + acetyl-histone.	\N	\N	\N	\N	\N
364	1.1.1.205	IMP dehydrogenase.	Inosine 5prime-phosphate + NAD(+) + H(2)O = xanthosine 5prime-phosphate + NADH.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
372	6.3.1.2	Glutamate--ammonia ligase.	ATP + L-glutamate + NH(3) = ADP + phosphate + L-glutamine.	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
372	6.3.1.2	Glutamate--ammonia ligase.	ATP + L-glutamate + NH(3) = ADP + phosphate + L-glutamine.	\N	\N	Nitrogen metabolism	Energy Metabolism	METABOLIC
372	6.3.1.2	Glutamate--ammonia ligase.	ATP + L-glutamate + NH(3) = ADP + phosphate + L-glutamine.	\N	\N	Glutamate metabolism	Amino Acid Metabolism	METABOLIC
384	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	ATP synthesis	Energy Metabolism	METABOLIC
384	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Flagellar assembly	\N	\N
384	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Type III secretion system	SORTING AND DEGRADATION	REGULATORY
397	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
403	3.6.-.-	Acting on acid anhydrides.	\N	\N	\N	\N	\N	\N
409	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
416	6.3.5.3	Phosphoribosylformylglycinamidine synthase.	ATP + 5prime-phosphoribosylformylglycinamide + L-glutamine + H(2)O = ADP + phosphate + 5prime-phosphoribosylformylglycinamidine + L-glutamate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
418	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
418	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Reductive carboxylate cycle (CO2 fixation)	Energy Metabolism	METABOLIC
418	4.2.1.3	Aconitate hydratase.	Citrate = cis-aconitate + H(2)O.	Iron-sulfur.	\N	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
419	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.	\N	\N	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
421	4.2.1.2	Fumarate hydratase.	(S)-malate = fumarate + H(2)O.	\N	Fumarase deficiency; MIM:136850.	Reductive carboxylate cycle (CO2 fixation)	Energy Metabolism	METABOLIC
421	4.2.1.2	Fumarate hydratase.	(S)-malate = fumarate + H(2)O.	\N	Fumarase deficiency; MIM:136850.	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
424	5.3.1.8	Mannose-6-phosphate isomerase.	D-mannose 6-phosphate = D-fructose 6-phosphate.	Zinc.	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
425	2.1.1.-	Methyltransferases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
436	5.4.99.12	tRNA-pseudouridine synthase I.	tRNA uridine = tRNA pseudouridine.	\N	\N	\N	\N	\N
437	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
437	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Ethylbenzene degradation	Biodegradation of Xenobiotics	METABOLIC
445	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
449	3.6.3.29	Molybdate-transporting ATPase.	ATP + H(2)O + molybdate(Out) = ADP + phosphate + molybdate(In).	\N	\N	\N	\N	\N
466	2.7.7.41	Phosphatidate cytidylyltransferase.	CTP + phosphatidate = diphosphate + CDP-diacylglycerol.	\N	\N	\N	\N	\N
466	2.7.7.41	Phosphatidate cytidylyltransferase.	CTP + phosphatidate = diphosphate + CDP-diacylglycerol.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
467	4.4.1.17	Holocytochrome-c synthase.	Holocytochrome c = apocytochrome c + heme.	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
477	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
477	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
477	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
