proteinId	gotermId	goName	gotermType	goAcc
115	17803	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042283
115	17801	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042281
115	16390	dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0033556
115	14119	alpha-1,2-galactosyltransferase activity	molecular_function	GO:0031278
115	11466	beta-1,4-mannosyltransferase activity	molecular_function	GO:0019187
115	11396	phenanthrol glycosyltransferase activity	molecular_function	GO:0019112
115	11020	1,2-dihydroxy-phenanthrene glycosyltransferase activity	molecular_function	GO:0018718
115	11019	9-phenanthrol glycosyltransferase activity	molecular_function	GO:0018717
115	11018	1-phenanthrol glycosyltransferase activity	molecular_function	GO:0018716
115	11017	9-phenanthrol UDP-glucuronosyltransferase activity	molecular_function	GO:0018715
115	9958	cellulose synthase activity	molecular_function	GO:0016759
115	9532	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	GO:0016253
115	6535	lipopolysaccharide-1,6-galactosyltransferase activity	molecular_function	GO:0008921
115	6376	O antigen polymerase activity	molecular_function	GO:0008755
115	6077	fucosyltransferase activity	molecular_function	GO:0008417
115	6042	galactosyltransferase activity	molecular_function	GO:0008378
115	6040	acetylgalactosaminyltransferase activity	molecular_function	GO:0008376
115	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
115	2959	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular_function	GO:0004583
115	2953	oligosaccharyl transferase activity	molecular_function	GO:0004576
115	2782	glycolipid mannosyltransferase activity	molecular_function	GO:0004376
115	2430	UDP-glucose:glycoprotein glucosyltransferase activity	molecular_function	GO:0003980
115	1170	alpha-1,3-galactosyltransferase activity	molecular_function	GO:0001962
115	48	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033
115	45	mannosyltransferase activity	molecular_function	GO:0000030
115	42	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026
115	24	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009
117	2290	catalytic activity	molecular_function	GO:0003824
120	4851	aromatic compound metabolic process	biological_process	GO:0006725
120	4283	electron transport	biological_process	GO:0006118
120	2888	monooxygenase activity	molecular_function	GO:0004497
120	9710	oxidoreductase activity	molecular_function	GO:0016491
120	5830	metabolic process	biological_process	GO:0008152
120	10968	phenol 2-monooxygenase activity	molecular_function	GO:0018662
122	2176	DNA binding	molecular_function	GO:0003677
123	5905	peptidase activity	molecular_function	GO:0008233
123	4639	proteolysis	biological_process	GO:0006508
124	3737	GTP binding	molecular_function	GO:0005525
124	2378	GTPase activity	molecular_function	GO:0003924
125	3708	binding	molecular_function	GO:0005488
126	3708	binding	molecular_function	GO:0005488
127	3708	binding	molecular_function	GO:0005488
128	3708	binding	molecular_function	GO:0005488
129	4262	glyoxylate cycle	biological_process	GO:0006097
129	2866	malate synthase activity	molecular_function	GO:0004474
129	2290	catalytic activity	molecular_function	GO:0003824
133	12251	heme binding	molecular_function	GO:0020037
133	4283	electron transport	biological_process	GO:0006118
133	3721	iron ion binding	molecular_function	GO:0005506
133	2888	monooxygenase activity	molecular_function	GO:0004497
133	19287	spheroidene monooxygenase activity	molecular_function	GO:0043823
133	10906	alpha-pinene dehydrogenase activity	molecular_function	GO:0018600
133	10905	2-hydroxyisobutyrate 3-monooxygenase activity	molecular_function	GO:0018599
133	10904	hydroxymethylsilanetriol oxidase activity	molecular_function	GO:0018598
133	10903	ammonia monooxygenase activity	molecular_function	GO:0018597
133	10902	dimethylsilanediol hydroxylase activity	molecular_function	GO:0018596
133	10901	alpha-pinene monooxygenase activity	molecular_function	GO:0018595
133	10900	tert-butyl alcohol 2-monooxygenase activity	molecular_function	GO:0018594
133	10899	4-chlorophenoxyacetate monooxygenase activity	molecular_function	GO:0018593
133	10898	4-nitrocatechol 4-monooxygenase activity	molecular_function	GO:0018592
133	10897	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	GO:0018591
133	10896	methylsilanetriol hydroxylase activity	molecular_function	GO:0018590
133	10895	di-n-butyltin dioxygenase activity	molecular_function	GO:0018589
133	10894	tri-n-butyltin dioxygenase activity	molecular_function	GO:0018588
133	10893	limonene 8-monooxygenase activity	molecular_function	GO:0018587
133	10892	mono-butyltin dioxygenase activity	molecular_function	GO:0018586
133	10891	fluorene oxygenase activity	molecular_function	GO:0018585
135	3838	nucleus	cellular_component	GO:0005634
135	13635	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity	molecular_function	GO:0030785
136	9977	nucleotidyltransferase activity	molecular_function	GO:0016779
136	5830	metabolic process	biological_process	GO:0008152
136	2431	UTP:glucose-1-phosphate uridylyltransferase activity	molecular_function	GO:0003983
139	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
139	4024	proteasome core complex	cellular_component	GO:0005839
139	2706	threonine endopeptidase activity	molecular_function	GO:0004298
140	5939	zinc ion binding	molecular_function	GO:0008270
144	4598	protein modification process	biological_process	GO:0006464
145	4598	protein modification process	biological_process	GO:0006464
146	3708	binding	molecular_function	GO:0005488
147	9320	membrane	cellular_component	GO:0016020
147	4994	intracellular protein transport	biological_process	GO:0006886
147	3706	SNAP receptor activity	molecular_function	GO:0005484
147	9480	vesicle-mediated transport	biological_process	GO:0016192
147	3727	protein binding	molecular_function	GO:0005515
148	9985	hydrolase activity	molecular_function	GO:0016787
148	5907	metalloexopeptidase activity	molecular_function	GO:0008235
148	4639	proteolysis	biological_process	GO:0006508
148	6110	X-Pro aminopeptidase activity	molecular_function	GO:0008451
150	21343	alpha(1,6)-fucosyltransferase activity	molecular_function	GO:0046921
150	21342	alpha(1,3)-fucosyltransferase activity	molecular_function	GO:0046920
150	20962	glucosyltransferase activity	molecular_function	GO:0046527
150	19616	inositol phosphoceramide synthase activity	molecular_function	GO:0045140
150	17803	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042283
150	17801	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042281
150	16390	dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0033556
150	14119	alpha-1,2-galactosyltransferase activity	molecular_function	GO:0031278
150	11466	beta-1,4-mannosyltransferase activity	molecular_function	GO:0019187
150	11396	phenanthrol glycosyltransferase activity	molecular_function	GO:0019112
150	11020	1,2-dihydroxy-phenanthrene glycosyltransferase activity	molecular_function	GO:0018718
150	11019	9-phenanthrol glycosyltransferase activity	molecular_function	GO:0018717
150	11018	1-phenanthrol glycosyltransferase activity	molecular_function	GO:0018716
150	11017	9-phenanthrol UDP-glucuronosyltransferase activity	molecular_function	GO:0018715
150	9958	cellulose synthase activity	molecular_function	GO:0016759
150	9532	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	GO:0016253
150	6535	lipopolysaccharide-1,6-galactosyltransferase activity	molecular_function	GO:0008921
150	6376	O antigen polymerase activity	molecular_function	GO:0008755
150	6077	fucosyltransferase activity	molecular_function	GO:0008417
150	6042	galactosyltransferase activity	molecular_function	GO:0008378
150	6040	acetylgalactosaminyltransferase activity	molecular_function	GO:0008376
150	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
150	2959	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular_function	GO:0004583
150	2953	oligosaccharyl transferase activity	molecular_function	GO:0004576
150	2782	glycolipid mannosyltransferase activity	molecular_function	GO:0004376
150	2430	UDP-glucose:glycoprotein glucosyltransferase activity	molecular_function	GO:0003980
150	1170	alpha-1,3-galactosyltransferase activity	molecular_function	GO:0001962
150	48	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033
150	45	mannosyltransferase activity	molecular_function	GO:0000030
150	42	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026
150	24	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009
151	9710	oxidoreductase activity	molecular_function	GO:0016491
151	4283	electron transport	biological_process	GO:0006118
151	23920	NADP binding	molecular_function	GO:0050661
151	9321	integral to membrane	cellular_component	GO:0016021
151	6880	1-2nm peptidoglycan-based cell wall	cellular_component	GO:0009276
151	6371	NAD(P)+ transhydrogenase (AB-specific) activity	molecular_function	GO:0008750
151	6368	NAD(P) transhydrogenase activity	molecular_function	GO:0008746
155	15147	regulation of ARF GTPase activity	biological_process	GO:0032312
155	5939	zinc ion binding	molecular_function	GO:0008270
155	5746	ARF GTPase activator activity	molecular_function	GO:0008060
156	13917	heat shock protein binding	molecular_function	GO:0031072
156	24336	unfolded protein binding	molecular_function	GO:0051082
156	4591	protein folding	biological_process	GO:0006457
159	5939	zinc ion binding	molecular_function	GO:0008270
159	2175	nucleic acid binding	molecular_function	GO:0003676
159	4758	lipid metabolic process	biological_process	GO:0006629
159	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
160	9805	amino acid binding	molecular_function	GO:0016597
160	5830	metabolic process	biological_process	GO:0008152
160	24535	NAD binding	molecular_function	GO:0051287
160	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
160	22441	cofactor binding	molecular_function	GO:0048037
160	4694	L-serine biosynthetic process	biological_process	GO:0006564
160	2991	phosphoglycerate dehydrogenase activity	molecular_function	GO:0004617
160	6667	biosynthetic process	biological_process	GO:0009058
160	3021	phosphoserine transaminase activity	molecular_function	GO:0004648
161	3736	ATP binding	molecular_function	GO:0005524
161	2176	DNA binding	molecular_function	GO:0003677
161	2792	helicase activity	molecular_function	GO:0004386
161	2175	nucleic acid binding	molecular_function	GO:0003676
162	17271	phosphoinositide binding	molecular_function	GO:0035091
162	5239	cell communication	biological_process	GO:0007154
162	3727	protein binding	molecular_function	GO:0005515
163	4598	protein modification process	biological_process	GO:0006464
163	3195	tubulin-tyrosine ligase activity	molecular_function	GO:0004835
164	2175	nucleic acid binding	molecular_function	GO:0003676
166	5907	metalloexopeptidase activity	molecular_function	GO:0008235
166	4639	proteolysis	biological_process	GO:0006508
166	2669	methionyl aminopeptidase activity	molecular_function	GO:0004239
168	19764	acyl-[acyl-carrier-protein] desaturase activity	molecular_function	GO:0045300
168	4760	fatty acid metabolic process	biological_process	GO:0006631
168	21336	transition metal ion binding	molecular_function	GO:0046914
168	9710	oxidoreductase activity	molecular_function	GO:0016491
170	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
170	157	two-component signal transduction system (phosphorelay)	biological_process	GO:0000160
170	155	two-component response regulator activity	molecular_function	GO:0000156
170	3736	ATP binding	molecular_function	GO:0005524
170	9320	membrane	cellular_component	GO:0016020
170	5250	signal transduction	biological_process	GO:0007165
170	154	two-component sensor activity	molecular_function	GO:0000155
170	9970	transferase activity, transferring phosphorus-containing groups	molecular_function	GO:0016772
170	9581	phosphorylation	biological_process	GO:0016310
170	10446	peptidyl-histidine phosphorylation	biological_process	GO:0018106
170	3044	protein histidine kinase activity	molecular_function	GO:0004673
170	3228	signal transducer activity	molecular_function	GO:0004871
171	9710	oxidoreductase activity	molecular_function	GO:0016491
171	5830	metabolic process	biological_process	GO:0008152
173	5830	metabolic process	biological_process	GO:0008152
173	2290	catalytic activity	molecular_function	GO:0003824
174	9710	oxidoreductase activity	molecular_function	GO:0016491
174	5830	metabolic process	biological_process	GO:0008152
175	9710	oxidoreductase activity	molecular_function	GO:0016491
175	5830	metabolic process	biological_process	GO:0008152
178	9320	membrane	cellular_component	GO:0016020
178	4618	protein amino acid glycosylation	biological_process	GO:0006486
178	2783	glycolipid 2-alpha-mannosyltransferase activity	molecular_function	GO:0004377
180	19912	cell redox homeostasis	biological_process	GO:0045454
180	8403	protein disulfide oxidoreductase activity	molecular_function	GO:0015035
180	6664	electron carrier activity	molecular_function	GO:0009055
180	4789	glycerol ether metabolic process	biological_process	GO:0006662
180	2234	protein disulfide isomerase activity	molecular_function	GO:0003756
182	23921	coenzyme binding	molecular_function	GO:0050662
182	19375	cellular metabolic process	biological_process	GO:0044237
182	2290	catalytic activity	molecular_function	GO:0003824
182	23638	UDP-glucose 4,6-dehydratase activity	molecular_function	GO:0050377
184	3838	nucleus	cellular_component	GO:0005634
184	2175	nucleic acid binding	molecular_function	GO:0003676
184	2925	poly(A)-specific ribonuclease activity	molecular_function	GO:0004535
187	19908	regulation of transcription	biological_process	GO:0045449
187	13391	transcription regulator activity	molecular_function	GO:0030528
187	3838	nucleus	cellular_component	GO:0005634
188	3708	binding	molecular_function	GO:0005488
192	3736	ATP binding	molecular_function	GO:0005524
193	5817	protein tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0008138
193	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
193	9988	phosphoric monoester hydrolase activity	molecular_function	GO:0016791
193	9582	dephosphorylation	biological_process	GO:0016311
193	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
195	9320	membrane	cellular_component	GO:0016020
195	4994	intracellular protein transport	biological_process	GO:0006886
195	3706	SNAP receptor activity	molecular_function	GO:0005484
195	9480	vesicle-mediated transport	biological_process	GO:0016192
195	3727	protein binding	molecular_function	GO:0005515
196	5830	metabolic process	biological_process	GO:0008152
196	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
196	13044	molybdenum ion binding	molecular_function	GO:0030151
196	2290	catalytic activity	molecular_function	GO:0003824
198	9985	hydrolase activity	molecular_function	GO:0016787
198	5939	zinc ion binding	molecular_function	GO:0008270
198	2290	catalytic activity	molecular_function	GO:0003824
199	5939	zinc ion binding	molecular_function	GO:0008270
202	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
202	3736	ATP binding	molecular_function	GO:0005524
202	2175	nucleic acid binding	molecular_function	GO:0003676
202	2792	helicase activity	molecular_function	GO:0004386
203	9985	hydrolase activity	molecular_function	GO:0016787
204	2175	nucleic acid binding	molecular_function	GO:0003676
208	3727	protein binding	molecular_function	GO:0005515
209	6579	phosphoglycolate phosphatase activity	molecular_function	GO:0008967
209	5830	metabolic process	biological_process	GO:0008152
214	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
214	4556	translation	biological_process	GO:0006412
214	3930	cytoplasm	cellular_component	GO:0005737
214	3736	ATP binding	molecular_function	GO:0005524
214	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
214	162	nucleotide binding	molecular_function	GO:0000166
214	4566	cysteinyl-tRNA aminoacylation	biological_process	GO:0006423
214	3177	cysteine-tRNA ligase activity	molecular_function	GO:0004817
217	5939	zinc ion binding	molecular_function	GO:0008270
217	2175	nucleic acid binding	molecular_function	GO:0003676
218	5939	zinc ion binding	molecular_function	GO:0008270
218	2175	nucleic acid binding	molecular_function	GO:0003676
224	23919	FAD binding	molecular_function	GO:0050660
224	9710	oxidoreductase activity	molecular_function	GO:0016491
224	19912	cell redox homeostasis	biological_process	GO:0045454
224	3930	cytoplasm	cellular_component	GO:0005737
224	2586	dihydrolipoyl dehydrogenase activity	molecular_function	GO:0004148
225	2176	DNA binding	molecular_function	GO:0003677
227	3724	calcium ion binding	molecular_function	GO:0005509
228	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
228	3737	GTP binding	molecular_function	GO:0005525
228	5250	signal transduction	biological_process	GO:0007165
228	5019	nucleocytoplasmic transport	biological_process	GO:0006913
228	4994	intracellular protein transport	biological_process	GO:0006886
228	3727	protein binding	molecular_function	GO:0005515
