pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
38236656	Cz01g00120	Cz01g00120.t1	Cz01g00120.t1	PF04836,PF05004	PTHR12354	KOG2842				AT1G27760.3	ATSAT32,SAT32	interferon-related developmental regulator family protein / IFRD protein family	Cre03.g202500.t1.2	g4270.t1,Cre03.g202500.t1.1	
38236924	Cz01g00130	Cz01g00130.t1	Cz01g00130.t1										Cre03.g198000.t1.2	g4101.t1,Cre03.g198000.t1.1,PPP15	
38236314	Cz01g00140	Cz01g00140.t1	Cz01g00140.t1	PF00481	PTHR13832,PTHR13832:SF332		3.1.3.16		GO:0003824,GO:0006470,GO:0004722	AT4G32950.1		Protein phosphatase 2C family protein	Cre03.g198000.t1.2	g4101.t1,Cre03.g198000.t1.1,PPP15	
38236943	Cz01g00150	Cz01g00150.t1	Cz01g00150.t1	PF05011	PTHR12849				GO:0016788,GO:0006397				Cre02.g146950.t1.1	g2521.t1,DBR1	RNA lariat debranching enzyme
38236625	Cz01g00160	Cz01g00160.t1	Cz01g00160.t1	PF05011	PTHR12849				GO:0016788,GO:0006397	AT4G31770.1	ATDBR1,DBR1	debranching enzyme 1	Cre02.g146950.t1.1	g2521.t1,DBR1	RNA lariat debranching enzyme
38237214	Cz01g00170	Cz01g00170.t1	Cz01g00170.t1	PF01388					GO:0003677				Cre03.g199100.t1.2	g4346.t1,Cre03.g199100.t1.1	
38236129	Cz01g00180	Cz01g00180.t1	Cz01g00180.t1		PTHR22091,PTHR22091:SF1			K16757					Cre03.g195450.t1.1	g4050.t1,POC11	Centriole proteome protein
38236365	Cz01g00190	Cz01g00190.t1	Cz01g00190.t1	PF00132	PTHR22572,PTHR22572:SF93					AT5G19485.1		transferases;nucleotidyltransferases	Cre03.g207825.t2.1	g4437.t1,Cre19.g755100.t2.1	Eukaryotic translation initiation factor 2B subunit 2, eIF-2B gamma subunit
38236981	Cz01g00200	Cz01g00200.t1	Cz01g00200.t1	PF00483	PTHR22572,PTHR22572:SF93			K03241	GO:0016779,GO:0009058	AT5G19485.1		transferases;nucleotidyltransferases	Cre03.g207825.t3.1	g4437.t3,Cre19.g755100.t3.1	Eukaryotic translation initiation factor 2B subunit 2, eIF-2B gamma subunit
38236825	Cz01g00210	Cz01g00210.t1	Cz01g00210.t1												
38236841	Cz01g00220	Cz01g00220.t1	Cz01g00220.t1	PF13180,PF00089	PTHR22939,PTHR22939:SF95		3.4.21.107		GO:0005515,GO:0006508,GO:0004252	AT5G27660.1		Trypsin family protein with PDZ domain	Cre12.g498500.t1.2	g12615.t1,Cre12.g498500.t1.1,DEG1C	DegP-type protease
38236850	Cz01g00230	Cz01g00230.t1	Cz01g00230.t1	PF00579	PTHR11946,PTHR11946:SF53	KOG2144	6.1.1.1	K01866	GO:0006418,GO:0005524,GO:0004812,GO:0000166	AT2G33840.1		Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial	Cre03.g145727.t1.1	g2951.t1,Cre01.g059850.t1.1,Cre01.g059850.t1.2	
38236204	Cz01g00240	Cz01g00240.t1	Cz01g00240.t1	PF13833						AT3G22930.1	CML11	calmodulin-like 11	Cre03.g205361.t1.1	g4414.t1,Cre19.g754100.t1.1,Cre19.g754100.t1.2	
38237141	Cz01g00250	Cz01g00250.t1	Cz01g00250.t1		PTHR37201,PTHR37201:SF1								Cre06.g248750.t1.1	g5572.t1	
38237326	Cz01g00260	Cz01g00260.t1	Cz01g00260.t1												
38237155	Cz01g00270	Cz01g00270.t1	Cz01g00270.t1		PTHR11315		3.4.19.9		GO:0008242,GO:0006541,GO:0003824	AT1G78660.2	ATGGH1,GGH1	gamma-glutamyl hydrolase 1	Cre06.g275050.t1.1	g6168.t1,GGH2	Gamma-glutamyl hydrolase
38236176	Cz01g00280	Cz01g00280.t1	Cz01g00280.t1		PTHR11315		3.4.19.9		GO:0008242,GO:0006541,GO:0003824	AT1G78670.1	ATGGH3,GGH3	gamma-glutamyl hydrolase 3	Cre06.g275050.t1.1	g6168.t1,GGH2	Gamma-glutamyl hydrolase
38237354	Cz01g00290	Cz01g00290.t1	Cz01g00290.t1	PF01490	PTHR22950,PTHR22950:SF246	KOG1303		K15015		AT2G39130.1		Transmembrane amino acid transporter family protein	Cre03.g168550.t1.1	g3468.t1,AOT3	Amino acid transporter
38237036	Cz01g00300	Cz01g00300.t1	Cz01g00300.t1	PF02410	PTHR21043,PTHR21043:SF1					AT3G12930.1		Lojap-related protein	Cre03.g205600.t1.2	g4200.t1,Cre03.g205600.t1.1	
38236280	Cz01g00310	Cz01g00310.t1	Cz01g00310.t1												
38236627	Cz01g01010	Cz01g01010.t1	Cz01g01010.t1		PTHR24098,PTHR24098:SF0					AT5G08390.1		Transducin/WD40 repeat-like superfamily protein	Cre03.g204150.t1.2	g4233.t1,Cre03.g204150.t1.1,FAP167	Intraflagellar transport protein 80
38236324	Cz01g01020	Cz01g01020.t1	Cz01g01020.t1	PF02826,PF05221	PTHR23420		3.3.1.1	K01251	GO:0055114,GO:0051287,GO:0006730,GO:0004013	AT4G13940.1	ATSAHH1,EMB1395,HOG1,MEE58,SAHH1	S-adenosyl-L-homocysteine hydrolase	Cre03.g204250.t1.2	g4230.t1,Cre03.g204250.t1.1	S-Adenosyl homocysteine hydrolase
38236441	Cz01g01030	Cz01g01030.t1	Cz01g01030.t1												
38236818	Cz01g01040	Cz01g01040.t1	Cz01g01040.t1										Cre03.g199200.t1.1	g4344.t1	
38236786	Cz01g01050	Cz01g01050.t1	Cz01g01050.t1										Cre03.g199200.t1.1	g4344.t1	
38237075	Cz01g01060	Cz01g01060.t1	Cz01g01060.t1										Cre03.g199950.t1.1	g4328.t1	
38236599	Cz01g01070	Cz01g01070.t1	Cz01g01070.t1	PF13499	PTHR10183	KOG0037				AT3G10300.3		Calcium-binding EF-hand family protein	Cre03.g200050.t1.2	g4326.t1,Cre03.g200050.t1.1,CAL1	
38237138	Cz01g01080	Cz01g01080.t1	Cz01g01080.t1	PF05391,PF00076	PTHR24012	KOG0128			GO:0003676	AT4G24270.2	EMB140	EMBRYO DEFECTIVE 140	Cre12.g546700.t1.1	g13621.t1	
38236588	Cz01g01090	Cz01g01090.t1	Cz01g01090.t1												
38237040	Cz01g01100	Cz01g01100.t1	Cz01g01100.t1												
38237337	Cz01g01110	Cz01g01110.t1	Cz01g01110.t1												
38236808	Cz01g01120	Cz01g01120.t1	Cz01g01120.t1												
38236938	Cz01g01130	Cz01g01130.t1	Cz01g01130.t1	PF09736	PTHR31809	KOG2654		K13106		AT1G31870.1			Cre01.g003487.t1.1	g82.t1	
38237153	Cz01g01140	Cz01g01140.t1	Cz01g01140.t1	PF13920,PF00271,PF00176	PTHR10799,PTHR10799:SF721	KOG1001	3.6.4.12		GO:0005524	AT5G43530.1		Helicase protein with RING/U-box domain	Cre03.g210625.t1.1	g4463.t1,Cre19.g756150.t1.1	
38236372	Cz01g01150	Cz01g01150.t1	Cz01g01150.t1		PTHR33443,PTHR33443:SF2					AT2G20310.1	RIN13	RPM1 interacting protein 13	Cre03.g210625.t1.1	g4463.t1,Cre19.g756150.t1.1	
38237232	Cz01g01160	Cz01g01160.t1	Cz01g01160.t1										Cre12.g511750.t1.2	g12314.t1,Cre12.g511750.t1.1	
38236400	Cz01g01170	Cz01g01170.t1	Cz01g01170.t1										Cre03.g199500.t1.2	g4338.t1,Cre03.g199500.t1.1	Flagellar Associated Protein
38236583	Cz01g01180	Cz01g01180.t1	Cz01g01180.t1												
38236596	Cz01g01190	Cz01g01190.t1	Cz01g01190.t1	PF13857,PF12796	PTHR24198	KOG4412				AT3G04710.3		ankyrin repeat family protein	Cre05.g245700.t1.1	g5220.t1,ANK25	Predicted protein with ankyrin repeats
38237037	Cz01g01200	Cz01g01200.t1	Cz01g01200.t1	PF02223	PTHR10344	KOG3327	2.7.4.9	K00943		AT5G59440.3	ATTMPK.1,ATTMPK.2,ZEU1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre03.g190750.t1.1	g3948.t1	
38236170	Cz01g01210	Cz01g01210.t1	Cz01g01210.t1	PF00271,PF00270	PTHR24031,PTHR24031:SF57		3.6.4.13	K13025	GO:0005524,GO:0003676	AT3G19760.1	EIF4A-III	eukaryotic initiation factor 4A-III	Cre03.g199647.t1.1	g4363.t1,Cre19.g751750.t1.1,Cre19.g751750.t1.2,EIF4A	Eukaryotic translation initiation factor 4A
38236900	Cz01g01220	Cz01g01220.t1	Cz01g01220.t1	PF01588,PF09334	PTHR11946,PTHR11946:SF86		6.1.1.10	K01874	GO:0000049,GO:0006418,GO:0005524,GO:0004812,GO:0000166	AT4G13780.1		methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative	Cre02.g087950.t1.2	g1636.t1,Cre02.g087950.t1.1,TSM1	
38236891	Cz01g01230	Cz01g01230.t1	Cz01g01230.t1												
38236532	Cz01g01240	Cz01g01240.t1	Cz01g01240.t1	PF07714,PF13426,PF00069	PTHR24351,PTHR24351:SF76	KOG0610	2.7.11.1		GO:0006468,GO:0004672,GO:0005524	AT5G58140.2	NPL1,PHOT2	phototropin 2	Cre03.g199000.t1.2	g4349.t1,Cre03.g199000.t1.1,PHT1,PHOT	Phototropin
38236231	Cz01g01250	Cz01g01250.t1	Cz01g01250.t1	PF08373	PTHR21228,PTHR21228:SF20					AT2G31890.1	ATRAP,RAP	RAP	Cre11.g467649.t1.1	g11580.t1,Cre18.g746250.t1.1,Cre18.g746250.t1.2	RAP-domain containing protein with FAST leucine-rich domain
38236386	Cz01g02010	Cz01g02010.t1	Cz01g02010.t1												
38236724	Cz01g02020	Cz01g02020.t1	Cz01g02020.t1	PF06983	PTHR33990,PTHR33990:SF2										
38236506	Cz01g02030	Cz01g02030.t1	Cz01g02030.t1	PF00929	PTHR12801		3.1.13.1	K18327		AT3G15080.1		Polynucleotidyl transferase, ribonuclease H-like superfamily protein	Cre11.g480060.t1.2	g11916.t1,Cre11.g480060.t1.1	
38236610	Cz01g02040	Cz01g02040.t1	Cz01g02040.t1	PF05548			3.4.24.38						Cre08.g376950.t1.1	g8878.t1,MMP14	Matrix metalloproteinase
38236337	Cz01g02050	Cz01g02050.t1	Cz01g02050.t1	PF01370	PTHR12126	KOG4288			GO:0050662,GO:0003824	AT5G10730.1		NAD(P)-binding Rossmann-fold superfamily protein	Cre03.g199150.t1.2	g4345.t1,Cre03.g199150.t1.1	
38237390	Cz01g02060	Cz01g02060.t1	Cz01g02060.t1	PF01849	PTHR10351	KOG2240		K01527		AT1G17880.1	ATBTF3,BTF3	basic transcription factor 3	Cre03.g213537.t1.1	g4490.t1,Cre19.g757350.t1.1,Cre19.g757350.t1.2	
38237049	Cz01g02070	Cz01g02070.t1	Cz01g02070.t1	PF00155	PTHR11751,PTHR11751:SF373		2.3.2.2,2.6.1.4,2.6.1.2,2.6.1.44	K14272	GO:0030170,GO:0009058	AT1G70580.1	AOAT2,GGT2	alanine-2-oxoglutarate aminotransferase 2	Cre10.g451950.t1.2	g11102.t1,Cre10.g451950.t1.1,AAT1	Alanine aminotransferase
38236374	Cz01g02080	Cz01g02080.t1	Cz01g02080.t1	PF00385	PTHR24559,PTHR24559:SF186		2.1.1.37						Cre06.g278128.t1.1	g6274.t1,Cre13.g594900.t1.1,Cre13.g594900.t1.2	
38236412	Cz01g02090	Cz01g02090.t1	Cz01g02090.t1												
38237284	Cz01g02100	Cz01g02100.t1	Cz01g02100.t1												
38237077	Cz01g02110	Cz01g02110.t1	Cz01g02110.t1	PF03732											
38236968	Cz01g02120	Cz01g02120.t1	Cz01g02120.t1	PF00078	PTHR10178,PTHR10178:SF283		2.7.7.7,3.1.26.4,2.7.7.49						Cre11.g467733.t1.1	g11663.t1	
38236587	Cz01g02130	Cz01g02130.t1	Cz01g02130.t1												
38236345	Cz01g02140	Cz01g02140.t1	Cz01g02140.t1	PF00385,PF00665	PTHR24559,PTHR24559:SF201		2.7.7.7,3.1.26.4,2.7.7.49		GO:0015074				Cre09.g398141.t1.1	g9883.t1,Cre02.g135300.t1.1,Cre02.g135300.t1.2	
38236772	Cz01g02150	Cz01g02150.t1	Cz01g02150.t1												
38237308	Cz01g02160	Cz01g02160.t1	Cz01g02160.t1	PF00153	PTHR24089,PTHR24089:SF59	KOG0752		K15108		AT3G21390.1		Mitochondrial substrate carrier family protein	Cre03.g200543.t1.1	g4371.t1,Cre19.g752150.t1.1,Cre19.g752150.t1.2	Mitochondrial substrate carrier protein
38236598	Cz01g02170	Cz01g02170.t1	Cz01g02170.t1												
38236578	Cz01g02180	Cz01g02180.t1	Cz01g02180.t1	PF07910	PTHR24375,PTHR24375:SF183					AT3G48380.2		Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2	Cre03.g197900.t1.1	g4099.t1	
38236450	Cz01g02190	Cz01g02190.t1	Cz01g02190.t1	PF01852	PTHR19308	KOG2761			GO:0008289	AT1G64720.1	CP5	Polyketide cyclase/dehydrase and lipid transport superfamily protein	Cre03.g198050.t1.2	g4102.t1,Cre03.g198050.t1.1	
38236467	Cz01g02200	Cz01g02200.t1	Cz01g02200.t1												
38236504	Cz01g02210	Cz01g02210.t1	Cz01g02210.t1										Cre16.g649350.t1.1	g15712.t1	
38236248	Cz01g02220	Cz01g02220.t1	Cz01g02220.t1				3.2.1.84						Cre03.g190500.t1.2	g3944.t1,Cre03.g190500.t1.1,GLH1	Glycoside-hydrolase-like protein
38237007	Cz01g02230	Cz01g02230.t1	Cz01g02230.t1	PF13802,PF01055	PTHR22762,PTHR22762:SF54		3.2.1.84	K05546	GO:0005975,GO:0004553	AT5G63840.1	PSL5,RSW3	Glycosyl hydrolases family 31  protein	Cre03.g190500.t1.2	g3944.t1,Cre03.g190500.t1.1,GLH1	Glycoside-hydrolase-like protein
38237122	Cz01g02240	Cz01g02240.t1	Cz01g02240.t1	PF00248	PTHR11732,PTHR11732:SF263					AT1G04420.1		NAD(P)-linked oxidoreductase superfamily protein	Cre03.g195050.t1.2	g4039.t1,Cre03.g195050.t1.1	
38237380	Cz01g02250	Cz01g02250.t1	Cz01g02250.t1	PF00248	PTHR11732,PTHR11732:SF263					AT1G04420.1		NAD(P)-linked oxidoreductase superfamily protein	Cre03.g195050.t1.2	g4039.t1,Cre03.g195050.t1.1	
38236399	Cz01g02260	Cz01g02260.t1	Cz01g02260.t1	PF04371	PTHR31377,PTHR31377:SF2		3.5.3.12	K10536	GO:0009446,GO:0004668	AT5G08170.1	ATAIH,EMB1873	porphyromonas-type peptidyl-arginine deiminase family protein	Cre01.g009350.t1.2	g236.t1,Cre01.g009350.t1.1,AIH2	Agmatine iminohydrolase
38236328	Cz01g02270	Cz01g02270.t1	Cz01g02270.t1												
38236233	Cz01g02280	Cz01g02280.t1	Cz01g02280.t1												
38237303	Cz01g02290	Cz01g02290.t1	Cz01g02290.t1	PF14108	PTHR34543,PTHR34543:SF1					AT1G67080.1	ABA4	abscisic acid (aba)-deficient 4	Cre03.g207000.t1.2	g4170.t1,Cre03.g207000.t1.1	
38237180	Cz01g02300	Cz01g02300.t1	Cz01g02300.t1	PF00574	PTHR10381,PTHR10381:SF24	KOG0840	3.4.21.92	K01358		AT4G17040.1	CLPR4	CLP protease R subunit 4	Cre03.g204350.t1.2	g4228.t1,Cre03.g204350.t1.1	Inactive subunit of chloroplast ClpP complex
38236218	Cz01g03010	Cz01g03010.t1	Cz01g03010.t1		PTHR36796		2.7.11.1						Cre03.g204300.t1.1	g4229.t1	
38237281	Cz01g03020	Cz01g03020.t1	Cz01g03020.t1							AT5G16810.1		Protein kinase superfamily protein	Cre03.g204300.t1.1	g4229.t1	
38236479	Cz01g03030	Cz01g03030.t1	Cz01g03030.t1	PF07707,PF01344	PTHR24412			K10446,K10442	GO:0005515	AT5G01660.1			Cre03.g205400.t1.1	g4205.t1	
38236515	Cz01g03040	Cz01g03040.t1	Cz01g03040.t1										Cre03.g204750.t1.2	g4218.t1,Cre03.g204750.t1.1	
38237045	Cz01g03050	Cz01g03050.t1	Cz01g03050.t1												
38236872	Cz01g03060	Cz01g03060.t1	Cz01g03060.t1												
38237333	Cz01g03070	Cz01g03070.t1	Cz01g03070.t1		PTHR13271		2.1.1.43			AT3G55080.1		SET domain-containing protein	Cre06.g270300.t1.1	g6065.t1	
38236193	Cz01g03080	Cz01g03080.t1	Cz01g03080.t1												
38236874	Cz01g03090	Cz01g03090.t1	Cz01g03090.t1												
38236579	Cz01g03100	Cz01g03100.t1	Cz01g03100.t1												
38237042	Cz01g03110	Cz01g03110.t1	Cz01g03110.t1	PF01946	PTHR10617,PTHR10617:SF115	KOG2960		K03146		AT5G54770.1	THI1,THI4,TZ	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)	Cre04.g214150.t1.1	g4694.t1	Thiazole biosynthetic enzyme; THI4 regulatory protein
38236949	Cz01g03120	Cz01g03120.t1	Cz01g03120.t1				3.4.19.12,3.4.22.69								
38236371	Cz01g03130	Cz01g03130.t1	Cz01g03130.t1												
38236319	Cz01g03140	Cz01g03140.t1	Cz01g03140.t1					K16882							
38236883	Cz01g03150	Cz01g03150.t1	Cz01g03150.t1												
38237356	Cz01g03160	Cz01g03160.t1	Cz01g03160.t1		PTHR21228								Cre03.g202100.t1.1	g4280.t1	
38237205	Cz01g03170	Cz01g03170.t1	Cz01g03170.t1	PF06325	PTHR11006,PTHR11006:SF60		2.1.1.125	K11438	GO:0008168,GO:0006479	AT3G12270.1	ATPRMT3,PRMT3	protein arginine methyltransferase 3	Cre07.g344100.t3.1	g8005.t1	
38237373	Cz01g03180	Cz01g03180.t1	Cz01g03180.t1				2.1.1.125,2.1.1.126	K11438		AT4G16570.1	ATPRMT7,PRMT7	protein arginine methyltransferase 7	Cre07.g344100.t2.1	g8005.t2	
38236181	Cz01g03190	Cz01g03190.t1	Cz01g03190.t1	PF00348	PTHR11525	KOG0711	2.5.1.10,2.5.1.1	K00787	GO:0008299	AT4G17190.1	FPS2	farnesyl diphosphate synthase 2	Cre03.g207700.t1.1	g4155.t1,FPPS,FPPS1,FPS1,PPS1	Farnesyl pyrophosphate synthase
38236782	Cz01g03200	Cz01g03200.t1	Cz01g03200.t1		PTHR21228								Cre06.g272450.t1.1	g6112.t1	
38237211	Cz01g03210	Cz01g03210.t1	Cz01g03210.t1	PF00153	PTHR24089,PTHR24089:SF325	KOG0752		K14684		AT4G01100.1	ADNT1	adenine nucleotide transporter 1	Cre03.g202400.t1.2	g4272.t1,Cre03.g202400.t1.1,MITC10	Mitochondrial substrate carrier protein
38237203	Cz01g03220	Cz01g03220.t1	Cz01g03220.t1	PF00582					GO:0006950	AT1G68300.1		Adenine nucleotide alpha hydrolases-like superfamily protein	Cre03.g211521.t1.1	g4472.t1,Cre19.g756550.t1.1	Flagellar Associated Protein
38237374	Cz01g03230	Cz01g03230.t1	Cz01g03230.t1												
38236438	Cz01g03240	Cz01g03240.t1	Cz01g03240.t1	PF08669,PF01571	PTHR13847,PTHR13847:SF212		2.1.2.10	K00605		AT1G11860.1		Glycine cleavage T-protein family	Cre03.g193750.t1.1	g4010.t1,GCST	Glycine cleavage system, T protein
38236139	Cz01g03250	Cz01g03250.t1	Cz01g03250.t1	PF13718,PF08351,PF05127	PTHR10925,PTHR10925:SF5		2.3.1.193	K14521	GO:0008080	AT1G10490.1		Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)	Cre03.g192850.t1.2	g3990.t1,Cre03.g192850.t1.1	
38237322	Cz01g03260	Cz01g03260.t1	Cz01g03260.t1	PF13725,PF13718	PTHR10925,PTHR10925:SF5			K14521	GO:0008080	AT1G10490.1		Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)	Cre03.g192850.t1.2	g3990.t1,Cre03.g192850.t1.1	
38236499	Cz01g03270	Cz01g03270.t1	Cz01g03270.t1				6.3.2.19			AT3G17000.1	UBC32	ubiquitin-conjugating enzyme 32	Cre03.g202897.t1.1	g4392.t1,Cre19.g753050.t1.1,Cre19.g753050.t1.2	
38236788	Cz01g03280	Cz01g03280.t1	Cz01g03280.t1	PF02374	PTHR10803,PTHR10803:SF3		3.6.3.16		GO:0016887,GO:0005524	AT1G01910.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre03.g204800.t1.2	g4217.t1,Cre03.g204800.t1.1,RTA2	
38236347	Cz01g03290	Cz01g03290.t1	Cz01g03290.t1	PF02374	PTHR10803,PTHR10803:SF3		3.6.3.16	K01551	GO:0016887,GO:0005524	AT1G01910.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre03.g204800.t1.2	g4217.t1,Cre03.g204800.t1.1,RTA2	
38236987	Cz01g03300	Cz01g03300.t1	Cz01g03300.t1										Cre03.g206700.t1.1	g4177.t1	
38236626	Cz01g03310	Cz01g03310.t1	Cz01g03310.t1												
38236698	Cz01g03320	Cz01g03320.t1	Cz01g03320.t1										Cre03.g195900.t1.1	g4058.t1	
38236846	Cz01g04010	Cz01g04010.t1	Cz01g04010.t1	PF01237	PTHR10972,PTHR10972:SF96	KOG2209				AT5G02100.1	ORP3A,UNE18	Oxysterol-binding family protein	Cre03.g199759.t1.1	g4364.t1,Cre19.g751850.t1.1,Cre19.g751850.t1.2	
38236643	Cz01g04020	Cz01g04020.t1	Cz01g04020.t1	PF16294,PF02037				K12875		AT4G39680.2		SAP domain-containing protein	Cre03.g204950.t1.2	g4214.t1,Cre03.g204950.t1.1	
38237149	Cz01g04030	Cz01g04030.t1	Cz01g04030.t1												
38237311	Cz01g04040	Cz01g04040.t1	Cz01g04040.t1	PF01789	PTHR31407				GO:0019898,GO:0015979,GO:0009654,GO:0009523,GO:0005509	AT3G63540.1		Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein	Cre03.g198850.t1.2	g4352.t1,Cre03.g198850.t1.1	
38236369	Cz01g04050	Cz01g04050.t1	Cz01g04050.t1												
38237039	Cz01g04060	Cz01g04060.t1	Cz01g04060.t1	PF00561	PTHR10992		3.4.11.5						Cre08.g375600.t1.2	g8848.t1,Cre08.g375600.t1.1	
38236713	Cz01g04070	Cz01g04070.t1	Cz01g04070.t1	PF16752,PF07986	PTHR15139,PTHR15139:SF0	KOG2512			GO:0007023	AT4G39920.1	POR,TFC C	C-CAP/cofactor C-like domain-containing protein	Cre03.g200150.t1.2	g4324.t1,Cre03.g200150.t1.1	
38236954	Cz01g04080	Cz01g04080.t1	Cz01g04080.t1	PF00814	PTHR11735,PTHR11735:SF14		2.6.99.4	K01409		AT4G22720.1		Actin-like ATPase superfamily protein	Cre14.g615500.t1.1	g14828.t1	
38237324	Cz01g04090	Cz01g04090.t1	Cz01g04090.t1										Cre02.g086850.t1.1	g1612.t1	
38237124	Cz01g04100	Cz01g04100.t1	Cz01g04100.t1		PTHR20852,PTHR20852:SF50		6.3.1.2			AT5G35630.3	ATGSL1,GLN2,GS2	glutamine synthetase 2	Cre02.g113200.t1.1	g2331.t1,NSG18	Glutamine synthetase
38236266	Cz01g04110	Cz01g04110.t1	Cz01g04110.t1												
38236557	Cz01g04120	Cz01g04120.t1	Cz01g04120.t1	PF00650						AT3G46450.2		SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein	Cre03.g207200.t1.1	g4165.t1	
38236167	Cz01g04130	Cz01g04130.t1	Cz01g04130.t1												
38237044	Cz01g04140	Cz01g04140.t1	Cz01g04140.t1	PF00415	PTHR22870					AT5G16040.1		Regulator of chromosome condensation (RCC1) family protein	Cre16.g691050.t1.2	g15664.t1,Cre16.g691050.t1.1	
38236666	Cz01g04150	Cz01g04150.t1	Cz01g04150.t1		PTHR31407,PTHR31407:SF18					AT1G77090.1		Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein	Cre03.g198950.t1.2	g4350.t1,Cre03.g198950.t1.1	Predicted protein
38237072	Cz01g04160	Cz01g04160.t1	Cz01g04160.t1		PTHR31407,PTHR31407:SF18					AT1G77090.1		Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein	Cre03.g198950.t1.2	g4350.t1,Cre03.g198950.t1.1	Predicted protein
38236392	Cz01g04170	Cz01g04170.t1	Cz01g04170.t1	PF00069	PTHR24349,PTHR24349:SF79	KOG0198	2.7.11.1		GO:0006468,GO:0005524,GO:0004672	AT1G12680.1	PEPKR2	phosphoenolpyruvate carboxylase-related kinase 2	Cre03.g184450.t1.1	g3822.t1	
