pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-chlamy-name	chlamy-symbol	chlamy-defline
27346583	MicpuC2.gw1.4.876.1	10670	10670	PF00271,PF00270	PTHR24031	KOG0335	3.6.4.13	K16911	GO:0005524,GO:0003676	AT5G05450.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre10.g427700.t1.2	g10564.t1,Cre10.g427700.t1.1,HEL47	
27345340	MicpuC2.gw1.1.1213.1	10761	10761	PF00867	PTHR11081,PTHR11081:SF1		3.1.16.1	K10846	GO:0004518,GO:0006281,GO:0006289,GO:0005634,GO:0004519,GO:0003697	AT3G28030.1	UVH3,UVR1	5\prime-3\prime exonuclease family protein	Cre10.g429050.t1.1	g10600.t1,XPG2	
27339844	MicpuC2.gw1.13.412.1	10788	10788	PF06966	PTHR32251,PTHR32251:SF14	KOG4650				AT2G46890.1		Protein of unknown function (DUF1295)	Cre06.g311800.t1.1	g7212.t1	
27340025	MicpuC2.gw1.13.421.1	10880	10880	PF10672	PTHR11061,PTHR11061:SF34		2.1.1.191		GO:0008168				Cre09.g407900.t1.2	g10111.t1,Cre09.g407900.t1.1,RRM8	
27340236	MicpuC2.gw1.10.539.1	10976	10976	PF00106	PTHR24320,PTHR24320:SF45	KOG0725	1.1.1.300		GO:0016491,GO:0008152	AT4G23420.3		NAD(P)-binding Rossmann-fold superfamily protein	Cre09.g398252.t1.1	g9887.t1,Cre02.g135400.t1.1,Cre02.g135400.t1.2	Short-chain dehydrogenase/reductase
27347660	MicpuC2.gw1.3.1082.1	10987	10987	PF01073	PTHR10366,PTHR10366:SF466	KOG1429,KOG1371	5.1.3.2		GO:0055114,GO:0016616,GO:0006694,GO:0003854	AT2G28760.1	UXS6	UDP-XYL synthase 6	Cre03.g169400.t1.2	g3487.t1,Cre03.g169400.t1.1,GAD1	UDP-D-glucuronic acid decarboxylase
27346489	MicpuC2.gw1.4.896.1	11009	11009	PF01207	PTHR11082,PTHR11082:SF8			K05544	GO:0055114,GO:0050660,GO:0017150,GO:0008033	AT4G38890.1		FMN-linked oxidoreductases superfamily protein	Cre10.g423400.t2.1	g10472.t1	
27348559	MicpuC2.gw1.15.403.1	11015	11015	PF07650,PF01926	PTHR11649,PTHR11649:SF3	KOG1423		K03595	GO:0003723,GO:0005525	AT5G66470.1		RNA binding;GTP binding	Cre02.g141706.t2.1	g2727.t1,Cre15.g647200.t2.1	
27347724	MicpuC2.gw1.3.1090.1	11023	11023	PF03151	PTHR11132,PTHR11132:SF62	KOG1444		K15281		AT4G31600.1		UDP-N-acetylglucosamine (UAA) transporter family	Cre17.g703250.t1.2	g17050.t1,Cre17.g703250.t1.1,TPT28	
27348546	MicpuC2.gw1.15.408.1	11037	11037	PF10294	PTHR14614,PTHR14614:SF39		2.1.1.85			AT4G14000.1		Putative methyltransferase family protein	Cre08.g378250.t2.1	g8904.t1,SMM32	
27347813	MicpuC2.gw1.6.609.1	11064	11064	PF00153	PTHR24089	KOG0752		K14684		AT4G32400.1	ATBT1,EMB104,EMB42,SHS1	Mitochondrial substrate carrier family protein	Cre06.g270150.t1.1	g6061.t1	Mitochondrial substrate carrier protein
27348931	MicpuC2.gw1.12.491.1	11085	11085	PF00753	PTHR23131,PTHR23131:SF0	KOG0813	3.1.2.6			AT1G25375.1		Metallo-hydrolase/oxidoreductase superfamily protein	Cre12.g557700.t1.2	g13376.t1,Cre12.g557700.t1.1	
27346622	MicpuC2.gw1.4.905.1	11088	11088	PF07714	PTHR24056,PTHR24056:SF171		2.7.11.22	K08817	GO:0006468,GO:0004672	AT1G73690.1	AT;CDKD;1,CAK3AT,CDKD1;1	cyclin-dependent kinase D1;1	Cre05.g233600.t1.1	g5101.t1	
27344002	MicpuC2.gw1.18.214.1	11102	11102	PF02873,PF01565	PTHR21071,PTHR21071:SF4		1.3.1.98		GO:0055114,GO:0008762,GO:0050660,GO:0016491						
27348861	MicpuC2.gw1.12.493.1	11155	11155	PF16899,PF00134	PTHR10026,PTHR10026:SF8			K06634	GO:0019901,GO:0006355,GO:0000079,GO:0070985,GO:0016538,GO:0006351	AT5G27620.1	CYCH;1	cyclin H;1	Cre14.g632783.t1.1	g15250.t1,Cre75.g795500.t1.1,Cre75.g795500.t1.2	
27340175	MicpuC2.gw1.10.544.1	11175	11175	PF00082	PTHR10795,PTHR10795:SF389		3.4.21.62		GO:0006508,GO:0004252	AT5G19660.1	ATS1P,ATSBT6.1,S1P	SITE-1 protease	Cre07.g329500.t1.2	g7665.t2,Cre07.g329500.t1.1,SUB1	Secreted protease and protease inhibitor
27343796	MicpuC2.gw1.19.40.1	11237	11237	PF13640			1.14.11.2		GO:0055114,GO:0016491				Cre13.g576800.t1.1	g14175.t1,PHX21	
27349037	MicpuC2.gw1.12.499.1	11257	11257	PF00504	PTHR21649,PTHR21649:SF15				GO:0016020,GO:0009765	AT1G61520.3	LHCA3	photosystem I light harvesting complex gene 3	Cre08.g365900.t1.2	g8574.t1,Cre08.g365900.t1.1	Stress-related chlorophyll a/b binding protein 1
27348316	MicpuC2.gw1.6.615.1	11268	11268	PF00687	PTHR23105,PTHR23105:SF31			K14775		AT2G42650.1		Ribosomal protein L1p/L10e family	Cre07.g314100.t1.2	g7268.t1,Cre07.g314100.t1.1	
27347277	MicpuC2.gw1.3.1123.1	11312	11312	PF00512,PF02518	PTHR24423		2.7.13.3		GO:0007165,GO:0000155	AT2G01830.2	AHK4,ATCRE1,CRE1,WOL,WOL1	CHASE domain containing histidine kinase protein	Cre13.g571200.t1.1	g14047.t1,HIK	
27338948	MicpuC2.gw1.8.591.1	11332	11332	PF01138	PTHR11953,PTHR11953:SF1			K12590		AT3G46210.3		Ribosomal protein S5 domain 2-like superfamily protein	Cre14.g624500.t1.2	g15046.t1,Cre14.g624500.t1.1,RRP46	Exosome complex exonuclease component
27349265	MicpuC2.gw1.12.501.1	11334	11334	PF13365	PTHR24276	KOG3627	3.4.21.4	K01312					Cre17.g740600.t1.2	g17914.t1,Cre17.g740600.t1.1,MOT50	Predicted protein
27348198	MicpuC2.gw1.6.623.1	11360	11360	PF01066	PTHR15362,PTHR15362:SF4	KOG3240	2.7.8.11	K00999	GO:0016780,GO:0016020,GO:0008654	AT1G68000.1	ATPIS,ATPIS1,PIS1	phosphatidylinositol synthase 1	Cre10.g419800.t1.2	g10390.t1,Cre10.g419800.t1.1	Phosphatidylinositol synthase
27347076	MicpuC2.gw1.3.1133.1	11393	11393	PF00226	PTHR24078,PTHR24078:SF228					AT5G03160.1	ATP58IPK,P58IPK	homolog of mamallian P58IPK	Cre12.g518200.t1.1	g12780.t1,DNJ3,PDI1	Protein disulfide isomerase
27340139	MicpuC2.gw1.10.554.1	11492	11492	PF01746	PTHR13563		2.1.1.221			AT5G47680.1					
27343550	MicpuC2.gw1.16.418.1	11504	11504	PF08238	PTHR11102					AT1G70590.1		F-box family protein	Cre03.g197400.t1.2	g4088.t1,Cre03.g197400.t1.1,SEL1	
27340292	MicpuC2.gw1.10.558.1	11558	11558	PF01981	PTHR12649		3.1.1.29	K04794	GO:0004045	AT4G32900.2		Peptidyl-tRNA hydrolase II (PTH2) family protein	Cre17.g747297.t1.1	g18062.t1,Cre05.g230000.t1.1,Cre05.g230000.t1.2	
27344149	MicpuC2.gw1.9.645.1	11572	11572	PF04134	PTHR33639,PTHR33639:SF2					AT1G52590.1		Putative thiol-disulphide oxidoreductase DCC	Cre14.g622750.t1.1	g15009.t1	
27346316	MicpuC2.gw1.4.954.1	11584	11584	PF12796	PTHR24193	KOG4214				AT2G03430.1		Ankyrin repeat family protein	Cre06.g261950.t1.2	g5886.t1,Cre06.g261950.t1.1,ANK11	Predicted protein with ankyrin repeats
27341709	MicpuC2.gw1.5.868.1	11644	11644	PF00237	PTHR13501			K02890	GO:0006412,GO:0005840,GO:0003735,GO:0015934	AT4G28360.1		Ribosomal protein L22p/L17e family protein	Cre13.g580850.t1.2	g14267.t2,Cre13.g580850.t1.1,PRPL22	
27342175	MicpuC2.gw1.14.375.1	11674	11674	PF01467	PTHR10695		2.7.7.3	K02201	GO:0009058,GO:0003824	AT2G18250.1	ATCOAD,COAD	4-phosphopantetheine adenylyltransferase	Cre13.g590550.t1.1	g14482.t1,COA5	
27340177	MicpuC2.gw1.10.563.1	11686	11686	PF00080	PTHR10003		1.15.1.1	K04565	GO:0055114,GO:0046872,GO:0006801	AT5G18100.1	CSD3	copper/zinc superoxide dismutase 3			
27339971	MicpuC2.gw1.13.455.1	11711	11711	PF13414	PTHR22904,PTHR22904:SF178					AT4G30480.2		Tetratricopeptide repeat (TPR)-like superfamily protein	Cre10.g430501.t1.1	g10631.t1,Cre10.g430500.t1.2	
27341109	MicpuC2.gw1.7.630.1	11721	11721	PF04410	PTHR23237			K11128	GO:0042254,GO:0001522,GO:0031429	AT5G18180.1		H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein	Cre13.g567850.t1.2	g13973.t1,Cre13.g567850.t1.1	
27346372	MicpuC2.gw1.4.968.1	11752	11752	PF01951	PTHR12682,PTHR12682:SF11	KOG4528							Cre06.g263500.t1.2	g5920.t1,Cre06.g263500.t1.1	
27342264	MicpuC2.gw1.14.380.1	11758	11758	PF01903	PTHR33542		4.99.1.4		GO:0016852,GO:0009236	AT1G50170.1	ATSIRB,SIRB	sirohydrochlorin ferrochelatase B	Cre04.g214100.t1.2	g4695.t1,Cre04.g214100.t1.1,SIRB	Sirohydrochlorin ferrochelatase
27345955	MicpuC2.gw1.1.1342.1	11841	11841	PF00808	PTHR11064		2.7.7.7			AT2G27470.1	NF-YB11	nuclear factor Y, subunit B11	Cre07.g341800.t1.2	g7952.t1,Cre07.g341800.t1.1	
27340286	MicpuC2.gw1.10.566.1	11848	11848	PF02493	PTHR23084					AT1G60890.1		Phosphatidylinositol-4-phosphate 5-kinase family protein	Cre17.g729850.t1.2	g17638.t1,Cre17.g729850.t1.1,FAP227	
27338808	MicpuC2.gw1.8.619.1	11901	11901	PF00076	PTHR23147			K12900	GO:0003676	AT1G55310.2	ATSCL33,SCL33,SR33	SC35-like splicing factor 33	Cre13.g586916.t1.1	g14400.t1,Cre13.g586900.t1.3,SCL27,SRS9	
27338892	MicpuC2.gw1.8.624.1	11942	11942	PF02290	PTHR12013	KOG1761		K03104	GO:0030942,GO:0008312,GO:0006614,GO:0005786	AT2G43640.2		Signal recognition particle, SRP9/SRP14 subunit	Cre01.g031200.t1.2	g706.t1,Cre01.g031200.t1.1,SRP14	Subunit of the Signal Recognition Particle
27349028	MicpuC2.gw1.12.524.1	11950	11950	PF00226	PTHR24078					AT1G80030.1		Molecular chaperone Hsp40/DnaJ family protein	Cre02.g118450.t1.1	g2458.t1	DnaJ-like protein
27345985	MicpuC2.gw1.1.1357.1	11956	11956	PF00641	PTHR12999				GO:0008270	AT1G50300.1	TAF15	TBP-associated factor 15	Cre07.g328400.t1.2	g7639.t1,Cre07.g328400.t1.1	
27340847	MicpuC2.gw1.7.652.1	11973	11973	PF00225	PTHR24115,PTHR24115:SF70		3.6.4.4		GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	AT1G21730.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre17.g741350.t1.2	g17932.t1,Cre17.g741350.t1.1,KIN7-4	
27339153	MicpuC2.gw1.8.628.1	11977	11977	PF13087	PTHR10887		3.6.4.12			AT5G35970.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein	Cre03.g150350.t1.1	g3058.t1	
27345778	fgenesh3_kg.1_#_43_#_isotig02068	120784	120744												
27345200	fgenesh3_kg.1_#_64_#_isotig02896	120805	120765	PF13181					GO:0005515	AT3G14110.3	FLU	Tetratricopeptide repeat (TPR)-like superfamily protein	Cre10.g460050.t1.1	g11280.t2	
27345885	fgenesh3_kg.1_#_73_#_isotig00275	120814	120774												
27345572	fgenesh3_kg.1_#_93_#_isotig00308	120834	120794	PF00832	PTHR19970	KOG0002		K02924	GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT4G31985.1		Ribosomal protein L39 family protein			
27342979	fgenesh3_kg.2_#_23_#_isotig00393	120875	120835	PF00928	PTHR10529	KOG0937		K12393		AT1G60780.1	HAP13	Clathrin adaptor complexes medium subunit family protein	Cre06.g262250.t1.2	g5892.t1,Cre06.g262250.t1.1,AP1M1	Mu1-Adaptin
27342859	fgenesh3_kg.2_#_42_#_isotig00588	120894	120854												
27342723	fgenesh3_kg.2_#_53_#_isotig01136	120905	120865										Cre17.g740050.t1.1	g17899.t1	
27342771	fgenesh3_kg.2_#_61_#_isotig01254	120913	120873												
27343013	fgenesh3_kg.2_#_182_#_isotig00787	121034	120994	PF02729,PF00185	PTHR11405,PTHR11405:SF1	KOG1504	2.1.3.3	K00611	GO:0016743,GO:0006520,GO:0016597	AT1G75330.1	OTC	ornithine carbamoyltransferase	Cre12.g489700.t1.2	g12191.t1,Cre12.g489700.t1.1,OTC1	Ornithine carbamoyltransferase
27342852	fgenesh3_kg.2_#_184_#_isotig00963	121036	120996	PF00504	PTHR21649			K08907	GO:0016020,GO:0009765	AT3G54890.1	LHCA1	photosystem I light harvesting complex gene 1	Cre06.g283050.t1.2	g6583.t1,Cre06.g283050.t1.1	Light-harvesting protein of photosystem I
27342868	fgenesh3_kg.2_#_209_#_isotig00343	121061	121021												
27343006	fgenesh3_kg.2_#_215_#_isotig00625	121067	121027	PF00430				K02109	GO:0045263,GO:0015986,GO:0015078	AT4G32260.1		ATPase, F0 complex, subunit B/B\prime, bacterial/chloroplast	Cre11.g481450.t1.2	g11955.t1,Cre11.g481450.t1.1	CF0 ATP synthase subunit II precursor
27343119	fgenesh3_kg.2_#_275_#_isotig00258	121127	121087	PF08640	PTHR23271			K14557		AT4G28200.1			Cre10.g442000.t1.2	g10875.t1,Cre10.g442000.t1.1	
27343235	fgenesh3_kg.2_#_300_#_isotig00855	121152	121112	PF01118,PF02774	PTHR10174,PTHR10174:SF2	KOG4777	1.2.1.11	K00133	GO:0055114,GO:0051287,GO:0016620,GO:0046983,GO:0008652,GO:0005737,GO:0003942	AT1G14810.1		semialdehyde dehydrogenase family protein	Cre09.g389689.t1.1	g9648.t1,Cre02.g124800.t1.1,Cre02.g124800.t1.2,ASD1	Aspartate semialdehyde dehydrogenase
27346818	MicpuC2.gw1.4.993.1	12116	12116	PF01412	PTHR23180,PTHR23180:SF284				GO:0005096	AT5G61980.1	AGD1	ARF-GAP domain 1	Cre03.g154150.t1.1	g3140.t1	
27342643	fgenesh3_kg.2_#_308_#_isotig01190	121160	121120		PTHR31802,PTHR31802:SF3		3.5.1.98			AT5G22650.1	ATHD2,ATHD2B,HD2,HD2B,HDA4,HDT02,HDT2	histone deacetylase 2B	Cre12.g551050.t1.2	g13524.t1,Cre12.g551050.t1.1	
27342560	fgenesh3_kg.2_#_309_#_isotig01647	121161	121121												
27343170	fgenesh3_kg.2_#_318_#_isotig00610	121170	121130												
27345517	MicpuC2.gw1.1.1383.1	12118	12118	PF01016	PTHR15893,PTHR15893:SF0				GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT5G40950.1	RPL27	ribosomal protein large subunit 27	Cre06.g300800.t1.2	g6959.t1,Cre06.g300800.t1.1	Plastid ribosomal protein L27
27342573	fgenesh3_kg.2_#_328_#_isotig00846	121180	121140	PF03798	PTHR12560	KOG1607	2.3.1.24	K04710	GO:0016021,GO:0005783	AT1G13580.2	LAG13	LAG1 longevity assurance homolog 3	Cre17.g726400.t1.1	g17564.t1	
27342608	fgenesh3_kg.2_#_333_#_isotig00691	121185	121145	PF02780,PF02779,PF13292	PTHR11624,PTHR11624:SF83		2.2.1.7	K01662	GO:0008152,GO:0003824,GO:0016114,GO:0008661	AT4G15560.1	CLA,CLA1,DEF,DXPS2,DXS	Deoxyxylulose-5-phosphate synthase	Cre07.g356350.t1.1	g8285.t1,DXS1	1-deoxy-D-xylulose 5-phosphate synthase, chloroplast precursor
27343226	fgenesh3_kg.2_#_393_#_isotig00729	121245	121205	PF02874,PF00306,PF00006	PTHR15184,PTHR15184:SF45		3.6.3.14	K02133	GO:0046034,GO:0015992,GO:0033178,GO:0016820,GO:0015991,GO:0005524	AT5G08680.1		ATP synthase alpha/beta family protein	Cre17.g698000.t1.2	g16928.t1,Cre17.g698000.t1.1,ATP2	Mitochondrial F1F0 ATP synthase, beta subunit
27342982	fgenesh3_kg.2_#_433_#_isotig00205	121285	121245	PF01833					GO:0005515						
27347755	fgenesh3_kg.3_#_12_#_isotig00772	121325	121285												
27346851	fgenesh3_kg.3_#_78_#_isotig00966	121391	121351	PF03807,PF14748	PTHR11645,PTHR11645:SF28	KOG3124	1.5.1.2	K00286	GO:0055114,GO:0006561,GO:0004735	AT5G14800.1	AT-P5C1,AT-P5R,EMB2772,P5CR	pyrroline-5- carboxylate (P5C) reductase	Cre03.g154550.t1.1	g3149.t1,PCR1	Pyrroline-5-carboxylate reductase
27347684	fgenesh3_kg.3_#_84_#_isotig00957	121397	121357	PF00160	PTHR11071,PTHR11071:SF286	KOG0880	5.2.1.8	K03768	GO:0006457,GO:0003755,GO:0000413	AT5G35100.2		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	Cre12.g561000.t1.1	g13298.t1	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type
27346247	fgenesh3_kg.4_#_53_#_isotig02921	121450	121410	PF01016	PTHR15893			K02899	GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT2G16930.1		Ribosomal protein L27 family protein	Cre06.g300800.t1.2	g6959.t1,Cre06.g300800.t1.1	Plastid ribosomal protein L27
27341599	fgenesh3_kg.5_#_5_#_isotig02720	121476	121436												
27341147	MicpuC2.gw1.7.658.1	12148	12148	PF01363	PTHR11353,PTHR11353:SF57		2.7.1.150		GO:0046872,GO:0005524	AT4G33240.1	FAB1A	1-phosphatidylinositol-4-phosphate 5-kinases;zinc ion binding;1-phosphatidylinositol-3-phosphate 5-kinases	Cre16.g668550.t1.2	g16264.t1,Cre16.g668550.t1.1	
27341939	fgenesh3_kg.5_#_24_#_isotig00983	121495	121455	PF10998	PTHR31201					AT5G35460.1			Cre03.g207351.t1.1	g4163.t1,Cre03.g207300.t1.3	
27341952	fgenesh3_kg.5_#_40_#_isotig02946	121511	121471	PF05328	PTHR13337			K00237	GO:0016021,GO:0005740				Cre01.g020305.t1.1	g472.t1,Cre01.g020300.t1.2	
27348354	fgenesh3_kg.6_#_14_#_isotig02677	121544	121504		PTHR14154,PTHR14154:SF11					AT5G02120.1	OHP	one helix protein	Cre02.g109950.t1.2	g2256.t1,Cre02.g109950.t1.1,HLIP	Single helix LHC light protein
27348135	fgenesh3_kg.6_#_20_#_isotig02061	121550	121510	PF13637	PTHR24148,PTHR24148:SF18	KOG4214				AT2G03430.1		Ankyrin repeat family protein	Cre02.g104600.t1.2	g2140.t1,Cre02.g104600.t1.1	
27348122	fgenesh3_kg.6_#_36_#_isotig02703	121566	121526												
27344399	MicpuC2.gw1.9.686.1	12158	12158	PF00628	PTHR10333			K11346	GO:0005515,GO:0016568,GO:0005634	AT1G54390.6	ING2	PHD finger protein-related	Cre16.g668200.t1.1	g16274.t1	
27347889	fgenesh3_kg.6_#_54_#_isotig03090	121584	121544	PF02970	PTHR21500,PTHR21500:SF0	KOG3470		K17292	GO:0051082,GO:0015631,GO:0007021	AT2G30410.1	KIS,TFCA	tubulin folding cofactor A (KIESEL)	Cre16.g670800.t1.2	g16303.t1,Cre16.g670800.t1.1,TFC1	
27340747	fgenesh3_kg.7_#_30_#_isotig02613	121618	121578	PF04800	PTHR12219			K03937	GO:0022900,GO:0016651	AT5G67590.1	FRO1	NADH-ubiquinone oxidoreductase-related	Cre03.g146247.t1.1	g2977.t1,Cre01.g061100.t1.1,Cre01.g061100.t1.2,NUOS4	NADH:ubiquinone oxidoreductase 18 kDa subunit
27339089	fgenesh3_kg.8_#_11_#_isotig02656	121639	121599												
27339172	fgenesh3_kg.8_#_17_#_isotig02501	121645	121605										Cre01.g051500.t1.2	g1143.t1,Cre01.g051500.t1.1,LUP1	Uncharacterized thykaloid lumenal polypeptide
27339032	fgenesh3_kg.8_#_25_#_isotig00710	121653	121613	PF01061,PF00005	PTHR19241	KOG0061	3.6.3.25		GO:0016020,GO:0016887,GO:0005524	AT2G37360.1		ABC-2 type transporter family protein	Cre02.g096000.t1.1	g1949.t1	
27344494	fgenesh3_kg.9_#_26_#_isotig02093	121723	121683	PF00069	PTHR14030		2.7.11.1	K02178	GO:0006468,GO:0005524,GO:0004672,GO:0007094	AT2G20635.1		ATP binding;protein kinases;protein serine/threonine kinases	Cre09.g390097.t1.1	g9659.t1,Cre78.g795750.t1.1	
27344461	fgenesh3_kg.9_#_32_#_isotig02590	121729	121689	PF00861	PTHR12899			K02881	GO:0006412,GO:0005840,GO:0005622,GO:0003735	AT1G48350.1		Ribosomal L18p/L5e family protein	Cre01.g052100.t1.2	g1155.t1,Cre01.g052100.t1.1	Plastid ribosomal protein L18
27344420	fgenesh3_kg.9_#_47_#_isotig02891	121744	121704												
27344201	fgenesh3_kg.9_#_52_#_isotig01231	121749	121709	PF00227	PTHR11599,PTHR11599:SF63	KOG0175	3.4.25.1	K02737	GO:0051603,GO:0005839,GO:0004298	AT3G26340.1		N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein	Cre10.g461950.t1.2	g11325.t1,Cre10.g461950.t1.1,PBE1	20S proteasome beta subunit E, type beta 5
27343083	MicpuC2.gw1.2.1038.1	12175	12175	PF09962	PTHR40069,PTHR40069:SF1										
27340553	fgenesh3_kg.10_#_9_#_isotig01096	121762	121722												
27340187	fgenesh3_kg.10_#_18_#_isotig01492	121771	121731		PTHR10183,PTHR10183:SF272	KOG0037				AT3G10300.3		Calcium-binding EF-hand family protein	Cre03.g200050.t1.2	g4326.t1,Cre03.g200050.t1.1,CAL1	
27340547	fgenesh3_kg.10_#_21_#_isotig01417	121774	121734		PTHR23139,PTHR23139:SF58			K12837		AT4G36690.1	ATU2AF65A	U2 snRNP auxilliary factor, large subunit, splicing factor	Cre12.g549100.t3.1	g13566.t1,SPL10,UAF3	
27340202	fgenesh3_kg.10_#_26_#_isotig01916	121779	121739	PF00650	PTHR10174,PTHR10174:SF156					AT5G63060.1		Sec14p-like phosphatidylinositol transfer family protein	Cre10.g448051.t1.1	g11018.t1,Cre10.g448050.t1.2	
27339608	fgenesh3_kg.11_#_5_#_isotig02780	121791	121751												
27339485	fgenesh3_kg.11_#_29_#_isotig01016	121815	121775	PF00056,PF02866	PTHR11540		1.1.1.37	K00026	GO:0055114,GO:0016491,GO:0016616,GO:0019752	AT3G15020.1	mMDH2	Lactate/malate dehydrogenase family protein	Cre12.g483950.t1.2	g12013.t1,Cre12.g483950.t1.1,MDH4	NAD-dependent malate dehydrogenase, mitochondrial
27349119	fgenesh3_kg.12_#_36_#_isotig00685	121853	121813		PTHR31414,PTHR31414:SF1					AT2G12400.1					
27339973	fgenesh3_kg.13_#_31_#_isotig00575	121896	121856	PF03641	PTHR31223,PTHR31223:SF11					AT2G37210.2		lysine decarboxylase family protein	Cre07.g340900.t1.2	g7977.t1,Cre07.g340900.t1.1	
27342401	fgenesh3_kg.14_#_46_#_isotig02515	121957	121917												
27343311	fgenesh3_kg.16_#_23_#_isotig02394	122015	121975										Cre13.g591851.t1.1	g14511.t1,Cre13.g591850.t1.3	
27343628	fgenesh3_kg.16_#_25_#_isotig02659	122017	121977	PF00581											
27344831	fgenesh3_kg.17_#_12_#_isotig01712	122045	122005												
27343952	fgenesh3_kg.18_#_15_#_isotig01851	122080	122040												
27343781	fgenesh3_kg.19_#_26_#_isotig00933	122107	122067												
