#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
71128	71089	KOG4655	U3 small nucleolar ribonucleoprotein (snoRNP) component	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71135	71096	KOG3026	Splicing factor SPF30	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71143	71104	KOG0306	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71146	71107	KOG3911	Nucleolar protein NOP52/RRP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71155	71116	KOG2560	RNA splicing factor - Slu7p	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71161	71122	KOG0338	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71165	71126	KOG0121	Nuclear cap-binding protein complex, subunit CBP20 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71183	71144	KOG1774	Small nuclear ribonucleoprotein E	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71202	71163	KOG0329	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71267	71228	KOG0345	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71308	71269	KOG1996	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71340	71301	KOG0796	Spliceosome subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71367	71328	KOG0495	HAT repeat protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71389	71350	KOG0227	Splicing factor 3a, subunit 2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71438	71399	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71460	71421	KOG2253	U1 snRNP complex, subunit SNU71 and related PWI-motif proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71486	71447	KOG2184	Tuftelin-interacting protein TIP39, contains G-patch domain	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71490	71451	KOG0152	Spliceosomal protein FBP11/Splicing factor PRP40	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71553	71514	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71579	71540	KOG2245	Poly(A) polymerase and related nucleotidyltransferases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71651	71612	KOG0838	RNA Methylase, SpoU family	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71652	71613	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71729	71690	KOG4008	rRNA processing protein RRP7	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71744	71705	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71746	71707	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71758	71719	KOG1783	Small nuclear ribonucleoprotein F	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71783	71744	KOG1098	Putative SAM-dependent rRNA methyltransferase SPB1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71821	71782	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71843	71804	KOG2202	U2 snRNP splicing factor, small subunit, and related proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71854	71815	KOG3392	Exon-exon junction complex, Magoh component	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71869	71830	KOG1475	Ribosomal protein RPL1/RPL2/RL4L4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71916	71877	KOG2217	U4/U6.U5 snRNP associated protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71935	71896	KOG1127	TPR repeat-containing protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71978	71939	KOG0333	U5 snRNP-like RNA helicase subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
71984	71945	KOG2636	Splicing factor 3a, subunit 3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72068	72029	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72093	72054	KOG0816	Protein involved in mRNA turnover	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72097	72058	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72141	72102	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72254	72215	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72258	72219	KOG2044	5prime-3prime exonuclease HKE1/RAT1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72328	72289	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72363	72324	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72449	72410	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72586	72547	KOG0304	mRNA deadenylase subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72669	72630	KOG3064	RNA-binding nuclear protein (MAK16) containing a distinct C4 Zn-finger	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72672	72633	KOG2441	mRNA splicing factor/probable chromatin binding snw family nuclear protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72677	72638	KOG3387	60S ribosomal protein 15.5kD/SNU13, NHP2/L7A family (includes ribonuclease P subunit p38), involved in splicing	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72706	72667	KOG2837	Protein containing a U1-type Zn-finger and implicated in RNA splicing or processing 	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72714	72675	KOG4206	Spliceosomal protein snRNP-U1A/U2B	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72746	72707	KOG0340	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72783	72744	KOG1049	Polyadenylation factor I complex, subunit FIP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72786	72747	KOG1801	tRNA-splicing endonuclease positive effector (SEN1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72787	72748	KOG0291	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72791	72752	KOG3454	U1 snRNP-specific protein C	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72829	72790	KOG1040	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72868	72829	KOG3934	Histone mRNA stem-loop binding protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72934	72895	KOG2330	Splicing factor 3b, subunit 2	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72943	72904	KOG0953	Mitochondrial RNA helicase SUV3, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72947	72908	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
72962	72923	KOG1801	tRNA-splicing endonuclease positive effector (SEN1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73006	72967	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73026	72987	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73048	73009	KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73049	73010	KOG3909	Queuine-tRNA ribosyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73063	73024	KOG2071	mRNA cleavage and polyadenylation factor I/II complex, subunit Pcf11	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73083	73044	KOG3459	Small nuclear ribonucleoprotein (snRNP) Sm core protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73096	73057	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73100	73061	KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73155	73116	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73159	73120	KOG4393	Predicted pseudouridylate synthase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73196	73157	KOG2047	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73204	73165	KOG1122	tRNA and rRNA cytosine-C5-methylase (nucleolar protein NOL1/NOP2)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73215	73176	KOG2749	mRNA cleavage and polyadenylation factor IA/II complex, subunit CLP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73225	73186	KOG0213	Splicing factor 3b, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73234	73195	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73238	73199	KOG0120	Splicing factor U2AF, large subunit (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73247	73208	KOG3172	Small nuclear ribonucleoprotein Sm D3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73268	73229	KOG2572	Ribosome biogenesis protein - Nop58p/Nop5p	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73319	73280	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73363	73324	KOG3428	Small nuclear ribonucleoprotein SMD1 and related snRNPs	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73435	73396	KOG0344	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73439	73400	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73487	73448	KOG3322	Ribonucleases P/MRP protein subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73502	73463	KOG1098	Putative SAM-dependent rRNA methyltransferase SPB1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73529	73490	KOG1919	RNA pseudouridylate synthases	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73587	73548	KOG2771	Subunit of tRNA-specific adenosine-34 deaminase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73662	73623	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73676	73637	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73696	73657	KOG0117	Heterogeneous nuclear ribonucleoprotein R (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73742	73703	KOG0951	RNA helicase BRR2, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73829	73790	KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73909	73870	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73947	73908	KOG2574	mRNA splicing factor PRP31	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
73974	73935	KOG2051	Nonsense-mediated mRNA decay 2 protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74001	73962	KOG1802	RNA helicase nonsense mRNA reducing factor (pNORF1)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74027	73988	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74031	73992	KOG3428	Small nuclear ribonucleoprotein SMD1 and related snRNPs	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74089	74050	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74102	74063	KOG0128	RNA-binding protein SART3 (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74133	74094	KOG3068	mRNA splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74151	74112	KOG0319	WD40-repeat-containing subunit of the 18S rRNA processing complex	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74302	74263	KOG2634	Initiator tRNA phosphoribosyl-transferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74320	74281	KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74336	74297	KOG2375	Protein interacting with poly(A)-binding protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74340	74301	KOG0335	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74364	74325	KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74418	74379	KOG0050	mRNA splicing protein CDC5 (Myb superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74438	74399	KOG1040	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74441	74402	KOG3503	H/ACA snoRNP complex, subunit NOP10	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74443	74404	KOG1609	Protein involved in mRNA turnover and stability	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74505	74466	KOG0344	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74518	74479	KOG2600	U3 small nucleolar ribonucleoprotein (snoRNP) subunit - Mpp10p	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74537	74498	KOG4205	RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74584	74545	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74653	74614	KOG0113	U1 small nuclear ribonucleoprotein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74676	74637	KOG2078	tRNA modification enzyme	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74700	74661	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74740	74701	KOG1909	Ran GTPase-activating protein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74746	74707	KOG0150	Spliceosomal protein FBP21	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74754	74715	KOG0926	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74786	74747	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74789	74750	KOG0952	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74795	74756	KOG0131	Splicing factor 3b, subunit 4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74867	74828	KOG1804	RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74876	74837	KOG3013	Exosomal 3prime-5prime exoribonuclease complex, subunit Rrp4	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74882	74843	KOG4150	Predicted ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74910	74871	KOG3948	Mediator of U snRNA nuclear export PHAX	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74942	74903	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74957	74918	KOG2190	PolyC-binding proteins alphaCP-1 and related KH domain proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
74963	74924	KOG4150	Predicted ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75014	74975	KOG2098	Predicted N6-adenine RNA methylase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75031	74992	KOG3293	Small nuclear ribonucleoprotein (snRNP)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75052	75013	KOG0647	mRNA export protein (contains WD40 repeats)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75076	75037	KOG0326	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75087	75048	KOG0922	DEAH-box RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75091	75052	KOG1898	Splicing factor 3b, subunit 3	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75122	75083	KOG1895	mRNA cleavage and polyadenylation factor II complex, subunit PTA1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75148	75109	KOG3801	Uncharacterized conserved protein BCN92	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75161	75122	KOG4209	Splicing factor RNPS1, SR protein superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75166	75127	KOG0920	ATP-dependent RNA helicase A	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75186	75147	KOG0948	Nuclear exosomal RNA helicase MTR4, DEAD-box superfamily	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75259	75220	KOG2769	Putative u4/u6 small nuclear ribonucleoprotein	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75265	75226	KOG1676	K-homology type RNA binding proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
75275	75236	KOG0337	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
